,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-10,0,10,0,10,-10,-20,10,30,0,-10,-30,-10,10,20,20,30,20,0,-30,-30,0,10,10
1,10,20,10,-30,-30,0,30,30,20,-20,-30,0,20,10,10,-20,0,-10,-10,0,30,20,-10,-30
2,10,-20,-10,0,20,20,10,0,-10,-20,30,30,0,0,20,-20,0,-10,10,-10,20,20,0,0
3,-10,-10,20,30,30,-30,-30,0,-10,30,30,20,0,-30,-30,20,30,30,10,-20,-30,-20,0,20
4,-20,10,10,30,-20,-20,-10,10,30,20,0,-30,-10,10,0,10,10,-20,-10,10,20,30,-20,-10
5,0,10,-20,-10,0,10,10,10,20,10,20,0,-10,-30,-10,0,20,10,-10,-10,-10,10,10,0
6,0,0,10,10,-30,0,30,20,0,10,0,0,0,0,-20,-10,-10,30,20,0,-20,-20,-30,10
7,20,-10,-10,-30,-20,20,30,20,20,-20,-30,-30,30,0,10,20,30,20,-20,-30,-30,20,10,10
8,-10,-10,30,10,0,-30,-20,30,30,0,10,-10,0,30,10,0,-30,-20,10,-10,-20,-10,10,30
9,0,20,20,0,-20,-20,-10,-10,20,10,30,20,-20,-10,10,30,10,-10,-30,10,10,20,20,-10
10,-10,0,-10,20,10,-10,-10,-20,0,20,30,20,-20,-30,30,0,30,10,-10,0,-30,0,0,0
11,0,10,0,-20,10,-10,-10,30,10,0,0,-10,0,-10,-10,0,20,30,30,-10,0,-30,-30,10
12,0,0,-10,-20,-10,20,20,30,-10,-10,10,0,-20,-10,20,30,30,-10,-10,0,-20,-10,-10,30
13,0,20,20,-30,-30,10,0,-10,10,20,30,10,-20,-20,-20,10,10,30,-20,-20,-10,20,10,-10
14,0,-20,0,0,0,20,20,-10,0,30,30,0,-30,0,-10,-10,0,0,-20,-20,30,20,-10,-30
15,20,-10,0,-20,-20,10,20,30,30,0,-30,-20,10,30,30,20,-30,-30,0,20,0,-20,-20,20
16,0,0,-20,0,20,0,0,0,0,0,30,10,-10,-20,-10,30,10,-10,10,-10,-10,20,10,10
17,0,-10,20,10,10,-30,-10,10,0,10,20,20,10,-20,0,20,20,-10,-20,-10,10,-10,0,10
18,10,0,-20,0,30,20,-30,-20,-10,30,20,30,10,-10,-20,-30,-20,10,20,30,0,-30,-10,30
19,0,10,-10,0,20,10,-10,-10,10,10,20,-20,-30,-10,10,30,10,-20,-30,10,30,10,-20,10
20,0,-10,20,0,-10,0,-10,20,0,10,-10,-10,10,10,20,10,0,0,-30,-20,0,30,10,-20
21,-10,0,0,30,0,0,0,0,-20,10,30,20,-10,0,0,-10,-20,10,10,0,-10,-10,10,20
22,0,0,20,10,0,-20,-20,-20,30,0,10,10,20,-20,-20,-10,0,30,30,-20,-30,-20,10,20
23,0,0,20,10,0,-20,-20,-10,20,20,30,30,-30,0,-20,-30,0,20,20,10,-20,-20,-10,20
24,0,0,0,0,0,10,20,10,-10,-30,20,20,30,10,-20,-20,0,-20,-10,20,10,-10,10,20
25,0,0,10,10,10,0,-20,-10,10,0,20,-10,-20,-20,30,30,10,-10,-20,0,0,0,20,20
26,0,0,-10,-10,10,10,20,0,10,10,-10,10,30,-10,-30,-30,10,0,30,20,-10,0,20,-20
27,0,0,0,10,-10,0,10,10,0,0,-20,0,20,30,0,-20,-20,-10,0,20,10,-30,0,10
28,0,0,0,10,20,-30,-30,20,30,30,30,-20,-30,-30,20,20,20,10,0,-10,-20,0,20,10
29,0,0,10,10,10,-30,-30,0,20,30,20,-20,0,30,10,10,-10,-30,-20,0,-10,-10,10,30
30,0,0,-10,10,10,10,-10,0,20,20,20,-10,-30,-30,10,0,30,30,20,0,-20,-20,0,0
31,0,0,0,-10,-20,0,30,20,30,-10,-20,-20,0,20,10,-10,10,10,10,30,30,-30,-30,-20
32,0,20,0,-10,-20,10,0,10,30,30,-10,-30,-10,30,30,30,0,-30,-30,-30,10,30,20,30
33,0,0,0,-10,-20,20,20,0,0,10,20,30,10,-20,-30,0,10,20,30,0,-30,-30,-20,20
34,0,0,0,10,-10,-10,10,20,20,10,-10,-20,-10,0,0,10,10,-10,-10,-30,-30,0,30,30
35,0,0,0,0,0,-20,-20,10,30,30,0,-30,-30,0,0,0,0,0,0,0,0,0,0,0
