,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,20,20,29,39,19,9,-1,26,57,38,14,5,0,11,30,47,19,-5,17,42,34,23,13,20
1,20,20,0,0,10,10,20,19,38,26,19,3,2,-1,2,13,27,56,62,39,19,-3,-9,19
2,20,20,19,19,29,29,18,-2,10,8,14,28,22,10,4,38,37,0,-9,0,28,57,47,25
3,18,18,16,36,36,26,6,4,24,46,59,31,12,9,-9,-4,19,33,46,49,37,12,12,41
4,20,20,40,50,30,10,-10,18,48,57,42,13,-21,-35,-3,8,20,49,35,-1,-16,5,33,30
5,20,20,19,7,7,17,17,33,43,26,-6,-6,8,22,32,8,20,34,36,7,-19,4,25,40
6,20,20,20,10,0,20,50,59,43,3,-29,-2,25,36,6,12,32,58,46,21,6,16,16,6
7,20,20,10,10,40,40,40,7,-31,-13,-13,5,37,59,49,25,14,31,44,27,31,44,34,33
8,20,20,20,30,50,60,41,21,9,5,1,29,23,35,40,9,-17,-19,-2,21,54,54,44,17
9,20,20,20,0,0,30,50,30,-3,-41,-47,-45,-45,-44,-46,-36,-28,-28,-3,28,48,37,15,6
10,20,20,20,38,58,48,28,8,9,11,31,46,34,9,-15,-26,-15,15,49,49,19,-17,2,21
11,21,21,31,31,11,-9,-19,-10,3,24,45,64,34,-5,-13,-12,3,19,22,19,12,3,5,1
12,20,20,20,20,30,50,60,26,-12,-32,-24,-24,6,34,30,26,7,21,43,47,26,16,0,19
13,20,20,20,20,10,30,20,25,0,2,10,22,12,34,49,32,25,0,-16,9,46,51,17,-5
14,20,20,20,19,19,19,19,28,10,8,18,16,25,43,47,38,30,35,6,-12,-13,7,41,67
15,20,20,20,20,40,40,9,-3,6,-3,-3,8,28,53,72,62,24,3,23,55,68,35,4,-29
16,19,19,29,29,29,9,9,39,60,44,11,-2,26,35,38,4,-16,-9,8,30,47,17,1,20
17,19,19,19,39,29,19,-1,-16,-9,-4,12,23,12,19,38,23,-11,-8,18,28,38,15,13,13
18,20,20,20,20,20,20,20,-2,13,35,45,21,-4,-9,-1,17,28,51,30,-1,-3,21,31,11
19,19,19,39,39,29,9,19,17,26,11,18,15,-4,-3,20,43,66,67,38,14,-2,34,56,26
20,20,20,20,20,20,40,60,48,24,-7,-31,-10,-4,6,30,41,31,30,-1,5,17,31,41,53
21,20,20,22,22,12,22,42,51,50,36,-10,-23,-5,30,41,22,1,-6,17,50,36,26,16,18
22,20,20,20,20,10,20,50,37,2,-38,-51,-51,-50,-56,-57,-52,-44,-38,-38,-33,-26,-31,2,0
23,20,20,22,22,32,22,13,33,53,40,23,-12,-14,9,39,54,26,6,24,41,22,12,0,19
24,20,20,21,11,21,51,71,58,26,-19,-13,10,33,15,5,5,-1,4,24,32,54,66,47,9
25,20,20,10,10,10,10,40,30,-9,-41,-21,-29,1,30,57,40,8,-10,-18,-9,15,33,24,-7
26,20,20,18,18,8,28,48,47,30,2,-15,13,33,57,37,21,13,6,20,52,56,31,1,9
27,21,21,11,21,41,31,11,21,28,-4,-12,3,29,48,57,19,-12,-25,6,31,56,24,6,8
28,21,21,42,52,32,12,12,42,53,53,42,27,8,-16,5,41,51,37,25,-2,-23,-11,18,34
29,20,20,22,21,41,61,51,21,-11,-18,-6,16,45,55,46,19,-19,-22,-8,25,41,36,26,-4
30,20,20,20,20,0,-20,10,29,40,30,-10,-15,7,23,13,2,15,41,56,52,32,23,-8,-27
31,20,20,20,20,20,30,9,-24,-5,11,19,35,25,4,8,3,34,60,57,18,-11,-16,4,34
32,20,20,20,20,20,30,10,20,49,14,-17,-26,-10,17,41,50,41,20,17,2,26,56,57,22
33,20,20,20,10,10,0,-10,-3,21,32,30,19,24,27,46,43,5,11,41,33,9,-24,-3,21
34,20,20,20,20,20,0,-10,10,20,33,39,28,30,19,11,28,50,67,38,5,5,15,28,46
35,20,20,20,20,20,10,0,-3,26,42,36,36,10,16,46,33,2,3,37,32,7,-18,-17,1
36,21,21,2,22,42,62,31,9,19,19,9,9,23,28,29,19,20,34,54,58,41,11,-10,-24
37,20,20,20,40,40,20,0,20,44,17,6,26,47,43,24,-6,17,23,12,23,54,73,43,11
38,20,20,20,20,20,10,20,18,23,12,9,-7,19,38,51,44,37,29,-3,-11,21,49,51,31
39,19,19,19,29,49,59,48,27,-15,-28,-9,19,39,25,19,35,35,12,10,30,25,-8,-16,14
40,20,20,21,1,-19,-9,11,20,-1,-30,-9,19,30,53,43,13,13,34,64,47,19,9,9,17
41,20,20,20,19,19,29,39,29,16,28,35,45,53,33,15,-10,-7,11,21,13,7,24,46,55
42,20,20,20,20,20,20,10,10,4,-30,0,30,39,15,12,7,-12,16,40,65,41,18,-14,-25
43,20,20,20,20,20,40,40,20,-9,-4,3,37,55,42,23,6,16,44,71,51,12,-13,1,15
44,20,20,21,11,21,41,51,40,3,-30,-2,29,52,60,32,12,23,44,70,50,16,-17,-7,23
45,18,18,17,17,17,27,17,17,8,-14,16,23,29,49,32,1,19,36,32,29,1,-21,-17,11
46,20,20,20,20,20,20,30,26,25,-2,-5,6,22,18,-11,-21,0,26,43,54,44,14,-6,24
47,20,20,20,20,20,20,40,29,26,-11,-25,-6,27,44,51,39,14,6,0,6,13,9,39,34
48,20,20,20,19,19,39,49,49,24,-10,-47,-37,-35,-43,-48,-47,-61,-59,-60,-57,-53,-53,-52,-51
49,18,18,18,28,48,58,48,28,10,1,1,4,29,25,3,-16,-6,7,27,47,38,16,-5,10
50,20,20,0,-1,19,49,59,29,1,-4,-17,7,39,45,46,55,20,11,12,12,21,14,-9,10
51,19,19,10,10,20,50,50,20,1,-7,12,22,53,70,37,7,-2,31,44,38,28,-5,2,27
52,19,19,18,18,28,28,8,18,11,19,44,58,56,30,15,-26,-1,26,37,52,20,-13,-3,17
53,20,20,20,20,20,20,20,9,3,5,0,15,35,45,30,29,40,41,12,12,41,61,39,2
54,20,20,20,20,20,20,20,19,30,12,10,-1,21,48,17,4,-18,-1,23,31,51,36,18,14
55,20,20,20,20,20,20,20,20,9,21,21,4,24,43,33,19,22,25,51,42,22,2,21,26
56,20,20,20,20,20,20,20,17,10,9,10,32,48,25,-1,7,23,55,39,39,40,20,0,-11
57,19,19,17,17,37,27,17,5,3,3,9,18,17,27,41,17,20,13,21,43,33,8,20,47
58,19,19,19,19,39,39,19,19,37,19,5,8,20,19,13,9,43,59,61,41,13,16,37,31
59,20,20,20,20,40,40,20,20,36,32,3,-10,7,17,16,35,35,38,31,21,20,45,56,42
60,20,20,30,30,10,0,30,56,46,6,-25,8,45,77,45,56,36,9,-7,16,37,40,9,-23
61,20,20,20,20,40,40,30,29,18,11,18,40,33,6,9,44,48,36,25,4,-16,-18,14,41
62,20,20,20,20,0,0,10,20,16,-17,-18,3,18,40,24,21,39,13,-18,-4,22,32,29,23
63,20,20,20,29,29,29,9,9,9,15,45,42,31,1,-29,-26,-6,28,35,31,32,32,34,45
64,20,20,21,21,31,21,21,15,32,26,10,-11,9,29,10,-13,-33,-8,-11,16,41,60,30,-8
65,19,19,19,19,19,19,29,45,42,20,13,20,26,30,5,11,38,46,16,-6,-18,15,35,65
66,20,20,20,20,20,20,20,18,-2,-27,-32,-5,-10,1,25,30,62,62,47,25,21,30,50,48
67,19,19,19,19,19,19,39,57,51,6,-19,8,26,42,15,22,41,27,14,13,54,54,34,7
68,20,20,0,0,20,30,30,18,25,15,13,23,16,-4,7,29,53,62,18,3,-6,21,40,60
69,21,21,21,41,31,11,-19,9,27,52,39,16,-2,18,25,29,38,50,12,16,41,41,11,5
70,20,20,40,40,10,0,0,19,44,19,7,18,19,23,9,-2,7,27,24,19,-1,0,14,12
71,20,20,20,20,20,20,20,37,35,6,11,38,28,2,-10,11,34,41,16,34,44,54,55,24
72,19,19,19,18,18,38,28,-3,-1,-1,5,24,18,9,12,26,56,46,20,19,9,24,33,32
73,20,20,21,21,1,-9,21,28,2,-7,8,27,33,39,49,37,24,23,19,43,54,42,12,-9
74,20,20,20,20,20,20,20,16,19,3,9,23,50,49,22,-9,-24,-1,20,37,17,7,-6,-2
75,20,20,21,20,20,20,20,16,14,-1,0,4,-3,-13,-20,-4,18,33,32,20,7,-14,3,23
76,20,20,20,19,19,19,19,9,-5,-24,-15,15,37,48,39,9,-23,-6,30,59,39,18,19,10
77,20,20,19,19,19,19,9,29,29,22,33,12,24,62,85,67,59,29,17,15,3,0,24,21
78,19,19,18,18,18,8,-2,18,42,66,62,30,10,-14,-25,-2,39,54,14,-7,24,49,42,4
79,19,19,18,18,18,28,18,25,41,29,-8,-13,15,46,80,51,42,12,-29,-4,24,31,14,24
80,20,20,20,20,20,20,20,19,-3,-24,-19,10,35,56,65,32,11,19,13,16,44,40,22,21
81,21,21,21,21,11,21,31,28,28,19,1,-7,3,11,40,34,34,23,-4,-2,5,21,22,40
82,20,20,20,20,20,20,20,19,-2,1,6,16,43,62,33,14,-6,24,19,25,44,60,61,41
83,20,20,19,19,9,9,28,37,41,13,-15,-17,12,26,43,53,31,17,5,-2,30,42,56,53
84,20,20,20,20,20,20,20,19,30,28,19,17,9,-7,-4,31,38,19,-11,-13,12,40,43,23
85,20,20,19,18,18,18,28,13,7,19,44,55,45,35,4,-32,-12,-5,16,29,24,28,27,36
86,20,20,19,19,19,19,19,39,25,2,6,3,11,6,-14,15,44,30,24,39,29,-4,-25,6
87,20,20,19,19,19,19,19,18,8,-4,27,31,24,23,23,20,25,45,44,25,7,-3,8,38
88,20,20,20,20,20,20,20,16,15,27,16,-10,13,39,59,30,12,-1,35,38,35,5,-17,-18
89,20,20,20,10,10,40,30,23,-4,-32,-2,-2,11,35,40,34,42,24,16,4,2,20,16,25
90,20,20,20,20,20,20,20,19,19,6,16,49,67,52,17,-13,5,29,37,30,29,32,13,-9
91,20,20,20,20,20,20,20,19,19,8,6,6,27,44,54,28,10,7,2,17,54,54,26,4
92,18,18,38,58,48,28,-2,7,10,9,8,8,28,21,1,-7,13,45,38,28,1,15,22,50
93,20,20,19,19,9,9,9,17,25,10,16,32,27,6,-13,-3,26,34,16,20,14,22,30,20
