,0
0,-405.0
1,-445.0
2,-585.0
3,-565.0
4,-610.0
5,-390.0
6,-180.0
7,-565.0
8,-350.0
9,-490.0
10,-525.0
11,-535.0
12,-565.0
13,-420.0
14,-355.0
15,-365.0
16,-415.0
17,-395.0
18,-550.0
19,-390.0
20,-470.0
21,-575.0
22,-420.0
23,-490.0
24,-485.0
25,-240.0
26,-405.0
27,-260.0
28,-425.0
29,-255.0
30,-360.0
31,-470.0
32,-515.0
33,-320.0
34,-205.0
35,-460.0
36,-360.0
37,-460.0
38,-460.0
39,-375.0
40,-340.0
41,-360.0
42,-485.0
43,-290.0
44,-475.0
45,-535.0
46,-390.0
47,-530.0
48,-225.0
49,-310.0
50,-375.0
51,-300.0
52,-295.0
53,-195.0
54,-500.0
55,-205.0
56,-465.0
57,-320.0
58,-310.0
59,-420.0
60,-465.0
61,-325.0
62,-420.0
63,-365.0
64,-415.0
65,-285.0
66,-260.0
67,-425.0
68,-285.0
69,-270.0
70,-395.0
71,-345.0
72,-505.0
73,-325.0
74,-270.0
75,-515.0
76,-440.0
77,-320.0
78,-420.0
79,-420.0
80,-375.0
81,-330.0
82,-320.0
83,-330.0
84,-435.0
85,-305.0
86,-230.0
87,-280.0
88,-295.0
89,-375.0
90,-145.0
91,-500.0
92,-300.0
93,-520.0
94,-515.0
95,-190.0
96,-400.0
97,-240.0
98,-420.0
99,-275.0
100,-490.0
101,-290.0
102,-250.0
103,-415.0
104,-240.0
105,-410.0
106,-330.0
107,-390.0
108,-495.0
109,-400.0
110,-300.0
111,-270.0
112,-265.0
113,-430.0
114,-265.0
115,-335.0
116,-420.0
117,-485.0
118,-280.0
119,-305.0
120,-370.0
121,-205.0
122,-225.0
123,-285.0
124,-365.0
125,-400.0
126,-360.0
127,-120.0
128,-455.0
129,-155.0
130,-335.0
131,-320.0
132,-495.0
133,-410.0
134,-415.0
135,-235.0
136,-190.0
137,-345.0
138,-395.0
139,-375.0
140,-240.0
141,-430.0
142,-145.0
143,-215.0
144,-270.0
145,-195.0
146,-350.0
147,-310.0
148,-215.0
149,-440.0
150,-340.0
151,-385.0
152,-335.0
153,-240.0
154,-355.0
155,-280.0
156,-380.0
157,-345.0
158,-405.0
159,-375.0
160,-470.0
161,-395.0
162,-485.0
163,-160.0
164,-385.0
165,-155.0
166,-440.0
167,-285.0
168,-370.0
169,-260.0
170,-245.0
171,-220.0
172,-255.0
173,-305.0
174,-385.0
175,-545.0
176,-335.0
177,-205.0
178,-285.0
179,-400.0
180,-480.0
181,-150.0
182,-375.0
183,-185.0
184,-455.0
185,-335.0
186,-375.0
187,-175.0
188,-185.0
189,-545.0
190,-560.0
191,-430.0
192,-335.0
193,-370.0
194,-410.0
195,-360.0
196,-340.0
197,-230.0
198,-530.0
199,-310.0
200,-270.0
201,-550.0
202,-495.0
203,-375.0
204,-465.0
205,-310.0
206,-250.0
207,-340.0
208,-180.0
209,-275.0
210,-355.0
211,-265.0
212,-290.0
213,-435.0
214,-425.0
215,-425.0
216,-415.0
217,-305.0
218,-345.0
219,-240.0
220,-290.0
221,-325.0
222,-240.0
223,-435.0
224,-350.0
225,-305.0
226,-405.0
227,-220.0
228,-165.0
229,-450.0
230,-275.0
231,-295.0
232,-345.0
233,-355.0
234,-230.0
235,-250.0
236,-285.0
237,-360.0
238,-90.0
239,-255.0
240,-230.0
241,-175.0
242,-460.0
243,-290.0
244,-285.0
245,-360.0
246,-250.0
247,-130.0
248,-235.0
249,-335.0
250,-250.0
251,-290.0
252,-190.0
253,-425.0
254,-260.0
255,-465.0
256,-160.0
257,-210.0
258,-280.0
259,-395.0
260,-260.0
261,-310.0
262,-380.0
263,-440.0
264,-505.0
265,-280.0
266,-350.0
267,-300.0
268,-150.0
269,-310.0
270,-305.0
271,-100.0
272,-290.0
273,-265.0
274,-155.0
275,-225.0
276,-255.0
277,-165.0
278,-165.0
279,-330.0
280,-345.0
281,-310.0
282,-385.0
283,-425.0
284,-235.0
285,-240.0
286,-395.0
287,-210.0
288,-345.0
289,-350.0
290,-420.0
291,-295.0
292,-185.0
293,-270.0
294,-615.0
295,-210.0
296,-290.0
297,-350.0
298,-320.0
299,-465.0
300,-310.0
301,-300.0
302,-245.0
303,-215.0
304,-395.0
305,-400.0
306,-365.0
307,-440.0
308,-250.0
309,-455.0
310,-215.0
311,-265.0
312,-265.0
313,-370.0
314,-385.0
315,-455.0
316,-315.0
317,-260.0
318,-230.0
319,-285.0
320,-405.0
321,-220.0
322,-385.0
323,-235.0
324,-395.0
325,-470.0
326,-270.0
327,-570.0
328,-335.0
329,-390.0
330,-140.0
331,-390.0
332,-315.0
333,-335.0
334,-450.0
335,-425.0
336,-255.0
337,-160.0
338,-280.0
339,-475.0
340,-315.0
341,-230.0
342,-180.0
343,-335.0
344,-265.0
345,-325.0
346,-410.0
347,-280.0
348,-315.0
349,-340.0
350,-230.0
351,-380.0
352,-170.0
353,-365.0
354,-235.0
355,-420.0
356,-350.0
357,-235.0
358,-255.0
359,-240.0
360,-230.0
361,-400.0
362,-405.0
363,-265.0
364,-290.0
365,-150.0
366,-210.0
367,-475.0
368,-320.0
369,-105.0
370,-75.0
371,-355.0
372,-370.0
373,-345.0
374,-360.0
375,-255.0
376,-330.0
377,-295.0
378,-510.0
379,-85.0
380,-285.0
381,-150.0
382,-240.0
383,-165.0
384,-270.0
385,-230.0
386,-235.0
387,-295.0
388,-420.0
389,-325.0
390,-240.0
391,-375.0
392,-160.0
393,-130.0
394,-375.0
395,-360.0
396,-280.0
397,-270.0
398,-245.0
399,-405.0
400,-180.0
401,-465.0
402,-375.0
403,-370.0
404,-250.0
405,-375.0
406,-295.0
407,-410.0
408,-580.0
409,-100.0
410,-290.0
411,-300.0
412,-360.0
413,-335.0
414,-225.0
415,-340.0
416,-140.0
417,-140.0
418,-200.0
419,-465.0
420,-335.0
421,-255.0
422,-195.0
423,-240.0
424,-320.0
425,-200.0
426,-280.0
427,-260.0
428,-130.0
429,-165.0
430,-205.0
431,-230.0
432,-235.0
433,-340.0
434,-315.0
435,-190.0
436,-200.0
437,-325.0
438,-95.0
439,-245.0
440,-365.0
441,-340.0
442,-185.0
443,-420.0
444,-65.0
445,-355.0
446,-270.0
447,-360.0
448,-350.0
449,-265.0
450,-460.0
451,-180.0
452,-150.0
453,-370.0
454,-340.0
455,-165.0
456,-230.0
457,-360.0
458,-370.0
459,-420.0
460,-205.0
461,-260.0
462,-410.0
463,-260.0
464,-260.0
465,-295.0
466,-335.0
467,-295.0
468,-155.0
469,-165.0
470,-85.0
471,-320.0
472,-440.0
473,-240.0
474,-255.0
475,-355.0
476,-360.0
477,-350.0
478,-265.0
479,-450.0
480,-35.0
481,-310.0
482,-315.0
483,-175.0
484,-215.0
485,-395.0
486,-475.0
487,-340.0
488,-300.0
489,-510.0
490,-335.0
491,-385.0
492,-385.0
493,-285.0
494,-310.0
495,-160.0
496,-135.0
497,-245.0
498,-225.0
499,-330.0
500,-130.0
501,-180.0
502,-240.0
503,-405.0
504,-70.0
505,-180.0
506,-375.0
507,-125.0
508,-265.0
509,-225.0
510,-95.0
511,-110.0
512,-55.0
513,-410.0
514,-285.0
515,-260.0
516,-225.0
517,-310.0
518,-290.0
519,-100.0
520,-120.0
521,-390.0
522,-350.0
523,-185.0
524,-310.0
525,-185.0
526,-390.0
527,-320.0
528,-105.0
529,-175.0
530,-370.0
531,-240.0
532,-455.0
533,-200.0
534,-295.0
535,-220.0
536,-360.0
537,-30.0
538,-375.0
539,-240.0
540,-400.0
541,-260.0
542,-65.0
543,-350.0
544,-145.0
545,-590.0
546,-180.0
547,-210.0
548,-460.0
549,-350.0
550,-485.0
551,-400.0
552,-420.0
553,-185.0
554,-355.0
555,-180.0
556,-215.0
557,-180.0
558,-130.0
559,-325.0
560,-245.0
561,-395.0
562,-385.0
563,-130.0
564,-375.0
565,-225.0
566,-345.0
567,-245.0
568,-145.0
569,-280.0
