,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,20,20,-20,-30,0,10,30,10,0,-20,-20,-10,20,10,10,-10,-10,20,30,-10,-20,-30,10
1,0,0,20,20,-20,-20,-30,-10,20,0,20,30,20,10,-10,-20,-10,0,10,20,0,0,-10,-30
2,10,20,-30,-10,10,20,0,0,-30,-10,30,30,30,10,-20,-20,30,30,0,-20,-20,-10,-10,10
3,10,10,-20,-10,30,30,10,-20,-30,-20,30,30,0,-10,-20,-10,10,30,10,-20,10,10,10,-10
4,20,-20,-30,20,10,10,-10,-30,0,30,30,10,-10,-20,0,30,20,-30,-30,-20,30,30,30,-20
5,-10,0,-10,20,20,10,-10,-30,0,30,20,-10,-20,20,10,-10,-30,0,20,30,10,-30,-30,-20
6,20,0,-30,0,30,-10,0,0,10,10,-10,0,20,20,0,-20,-20,-10,30,30,-30,-30,-30,20
7,-20,10,30,0,-10,0,0,-20,0,10,10,20,-10,-20,0,30,10,10,-10,-30,-10,0,0,10
8,10,-10,10,20,10,-30,-30,-20,20,0,30,30,20,10,-10,-10,-10,-20,0,-10,30,10,10,-10
9,10,20,0,-10,-10,-10,10,20,10,-20,-20,20,20,10,0,0,0,0,-20,0,10,10,20,-10
10,10,-20,-20,20,20,20,-10,-20,-20,20,30,30,10,-20,-10,-10,-10,20,30,20,-30,-30,-10,10
11,-10,20,10,-10,-10,-30,20,20,0,-20,20,10,0,-20,-20,10,20,20,0,-20,-20,0,20,30
12,-20,0,20,20,10,-30,-10,-10,30,30,10,-20,-10,-10,0,20,20,0,0,20,0,-20,-20,-20
13,10,-20,0,10,20,10,-30,-30,10,30,10,-20,10,20,0,-20,-10,20,-10,-30,-10,0,30,20
14,0,0,10,0,10,10,-10,-20,0,10,20,30,-10,-30,-20,10,0,20,-20,-20,0,0,10,0
15,0,10,20,-20,-10,10,20,-20,10,20,-10,-10,20,20,30,-10,-20,-10,-10,10,-20,10,10,20
16,-20,-20,20,30,30,-30,-20,-10,20,30,10,-30,-20,0,30,20,20,-20,-30,-30,30,0,20,20
17,-20,-20,10,30,30,0,-30,-10,10,20,10,0,-10,-10,20,30,20,-20,-10,-30,-10,20,30,20
18,-10,20,0,-20,10,30,0,-20,-30,-10,20,30,20,-10,0,0,-10,-10,10,30,-10,-10,-30,10
19,-10,10,10,0,-20,-20,10,30,20,0,-20,-10,30,10,20,-10,-30,-20,0,0,10,30,20,10
20,10,-10,-10,-20,20,30,20,-20,-20,0,0,30,30,20,-20,-30,-30,20,30,10,-30,-30,10,10
21,20,0,-20,-30,20,20,0,0,0,0,20,30,30,-10,-30,-30,10,20,10,-20,-30,10,30,30
22,20,0,-10,-20,10,10,10,10,-30,10,10,0,-20,10,0,20,-10,-10,20,0,-10,-20,-20,10
23,10,-10,-20,-20,20,20,20,10,-10,-10,-10,0,30,30,0,-20,-20,-10,10,30,10,-10,-30,-30
24,0,20,-20,-10,-20,-10,20,20,30,20,0,-10,-30,10,30,10,-10,-20,0,0,0,-10,10,0
25,0,20,-10,0,0,10,10,-10,-30,-20,30,20,-10,10,20,30,-30,-20,10,0,20,10,-30,-30
26,10,0,-20,0,20,20,-10,-20,-20,20,0,30,0,0,10,10,10,20,-20,-30,-10,10,30,30
27,10,-10,-20,-10,10,20,30,10,-30,0,0,20,30,0,-30,-20,-20,20,10,0,0,-10,-30,10
28,-10,10,-10,-10,0,0,20,10,20,20,-10,-10,10,30,20,-30,-30,-20,20,30,20,0,-10,-20
29,0,20,10,-30,-10,0,20,10,0,-10,-10,0,20,10,30,10,-10,-20,-30,0,20,-10,-30,-10
30,-20,-10,10,10,10,30,0,-20,-10,30,30,30,-20,-30,-20,10,30,10,10,0,-30,-10,0,0
31,10,-10,-30,-20,20,30,20,0,-20,10,0,-10,0,0,0,20,30,0,0,20,20,0,-20,-20
32,0,-20,10,20,20,10,-10,-30,-20,20,30,30,10,-20,0,30,10,-20,-20,-20,30,20,10,20
33,20,0,-10,-30,10,20,30,10,-20,-30,0,20,20,10,-10,-10,0,30,10,0,-20,-20,-30,0
34,-10,-10,30,20,0,-20,-10,-10,10,30,10,0,-20,-30,20,30,-20,-30,-20,-20,20,30,10,-10
35,10,-20,-20,-10,20,30,10,-20,-20,0,30,30,20,-10,-30,-20,0,30,30,0,-10,-10,-20,-20
36,-20,20,10,10,-20,-20,-10,20,30,20,20,0,-30,-20,0,30,30,20,-20,0,-30,-30,-20,30
