,0
0,20
1,20
2,20
3,20
4,20
5,21
6,16
7,16
8,12
9,2
10,3
11,2
12,-2
13,0
14,-1
15,-1
16,-2
17,-13
18,-6
19,-3
20,-2
21,-3
22,-9
23,-10
24,20
25,20
26,20
27,20
28,20
29,20
30,17
31,18
32,10
33,6
34,7
35,4
36,4
37,4
38,4
39,5
40,3
41,0
42,-3
43,-9
44,-9
45,-9
46,-13
47,-16
48,20
49,21
50,21
51,21
52,21
53,21
54,19
55,19
56,1
57,-7
58,-6
59,-14
60,-16
61,-23
62,-32
63,-32
64,-34
65,-34
66,-35
67,-32
68,-35
69,-33
70,-32
71,-33
72,20
73,20
74,20
75,20
76,20
77,20
78,18
79,18
80,-5
81,-23
82,-24
83,-20
84,-15
85,-15
86,-13
87,-2
88,-1
89,1
90,0
91,5
92,6
93,6
94,1
95,-2
96,20
97,20
98,20
99,20
100,20
101,20
102,18
103,8
104,-5
105,-7
106,-5
107,-9
108,-22
109,-28
110,-27
111,-27
112,-26
113,-26
114,-33
115,-36
116,-36
117,-35
118,-41
119,-41
120,19
121,19
122,19
123,19
124,19
125,19
126,19
127,18
128,-2
129,-3
130,-1
131,2
132,10
133,4
134,-2
135,-2
136,-2
137,4
138,4
139,1
140,1
141,-1
142,-7
143,-7
144,20
145,21
146,21
147,21
148,21
149,21
150,21
151,21
152,20
153,17
154,18
155,17
156,12
157,14
158,7
159,11
160,1
161,8
162,8
163,12
164,15
165,12
166,10
167,6
168,20
169,20
170,20
171,20
172,20
173,20
174,16
175,16
176,19
177,4
178,4
179,3
180,-6
181,-7
182,-11
183,-27
184,-31
185,-30
186,-19
187,-25
188,-29
189,-31
190,-31
191,-32
192,20
193,19
194,19
195,19
196,19
197,18
198,18
199,15
200,8
201,4
202,4
203,1
204,-6
205,-7
206,-11
207,-23
208,-21
209,-29
210,-33
211,-27
212,-28
213,-29
214,-29
215,-31
216,20
217,18
218,18
219,18
220,18
221,18
222,18
223,17
224,4
225,0
226,-7
227,-10
228,-17
229,-16
230,-23
231,-17
232,-18
233,-26
234,-34
235,-40
236,-40
237,-39
238,-46
239,-46
240,20
241,20
242,20
243,20
244,20
245,20
246,19
247,17
248,19
249,15
250,6
251,5
252,5
253,2
254,3
255,7
256,13
257,11
258,17
259,23
260,24
261,25
262,16
263,16
264,20
265,20
266,20
267,20
268,20
269,20
270,19
271,15
272,7
273,-6
274,-7
275,-12
276,-10
277,-13
278,-12
279,-11
280,-7
281,-9
282,-8
283,-10
284,-10
285,-14
286,-18
287,-21
288,20
289,20
290,20
291,20
292,20
293,20
294,19
295,12
296,18
297,10
298,10
299,10
300,18
301,10
302,10
303,11
304,1
305,-1
306,-6
307,-6
308,-8
309,-7
310,-10
311,-14
312,20
313,20
314,20
315,20
316,20
317,20
318,15
319,9
320,5
321,-6
322,-10
323,-12
324,-9
325,-14
326,-12
327,-19
328,-24
329,-20
330,-21
331,-19
332,-20
333,-20
334,-23
335,-25
336,19
337,19
338,19
339,19
340,19
341,19
342,19
343,7
344,1
345,0
346,-1
347,-1
348,-1
349,-2
350,-5
351,-12
352,0
353,-8
354,1
355,12
356,10
357,12
358,8
359,9
360,20
361,20
362,20
363,20
364,20
365,20
366,19
367,19
368,3
369,3
370,4
371,3
372,3
373,7
374,7
375,7
376,9
377,4
378,9
379,2
380,1
381,1
382,0
383,-2
384,20
385,20
386,20
387,20
388,20
389,20
390,20
391,13
392,10
393,9
394,5
395,6
396,9
397,0
398,-4
399,-13
400,-6
401,-12
402,-4
403,1
404,1
405,0
406,-2
407,-4
408,20
409,18
410,18
411,18
412,18
413,18
414,18
415,18
416,4
417,0
418,2
419,2
420,9
421,9
422,-2
423,5
424,10
425,4
426,8
427,8
428,8
429,10
430,6
431,4
432,20
433,19
434,19
435,19
436,19
437,19
438,18
439,15
440,12
441,-1
442,-13
443,-10
444,-22
445,-17
446,-18
447,-20
448,-19
449,-34
450,-28
451,-26
452,-26
453,-26
454,-32
455,-31
456,20
457,20
458,20
459,20
460,20
461,20
462,19
463,14
464,10
465,8
466,10
467,-2
468,0
469,-16
470,-14
471,-15
472,-11
473,-11
474,-11
475,-6
476,-6
477,-7
478,-11
479,-11
480,20
481,20
482,19
483,19
484,19
485,19
486,19
487,12
488,-4
489,-4
490,-5
491,-12
492,-8
493,-8
494,-7
495,-8
496,-23
497,-19
498,-19
499,-13
500,-8
501,-9
502,-24
503,-27
504,20
505,20
506,20
507,20
508,20
509,20
510,20
511,16
512,-4
513,-12
514,-16
515,-19
516,-14
517,-19
518,-19
519,-18
520,-12
521,-12
522,-5
523,2
524,-1
525,0
526,-6
527,-6
528,20
529,20
530,20
531,20
532,20
533,20
534,17
535,15
536,8
537,4
538,-5
539,-16
540,-18
541,-13
542,-13
543,-13
544,-23
545,-12
546,-20
547,-22
548,-22
549,-23
550,-23
551,-23
552,19
553,19
554,19
555,19
556,19
557,19
558,19
559,7
560,4
561,-8
562,-12
563,-14
564,-11
565,-12
566,-11
567,-17
568,-13
569,-15
570,-24
571,-14
572,-17
573,-17
574,-21
575,-21
576,20
577,19
578,19
579,19
580,19
581,19
582,17
583,17
584,6
585,5
586,5
587,9
588,6
589,3
590,2
591,-3
592,-6
593,-5
594,-3
595,-4
596,-4
597,-3
598,-5
599,-8
600,20
601,21
602,21
603,21
604,21
605,21
606,21
607,19
608,10
609,10
610,3
611,-1
612,1
613,6
614,-1
615,-6
616,-6
617,-6
618,-5
619,-10
620,-13
621,-10
622,-11
623,-15
624,20
625,21
626,20
627,20
628,20
629,20
630,20
631,20
632,14
633,5
634,4
635,5
636,10
637,20
638,20
639,21
640,18
641,20
642,15
643,20
644,20
645,18
646,14
647,13
648,20
649,20
650,20
651,20
652,20
653,20
654,20
655,14
656,2
657,-7
658,-11
659,-18
660,-3
661,-13
662,-13
663,-16
664,-14
665,-6
666,-18
667,-16
668,-16
669,-15
670,-32
671,-35
672,18
673,14
674,13
675,13
676,13
677,13
678,12
679,7
680,-6
681,-6
682,-7
683,-7
684,-7
685,0
686,-3
687,-5
688,-5
689,0
690,4
691,8
692,8
693,7
694,6
695,6
696,20
697,21
698,21
699,21
700,21
701,21
702,16
703,11
704,6
705,3
706,4
707,9
708,7
709,10
710,11
711,9
712,8
713,10
714,22
715,21
716,21
717,21
718,16
719,16
720,20
721,20
722,20
723,20
724,20
725,19
726,19
727,14
728,12
729,9
730,5
731,2
732,9
733,9
734,9
735,19
736,14
737,16
738,16
739,16
740,11
741,14
742,9
743,8
744,20
745,20
746,20
747,20
748,20
749,20
750,19
751,18
752,19
753,18
754,15
755,18
756,24
757,14
758,15
759,13
760,13
761,11
762,14
763,17
764,17
765,16
766,12
767,9
768,20
769,21
770,21
771,21
772,21
773,21
774,18
775,16
776,3
777,-13
778,-18
779,-18
780,-21
781,-22
782,-35
783,-38
784,-41
785,-49
786,-50
787,-56
788,-50
789,-51
790,-56
791,-56
792,19
793,19
794,19
795,19
796,19
797,19
798,16
799,13
800,9
801,7
802,-2
803,-2
804,3
805,5
806,3
807,0
808,-9
809,-23
810,-16
811,-16
812,-17
813,-17
814,-15
815,-17
816,20
817,20
818,20
819,20
820,20
821,20
822,17
823,12
824,1
825,-8
826,-9
827,-11
828,-18
829,-27
830,-21
831,-23
832,-23
833,-33
834,-30
835,-23
836,-28
837,-27
838,-27
839,-31
840,20
841,19
842,19
843,19
844,19
845,19
846,18
847,12
848,3
849,1
850,1
851,-10
852,-15
853,-7
854,-9
855,-11
856,-17
857,-23
858,-27
859,-34
860,-35
861,-35
862,-34
863,-34
864,20
865,21
866,20
867,20
868,20
869,20
870,16
871,12
872,3
873,-9
874,-12
875,-8
876,-2
877,-7
878,-16
879,-20
880,-29
881,-33
882,-27
883,-21
884,-18
885,-17
886,-24
887,-24
888,21
889,19
890,18
891,18
892,18
893,18
894,19
895,16
896,6
897,-8
898,-8
899,-8
900,-5
901,-6
902,-7
903,3
904,2
905,3
906,12
907,10
908,12
909,9
910,7
911,6
912,20
913,20
914,20
915,20
916,20
917,20
918,19
919,19
920,16
921,14
922,14
923,15
924,9
925,5
926,-4
927,-6
928,5
929,16
930,19
931,16
932,17
933,14
934,11
935,8
936,20
937,20
938,20
939,20
940,20
941,20
942,19
943,17
944,10
945,11
946,8
947,7
948,6
949,9
950,5
951,8
952,8
953,2
954,9
955,8
956,8
957,8
958,5
959,2
960,20
961,20
962,20
963,20
964,20
965,20
966,19
967,19
968,7
969,1
970,0
971,-4
972,-11
973,-12
974,-12
975,-11
976,-8
977,-3
978,4
979,4
980,6
981,6
982,0
983,-1
984,20
985,20
986,20
987,20
988,20
989,20
990,20
991,11
992,3
993,-7
994,-7
995,-13
996,-24
997,-19
998,-19
999,-24
1000,-24
1001,-22
1002,-20
1003,-29
1004,-33
1005,-30
1006,-41
1007,-42
1008,20
1009,21
1010,20
1011,20
1012,20
1013,20
1014,18
1015,16
1016,7
1017,5
1018,2
1019,1
1020,7
1021,-5
1022,0
1023,-7
1024,-4
1025,-1
1026,-5
1027,-6
1028,-9
1029,-9
1030,-11
1031,-12
1032,20
1033,20
1034,19
1035,19
1036,19
1037,19
1038,14
1039,8
1040,-4
1041,-9
1042,-16
1043,-25
1044,-19
1045,-28
1046,-31
1047,-35
1048,-31
1049,-32
1050,-23
1051,-23
1052,-23
1053,-24
1054,-26
1055,-27
1056,20
1057,21
1058,21
1059,21
1060,21
1061,21
1062,20
1063,13
1064,12
1065,4
1066,4
1067,-2
1068,-4
1069,-10
1070,-14
1071,-26
1072,-22
1073,-22
1074,-17
1075,-23
1076,-20
1077,-21
1078,-21
1079,-24
1080,19
1081,20
1082,19
1083,19
1084,19
1085,19
1086,15
1087,14
1088,10
1089,5
1090,5
1091,5
1092,5
1093,13
1094,0
1095,4
1096,10
1097,10
1098,12
1099,12
1100,14
1101,19
1102,10
1103,9
1104,19
1105,20
1106,20
1107,20
1108,20
1109,20
1110,19
1111,17
1112,17
1113,18
1114,15
1115,17
1116,20
1117,21
1118,21
1119,19
1120,14
1121,14
1122,10
1123,11
1124,19
1125,19
1126,11
1127,11
1128,20
1129,20
1130,20
1131,20
1132,20
1133,20
1134,18
1135,13
1136,-6
1137,-21
1138,-24
1139,-26
1140,-17
1141,-25
1142,-23
1143,-28
1144,-26
1145,-26
1146,-16
1147,-20
1148,-24
1149,-22
1150,-30
1151,-32
1152,21
1153,21
1154,21
1155,21
1156,21
1157,21
1158,19
1159,14
1160,-5
1161,-6
1162,-4
1163,-8
1164,-1
1165,-9
1166,-15
1167,-17
1168,-22
1169,-29
1170,-30
1171,-30
1172,-29
1173,-29
1174,-27
1175,-27
1176,20
1177,21
1178,21
1179,21
1180,21
1181,21
1182,19
1183,14
1184,1
1185,-6
1186,-12
1187,-12
1188,-13
1189,-6
1190,-15
1191,-16
1192,-14
1193,-9
1194,-13
1195,-12
1196,-12
1197,-12
1198,-14
1199,-14
1200,20
1201,20
1202,20
1203,20
1204,20
1205,20
1206,20
1207,20
1208,8
1209,8
1210,0
1211,-2
1212,-11
1213,-9
1214,-18
1215,-18
1216,-12
1217,-6
1218,11
1219,20
1220,20
1221,19
1222,19
1223,17
1224,18
1225,18
1226,18
1227,18
1228,18
1229,18
1230,16
1231,13
1232,12
1233,8
1234,5
1235,0
1236,12
1237,19
1238,15
1239,15
1240,15
1241,15
1242,16
1243,27
1244,28
1245,32
1246,31
1247,30
1248,20
1249,19
1250,19
1251,19
1252,19
1253,19
1254,15
1255,13
1256,8
1257,9
1258,9
1259,11
1260,9
1261,5
1262,10
1263,-1
1264,1
1265,-3
1266,-8
1267,-15
1268,-13
1269,-12
1270,-12
1271,-12
1272,20
1273,19
1274,19
1275,19
1276,19
1277,19
1278,18
1279,14
1280,8
1281,0
1282,-1
1283,-1
1284,5
1285,6
1286,7
1287,4
1288,1
1289,3
1290,11
1291,10
1292,13
1293,15
1294,14
1295,14
1296,20
1297,20
1298,20
1299,20
1300,20
1301,20
1302,18
1303,6
1304,-8
1305,-12
1306,-15
1307,-15
1308,-17
1309,-15
1310,-18
1311,-19
1312,-21
1313,-27
1314,-20
1315,-20
1316,-11
1317,-11
1318,-17
1319,-18
1320,20
1321,20
1322,20
1323,20
1324,20
1325,20
1326,18
1327,8
1328,10
1329,4
1330,-2
1331,-1
1332,-9
1333,-11
1334,-11
1335,-15
1336,-16
1337,-11
1338,-2
1339,-4
1340,-9
1341,-9
1342,-9
1343,-9
1344,20
1345,20
1346,20
1347,20
1348,20
1349,20
1350,20
1351,12
1352,0
1353,-10
1354,-10
1355,-18
1356,-17
1357,-21
1358,-20
1359,-25
1360,-18
1361,-15
1362,-12
1363,-21
1364,-20
1365,-19
1366,-24
1367,-26
1368,20
1369,21
1370,21
1371,21
1372,21
1373,21
1374,21
1375,17
1376,-5
1377,-5
1378,-4
1379,-8
1380,-6
1381,-8
1382,-5
1383,-8
1384,-6
1385,-9
1386,-12
1387,-18
1388,-15
1389,-14
1390,-20
1391,-20
1392,21
1393,21
1394,21
1395,21
1396,21
1397,21
1398,21
1399,21
1400,10
1401,0
1402,3
1403,0
1404,4
1405,1
1406,-10
1407,-14
1408,-3
1409,-3
1410,-5
1411,-2
1412,-2
1413,2
1414,3
1415,2
1416,20
1417,19
1418,19
1419,19
1420,19
1421,19
1422,17
1423,19
1424,13
1425,11
1426,13
1427,7
1428,7
1429,5
1430,11
1431,14
1432,12
1433,8
1434,9
1435,8
1436,14
1437,11
1438,10
1439,10
1440,20
1441,20
1442,20
1443,20
1444,20
1445,20
1446,20
1447,13
1448,9
1449,5
1450,4
1451,15
1452,12
1453,14
1454,13
1455,16
1456,10
1457,17
1458,23
1459,29
1460,28
1461,23
1462,21
1463,18
1464,20
1465,20
1466,20
1467,20
1468,20
1469,20
1470,18
1471,21
1472,14
1473,8
1474,2
1475,0
1476,-1
1477,8
1478,16
1479,3
1480,4
1481,2
1482,5
1483,7
1484,10
1485,9
1486,8
1487,5
1488,20
1489,18
1490,18
1491,18
1492,18
1493,18
1494,18
1495,18
1496,6
1497,5
1498,1
1499,-3
1500,6
1501,7
1502,6
1503,4
1504,4
1505,3
1506,11
1507,8
1508,5
1509,1
1510,-1
1511,-3
1512,20
1513,20
1514,19
1515,19
1516,19
1517,19
1518,17
1519,9
1520,3
1521,5
1522,9
1523,11
1524,17
1525,17
1526,18
1527,8
1528,12
1529,9
1530,13
1531,16
1532,19
1533,16
1534,3
1535,2
1536,20
1537,19
1538,19
1539,19
1540,19
1541,19
1542,19
1543,17
1544,16
1545,12
1546,9
1547,9
1548,3
1549,3
1550,3
1551,13
1552,7
1553,-2
1554,-2
1555,-1
1556,-3
1557,-3
1558,-8
1559,-9
1560,20
1561,17
1562,17
1563,17
1564,17
1565,17
1566,16
1567,13
1568,6
1569,6
1570,-2
1571,3
1572,13
1573,5
1574,2
1575,12
1576,4
1577,4
1578,-3
1579,1
1580,2
1581,1
1582,-2
1583,-5
1584,20
1585,21
1586,21
1587,21
1588,21
1589,21
1590,21
1591,14
1592,1
1593,-6
1594,-7
1595,-3
1596,-10
1597,-6
1598,-6
1599,-18
1600,-19
1601,-19
1602,-14
1603,-11
1604,-16
1605,-16
1606,-26
1607,-27
1608,20
1609,20
1610,19
1611,19
1612,19
1613,19
1614,15
1615,6
1616,6
1617,8
1618,0
1619,-3
1620,1
1621,10
1622,5
1623,3
1624,9
1625,5
1626,5
1627,8
1628,14
1629,16
1630,16
1631,15
1632,21
1633,21
1634,21
1635,21
1636,21
1637,21
1638,18
1639,18
1640,6
1641,-14
1642,-17
1643,-17
1644,-27
1645,-30
1646,-29
1647,-35
1648,-35
1649,-37
1650,-21
1651,-17
1652,-16
1653,-15
1654,-19
1655,-24
1656,20
1657,19
1658,19
1659,19
1660,19
1661,19
1662,18
1663,16
1664,5
1665,-8
1666,-11
1667,-9
1668,-2
1669,-3
1670,-7
1671,-10
1672,-8
1673,-6
1674,-1
1675,1
1676,1
1677,0
1678,0
1679,0
1680,20
1681,20
1682,19
1683,19
1684,19
1685,19
1686,17
1687,4
1688,1
1689,-1
1690,-3
1691,-6
1692,-6
1693,-11
1694,-9
1695,-16
1696,-17
1697,-30
1698,-14
1699,-6
1700,1
1701,-1
1702,-4
1703,-7
1704,20
1705,19
1706,19
1707,19
1708,19
1709,19
1710,19
1711,14
1712,2
1713,-9
1714,-18
1715,-18
1716,-23
1717,-27
1718,-21
1719,-17
1720,-14
1721,-19
1722,-13
1723,-10
1724,-10
1725,-5
1726,-5
1727,-11
1728,20
1729,18
1730,18
1731,18
1732,18
1733,18
1734,16
1735,13
1736,7
1737,-7
1738,-10
1739,-11
1740,-17
1741,-17
1742,-20
1743,-25
1744,-28
1745,-26
1746,-17
1747,-15
1748,-15
1749,-18
1750,-27
1751,-29
1752,20
1753,18
1754,18
