,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,20,20,10,20,10,0,-9,-4,16,42,52,53,32,8,-20,9,29,28,17,34,27,28,7,11
1,20,20,10,30,20,0,0,7,18,40,56,27,-6,-16,-6,14,45,73,70,37,1,-9,-9,17
2,20,20,41,61,61,31,1,-31,-21,-39,-17,-16,-4,14,27,8,-2,16,36,35,18,25,47,58
3,20,20,30,20,-10,-10,0,28,58,15,-33,-4,0,35,65,47,28,19,1,20,25,36,16,-19
4,20,20,10,10,30,40,10,-22,-12,5,23,55,51,28,-8,-7,13,44,34,17,24,24,5,-1
5,19,19,9,19,39,49,29,19,-2,-32,-3,-1,22,40,24,18,8,-2,4,14,41,71,59,23
6,20,20,21,11,-9,11,21,51,61,30,7,-2,27,42,34,27,11,1,8,18,22,25,42,60
7,20,20,30,40,10,-10,0,16,26,29,4,4,3,24,53,39,-7,-11,10,51,75,61,29,-1
8,20,20,29,29,29,29,18,18,25,28,24,14,21,24,43,59,37,19,11,7,33,52,51,21
9,20,20,28,38,38,8,8,8,37,24,-10,-27,0,23,24,37,63,42,4,-24,-20,10,31,24
10,20,20,20,0,0,30,50,29,17,29,35,16,-15,-5,22,43,47,43,11,-13,13,44,75,56
11,20,20,0,-10,20,30,10,-21,5,27,44,23,8,20,37,38,9,13,41,52,40,30,26,32
12,20,20,0,20,50,50,30,-1,2,18,40,40,30,18,20,10,31,21,-1,-6,24,52,43,20
13,20,20,30,50,50,40,30,15,19,15,24,10,-2,31,46,58,21,-14,-30,-11,21,50,70,37
14,19,19,29,39,19,19,29,39,7,-19,-20,-1,29,39,48,15,-2,30,42,61,62,40,12,-12
15,20,20,20,20,30,10,10,19,19,3,13,24,43,43,37,27,27,39,24,-1,12,21,11,30
16,20,20,30,50,20,10,-10,-20,-7,10,29,25,36,49,40,26,-3,4,8,46,61,31,10,-2
17,20,20,28,18,-2,8,18,18,8,-16,10,42,42,39,9,-22,5,40,44,48,18,-2,10,36
18,20,20,19,19,9,-1,19,48,45,22,-1,-13,10,28,63,62,40,11,-14,22,54,74,44,8
19,20,20,20,30,20,10,30,39,24,20,28,40,18,0,4,36,65,69,39,9,4,4,13,29
20,20,20,30,9,9,9,19,29,22,16,26,45,28,32,32,33,2,-23,-9,21,57,62,31,-4
21,20,20,0,0,0,10,40,70,36,-14,-52,-36,-39,-34,-39,-39,-38,-32,-32,-25,-18,9,40,64
22,20,20,20,20,40,20,-10,-33,-25,-32,-6,-15,-16,2,27,37,27,-3,18,30,28,8,-13,17
23,19,19,29,39,29,19,19,39,47,14,-28,-22,6,39,38,39,33,7,-15,6,46,53,43,29
24,20,20,29,9,9,29,39,37,7,-4,5,35,69,46,13,2,-13,4,35,67,36,6,7,35
25,20,20,41,61,31,1,-29,-19,9,30,60,53,19,-9,6,9,4,4,4,15,30,17,10,-1
26,20,20,31,40,10,-10,10,30,30,-6,-25,-16,15,40,40,20,21,8,-10,-15,0,20,28,24
27,20,20,40,30,10,-20,-10,20,24,2,-7,-1,2,47,67,57,24,-4,14,32,54,64,35,-2
28,18,18,24,43,43,23,3,22,47,14,4,13,43,43,40,27,-5,-5,10,24,38,38,27,26
29,20,20,31,51,61,31,11,-14,-29,-4,23,34,29,27,20,21,29,48,50,52,21,1,21,26
30,20,20,20,10,10,40,29,29,34,42,49,35,22,9,9,19,39,54,36,26,16,1,4,29
31,20,20,30,40,20,10,20,49,28,9,18,15,28,54,24,5,3,23,31,14,27,27,16,12
32,20,20,11,11,41,41,31,28,16,-17,-43,-28,-28,-1,28,45,42,19,11,20,4,10,29,14
