,0
0,-225.0
1,-405.0
2,-480.0
3,-510.0
4,-315.0
5,-405.0
6,-415.0
7,-545.0
8,-300.0
9,-335.0
10,-360.0
11,-575.0
12,-445.0
13,-405.0
14,-490.0
15,-445.0
16,-515.0
17,-530.0
18,-415.0
19,-405.0
20,-355.0
21,-430.0
22,-420.0
23,-465.0
24,-440.0
25,-585.0
26,-565.0
27,-585.0
28,-480.0
29,-310.0
30,-375.0
31,-400.0
32,-460.0
33,-210.0
34,-530.0
35,-680.0
36,-345.0
37,-385.0
38,-430.0
39,-555.0
40,-625.0
41,-640.0
42,-545.0
43,-365.0
44,-450.0
45,-485.0
46,-590.0
47,-510.0
48,-360.0
49,-535.0
50,-600.0
51,-255.0
52,-330.0
53,-490.0
54,-535.0
55,-415.0
56,-395.0
57,-435.0
58,-130.0
59,-555.0
60,-495.0
61,-525.0
62,-605.0
63,-435.0
64,-295.0
65,-590.0
66,-390.0
67,-545.0
68,-530.0
69,-475.0
70,-490.0
71,-535.0
72,-305.0
73,-530.0
74,-440.0
75,-475.0
76,-330.0
77,-430.0
78,-460.0
79,-565.0
80,-325.0
81,-405.0
82,-405.0
83,-365.0
84,-515.0
85,-400.0
86,-475.0
87,-335.0
88,-405.0
89,-585.0
90,-535.0
91,-355.0
92,-435.0
93,-535.0
94,-585.0
95,-455.0
96,-435.0
97,-325.0
98,-415.0
99,-490.0
100,-545.0
101,-560.0
102,-590.0
103,-275.0
104,-415.0
105,-355.0
106,-495.0
107,-320.0
108,-350.0
109,-525.0
110,-415.0
111,-480.0
112,-420.0
113,-495.0
114,-545.0
115,-450.0
116,-365.0
117,-540.0
118,-355.0
119,-565.0
120,-555.0
121,-370.0
122,-440.0
123,-360.0
124,-355.0
125,-505.0
126,-440.0
127,-465.0
128,-330.0
129,-505.0
130,-485.0
131,-570.0
132,-600.0
133,-465.0
134,-515.0
135,-330.0
136,-360.0
137,-470.0
138,-430.0
139,-685.0
140,-585.0
141,-430.0
142,-600.0
143,-355.0
144,-540.0
145,-540.0
146,-390.0
147,-365.0
148,-625.0
149,-440.0
150,-555.0
151,-540.0
152,-460.0
153,-430.0
154,-525.0
155,-370.0
156,-345.0
157,-425.0
158,-520.0
159,-560.0
160,-365.0
161,-290.0
162,-230.0
163,-410.0
164,-445.0
165,-545.0
166,-525.0
167,-440.0
168,-305.0
169,-535.0
170,-245.0
171,-530.0
172,-420.0
173,-370.0
174,-375.0
175,-370.0
176,-290.0
177,-300.0
178,-270.0
179,-485.0
180,-230.0
181,-590.0
182,-320.0
183,-350.0
184,-320.0
185,-565.0
186,-450.0
187,-395.0
188,-225.0
189,-440.0
190,-540.0
191,-435.0
192,-615.0
193,-515.0
194,-295.0
195,-425.0
196,-345.0
197,-275.0
198,-370.0
199,-320.0
200,-510.0
201,-670.0
202,-435.0
203,-395.0
204,-545.0
205,-365.0
206,-335.0
207,-385.0
208,-405.0
209,-540.0
210,-435.0
211,-370.0
212,-235.0
213,-530.0
214,-445.0
215,-530.0
216,-465.0
217,-390.0
218,-485.0
219,-525.0
220,-535.0
221,-285.0
222,-410.0
223,-325.0
224,-455.0
225,-395.0
226,-475.0
227,-475.0
228,-395.0
229,-490.0
230,-560.0
231,-500.0
232,-610.0
233,-520.0
234,-610.0
235,-340.0
236,-410.0
237,-425.0
238,-335.0
239,-585.0
240,-480.0
241,-300.0
242,-390.0
243,-375.0
244,-505.0
245,-345.0
246,-480.0
247,-510.0
248,-430.0
249,-420.0
250,-480.0
251,-550.0
252,-455.0
253,-565.0
254,-430.0
255,-460.0
256,-410.0
257,-680.0
258,-440.0
259,-480.0
260,-420.0
261,-580.0
262,-425.0
263,-400.0
264,-535.0
265,-515.0
266,-445.0
267,-515.0
268,-350.0
269,-405.0
270,-420.0
271,-650.0
272,-315.0
273,-635.0
274,-285.0
275,-550.0
276,-330.0
277,-310.0
278,-495.0
279,-495.0
280,-490.0
281,-350.0
282,-245.0
283,-535.0
284,-375.0
285,-545.0
286,-530.0
287,-460.0
288,-500.0
289,-480.0
290,-470.0
291,-635.0
292,-495.0
293,-475.0
294,-480.0
295,-530.0
296,-360.0
297,-475.0
298,-480.0
299,-420.0
300,-325.0
301,-595.0
302,-515.0
303,-550.0
304,-500.0
305,-565.0
306,-320.0
307,-420.0
308,-345.0
309,-310.0
310,-505.0
311,-480.0
312,-515.0
313,-455.0
314,-585.0
315,-355.0
316,-405.0
317,-545.0
318,-180.0
319,-365.0
320,-600.0
321,-305.0
322,-665.0
323,-380.0
324,-285.0
325,-430.0
326,-370.0
327,-655.0
328,-405.0
329,-640.0
330,-420.0
331,-490.0
332,-255.0
333,-535.0
334,-450.0
335,-530.0
336,-500.0
337,-415.0
338,-475.0
339,-330.0
340,-440.0
341,-435.0
342,-470.0
343,-470.0
344,-655.0
345,-420.0
346,-585.0
347,-475.0
348,-385.0
349,-305.0
350,-285.0
351,-500.0
352,-500.0
353,-330.0
354,-340.0
355,-425.0
356,-425.0
357,-615.0
358,-490.0
359,-410.0
360,-635.0
361,-545.0
362,-520.0
363,-705.0
364,-515.0
365,-345.0
366,-395.0
367,-365.0
368,-485.0
369,-355.0
370,-330.0
371,-370.0
372,-540.0
373,-535.0
374,-405.0
375,-485.0
376,-470.0
377,-480.0
378,-465.0
379,-290.0
380,-570.0
381,-570.0
382,-515.0
383,-440.0
384,-390.0
385,-340.0
386,-550.0
387,-505.0
388,-550.0
389,-420.0
390,-625.0
391,-405.0
392,-610.0
393,-605.0
394,-450.0
395,-510.0
396,-310.0
397,-550.0
398,-490.0
399,-500.0
400,-545.0
401,-410.0
402,-460.0
403,-325.0
404,-535.0
405,-575.0
406,-500.0
407,-530.0
408,-430.0
409,-485.0
410,-570.0
411,-465.0
412,-450.0
413,-255.0
414,-370.0
415,-440.0
416,-455.0
417,-400.0
418,-290.0
419,-395.0
420,-385.0
421,-550.0
422,-595.0
423,-365.0
424,-435.0
425,-270.0
426,-375.0
427,-270.0
428,-445.0
429,-330.0
430,-235.0
431,-555.0
432,-630.0
433,-240.0
434,-255.0
435,-290.0
436,-495.0
437,-430.0
438,-240.0
439,-505.0
440,-490.0
441,-395.0
442,-430.0
443,-310.0
444,-475.0
445,-440.0
446,-405.0
447,-385.0
448,-490.0
449,-580.0
450,-520.0
451,-535.0
452,-505.0
453,-360.0
454,-385.0
455,-360.0
456,-315.0
457,-355.0
458,-420.0
459,-535.0
460,-515.0
461,-600.0
462,-335.0
463,-460.0
464,-570.0
465,-370.0
466,-480.0
467,-295.0
468,-390.0
469,-275.0
470,-355.0
471,-575.0
472,-455.0
473,-410.0
474,-545.0
475,-560.0
476,-460.0
477,-410.0
478,-330.0
479,-495.0
480,-465.0
481,-475.0
482,-410.0
483,-400.0
484,-440.0
485,-475.0
486,-550.0
487,-410.0
488,-640.0
489,-335.0
490,-295.0
491,-450.0
492,-355.0
493,-340.0
494,-490.0
495,-460.0
496,-465.0
497,-445.0
498,-420.0
499,-470.0
500,-615.0
501,-560.0
502,-225.0
503,-380.0
504,-485.0
505,-490.0
506,-440.0
507,-380.0
508,-295.0
509,-555.0
510,-655.0
511,-625.0
512,-560.0
513,-405.0
514,-500.0
515,-385.0
516,-415.0
517,-660.0
518,-495.0
519,-385.0
520,-525.0
521,-430.0
522,-650.0
523,-515.0
524,-385.0
525,-385.0
526,-465.0
527,-385.0
528,-430.0
529,-600.0
530,-420.0
531,-340.0
532,-425.0
533,-460.0
534,-455.0
535,-440.0
536,-465.0
537,-420.0
538,-450.0
539,-470.0
540,-445.0
541,-305.0
542,-420.0
543,-410.0
544,-370.0
545,-600.0
546,-255.0
547,-420.0
548,-400.0
549,-585.0
550,-305.0
551,-490.0
552,-345.0
553,-485.0
554,-435.0
555,-610.0
556,-320.0
557,-315.0
558,-515.0
559,-445.0
560,-455.0
561,-310.0
562,-550.0
563,-330.0
564,-405.0
565,-460.0
566,-360.0
567,-545.0
568,-295.0
569,-480.0
570,-445.0
571,-445.0
572,-455.0
573,-485.0
574,-550.0
575,-415.0
576,-440.0
577,-420.0
578,-640.0
579,-415.0
580,-460.0
581,-360.0
582,-450.0
583,-565.0
584,-640.0
585,-435.0
586,-410.0
587,-425.0
588,-415.0
589,-480.0
590,-455.0
591,-555.0
592,-685.0
593,-390.0
594,-480.0
595,-325.0
596,-430.0
597,-555.0
598,-505.0
599,-450.0
600,-270.0
601,-565.0
602,-415.0
603,-600.0
604,-520.0
605,-455.0
606,-590.0
607,-385.0
608,-540.0
609,-500.0
610,-440.0
611,-535.0
612,-450.0
613,-405.0
614,-260.0
615,-365.0
616,-440.0
617,-420.0
618,-460.0
619,-420.0
620,-545.0
621,-460.0
622,-325.0
623,-440.0
624,-480.0
625,-485.0
626,-345.0
627,-360.0
628,-490.0
629,-240.0
630,-355.0
631,-420.0
632,-625.0
633,-525.0
634,-380.0
635,-495.0
636,-530.0
637,-725.0
638,-375.0
639,-455.0
640,-385.0
641,-480.0
642,-485.0
643,-135.0
644,-315.0
645,-350.0
646,-315.0
647,-615.0
648,-325.0
649,-400.0
650,-405.0
651,-430.0
652,-455.0
653,-435.0
654,-335.0
655,-520.0
656,-470.0
657,-500.0
658,-585.0
659,-525.0
660,-515.0
661,-585.0
662,-360.0
663,-505.0
664,-535.0
665,-285.0
666,-410.0
667,-550.0
668,-360.0
669,-495.0
670,-385.0
671,-450.0
672,-345.0
673,-330.0
674,-360.0
675,-415.0
676,-470.0
677,-410.0
678,-530.0
679,-315.0
680,-355.0
681,-475.0
682,-510.0
683,-560.0
684,-510.0
685,-535.0
686,-480.0
687,-340.0
688,-190.0
689,-520.0
690,-455.0
691,-345.0
692,-435.0
693,-470.0
694,-400.0
695,-505.0
696,-545.0
697,-590.0
698,-520.0
699,-280.0
700,-405.0
701,-615.0
702,-640.0
703,-480.0
704,-590.0
705,-560.0
706,-555.0
707,-360.0
708,-325.0
709,-395.0
710,-550.0
711,-515.0
712,-300.0
713,-515.0
714,-600.0
715,-510.0
716,-585.0
717,-375.0
718,-535.0
719,-455.0
720,-435.0
721,-300.0
722,-370.0
723,-330.0
724,-515.0
725,-450.0
726,-370.0
727,-350.0
728,-525.0
729,-470.0
730,-490.0
731,-350.0
732,-395.0
733,-390.0
734,-475.0
735,-530.0
736,-480.0
737,-350.0
738,-545.0
739,-605.0
740,-440.0
741,-430.0
742,-220.0
743,-485.0
744,-580.0
745,-285.0
746,-615.0
747,-485.0
748,-660.0
749,-545.0
750,-345.0
751,-540.0
752,-330.0
753,-610.0
754,-410.0
755,-570.0
756,-510.0
757,-580.0
758,-250.0
759,-360.0
760,-395.0
761,-485.0
762,-410.0
763,-475.0
764,-480.0
765,-505.0
766,-490.0
767,-530.0
768,-355.0
769,-420.0
770,-460.0
771,-540.0
772,-565.0
773,-475.0
774,-580.0
775,-340.0
776,-430.0
777,-540.0
778,-355.0
779,-525.0
780,-535.0
781,-430.0
782,-340.0
783,-625.0
784,-500.0
785,-685.0
786,-650.0
787,-500.0
788,-455.0
789,-270.0
790,-390.0
791,-385.0
792,-575.0
793,-540.0
794,-470.0
795,-470.0
796,-585.0
797,-415.0
798,-455.0
799,-555.0
800,-245.0
801,-270.0
802,-505.0
803,-380.0
804,-310.0
805,-310.0
806,-555.0
807,-325.0
808,-500.0
809,-430.0
810,-440.0
811,-335.0
812,-445.0
813,-390.0
814,-420.0
