,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-10,0,20,0,0,-20,0,0,20,0,10,10,10,-30,-10,-10,20,20,20,20,0,-30,-30,-30
1,0,-10,-10,20,20,10,-20,-20,10,30,0,-10,10,30,0,-10,-10,-30,-10,10,30,20,10,-30
2,-10,20,-10,-10,10,30,10,0,-20,0,30,10,0,0,10,-20,0,0,20,30,-20,-30,-20,10
3,0,0,10,20,20,-20,-20,-20,0,30,20,20,-20,0,-10,-10,10,20,30,-10,-20,0,10,-10
4,10,-10,-10,0,20,30,-30,-30,10,30,20,-10,-20,-30,10,30,10,10,0,-20,-10,30,20,10
5,20,20,0,-30,-20,10,-10,-10,30,30,10,-20,0,10,20,10,-30,-30,-10,30,30,-10,-30,-20
6,-20,0,0,10,30,20,-30,-20,-10,30,30,20,-20,-10,0,0,10,20,-10,-20,-30,-20,10,30
7,10,-20,-30,-10,20,30,10,10,10,-10,-10,-10,-20,30,30,20,-20,-30,-10,20,0,-20,20,20
8,0,-10,20,20,0,-20,-30,-10,10,30,30,20,-30,-10,20,10,-20,-20,10,10,-10,20,20,-10
9,10,0,0,0,0,0,-20,0,30,0,0,0,20,20,20,-30,-20,10,0,10,10,30,-20,-10
10,-10,-20,30,30,-20,-10,0,10,0,-10,0,20,20,-10,-20,0,20,20,-10,10,-20,-20,0,20
11,0,20,-20,0,20,-10,-20,-10,-10,30,30,20,-30,-30,-10,20,30,20,-10,-20,-30,10,20,20
12,0,-20,-20,20,30,10,-10,-30,10,30,20,0,-10,-10,20,30,0,-30,-20,20,-10,0,20,20
13,0,10,20,-20,-10,-10,20,30,-10,-30,-20,-10,30,0,20,0,-10,-10,-20,0,20,10,0,10
14,0,0,10,-10,-30,10,10,20,0,20,10,10,-30,-20,10,10,-10,10,0,-30,0,10,10,30
15,20,0,-30,-10,20,30,20,0,-10,-20,-10,0,10,20,20,10,0,-10,-10,-10,-30,20,20,30
16,0,-10,0,0,0,0,30,20,0,-20,0,0,0,0,10,20,10,-10,-20,0,20,0,-30,-20
17,-20,0,30,10,0,0,-10,0,0,10,0,30,30,-10,-20,-30,0,10,20,30,0,-20,-30,10
18,0,20,20,-10,-20,-30,10,30,20,-10,-30,-30,30,0,30,30,0,-10,-10,-10,-30,0,30,30
19,0,10,20,-20,-30,0,20,10,10,30,20,-10,-30,-10,20,0,0,-30,-20,0,30,30,20,-30
20,0,0,-20,-10,0,20,20,20,-20,-10,0,20,20,10,-10,-10,0,-20,10,10,10,0,0,-10
21,-10,0,10,10,20,10,-20,-30,-20,20,0,30,30,20,-30,-30,10,30,30,-20,-20,-20,-10,10
22,0,0,-10,10,20,10,-20,-20,-20,20,0,30,10,0,-10,-30,0,20,30,-10,-20,-10,10,30
23,0,0,20,0,-20,-20,-10,30,30,20,-20,-20,10,0,0,20,10,0,0,-20,-20,10,30,20
24,0,0,-20,0,0,0,0,30,30,0,10,-10,-30,-20,20,0,30,10,-10,-20,-30,-10,30,30
25,0,0,10,-10,0,-10,-10,10,20,10,20,-10,-10,-20,20,20,-10,-20,20,10,10,-20,-20,-10
26,0,0,0,-10,-10,30,20,10,0,0,-10,0,30,0,-30,-10,20,30,30,-20,-30,-20,-10,0
27,0,0,0,20,0,-30,-20,30,20,20,-10,0,-10,10,0,-10,0,10,0,-10,-20,10,30,20
28,0,0,0,-10,-20,-10,30,20,0,-10,0,30,30,10,-10,-30,-10,30,30,30,-20,0,-20,-20
29,0,0,0,0,20,10,-10,-30,0,10,10,30,20,10,-30,-30,-20,30,30,-10,-30,-30,10,30
30,-20,0,0,20,30,-10,-20,-20,10,0,30,30,20,-20,0,20,-10,0,-20,-30,0,20,20,10
31,0,0,0,20,0,-30,-10,0,10,20,10,20,0,-10,-10,-20,20,30,30,20,0,-30,-20,-10
32,0,0,0,-10,10,20,-10,0,-10,20,30,20,-20,-30,0,30,0,0,20,10,20,-30,-10,0
33,0,0,-20,-20,30,30,-10,-20,10,20,10,-10,-10,20,20,20,-10,-10,-30,20,0,10,-10,0
34,0,0,0,20,10,0,-10,-10,-10,20,10,10,-30,-20,20,30,10,-20,-30,-30,20,20,-10,0
35,0,0,0,-20,0,30,20,10,-30,-20,-10,0,20,30,10,-10,-20,0,30,30,0,-10,-20,-30
36,0,0,-10,20,0,-20,0,20,20,30,-30,-20,20,0,10,10,-10,10,-10,-20,-20,30,10,-10
37,0,0,0,0,0,-20,0,0,20,20,30,-20,-30,-30,10,30,30,30,0,-20,-30,-30,0,30
38,0,0,0,0,0,0,0,10,20,10,-20,0,-10,20,10,0,-20,-30,-30,-10,20,30,10,10
39,0,0,20,0,-30,0,30,10,-10,10,0,0,-10,-10,10,30,20,20,0,-20,-30,-20,0,30
40,0,0,0,0,-10,0,30,20,0,-30,-30,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-20,0,20,30,-10,-10,0,-10,-10,0,20,20,0,-10,-10,20,30,-10,-30,-10,20,20,-10,-20
42,0,0,0,10,10,0,0,-10,-10,-20,20,20,30,0,-20,-20,10,30,0,10,0,-20,-10,-10
43,0,10,10,10,-30,-20,-10,20,30,30,-20,-10,10,-10,-10,30,20,-10,10,-10,-10,10,-10,20
44,0,-10,0,0,-10,20,30,10,-20,-20,20,20,0,10,0,0,0,0,-30,-30,0,30,30,10
45,0,0,20,0,-10,0,0,-10,-30,20,30,20,-20,-30,0,20,30,10,-20,-10,10,-10,-20,-20
46,0,0,0,10,20,-30,-10,0,0,30,30,20,10,-30,-30,0,30,30,20,0,-30,-20,-20,-10
47,10,0,10,10,0,-10,-20,-30,10,30,30,20,-30,-20,10,0,0,0,-20,-20,10,20,30,30
48,0,0,0,0,-20,10,20,10,-20,-20,0,20,30,20,0,-20,-20,-20,10,30,20,-20,-20,0
49,0,0,0,0,-10,20,30,0,-20,-30,-20,20,30,10,-10,10,20,-30,-20,0,10,0,10,20
50,0,0,0,20,0,0,-20,0,0,0,30,10,-30,-30,20,30,10,-20,-20,-20,20,20,10,-10
51,0,0,0,0,10,20,10,-10,-30,-30,30,30,-10,-30,-10,20,10,20,10,0,-30,-20,-30,10
52,0,20,0,-10,-20,-10,10,20,30,-10,-30,-10,20,0,30,10,-10,-30,-20,10,10,20,-10,-10
53,0,0,0,0,10,0,-30,0,10,0,30,30,0,-10,-10,-30,0,0,10,20,-10,0,-10,0
54,0,0,0,0,0,20,20,-20,-10,-30,-10,30,30,0,-20,0,10,20,0,-10,-10,0,-10,20
55,10,0,0,-20,-10,20,20,-10,10,-20,-20,20,20,20,-10,0,-20,10,10,30,10,-20,-20,-20
56,0,0,0,10,-10,0,20,10,-30,-10,30,30,10,0,0,0,-20,-10,0,30,10,-10,-30,0
57,0,0,0,20,10,-20,-20,10,20,30,-10,-30,-20,10,30,30,20,0,-30,-30,0,20,30,0
58,0,0,20,-10,-20,10,0,0,0,10,10,20,10,10,0,-20,-10,-20,10,20,20,10,0,-30
59,0,0,0,0,0,10,10,-10,10,0,-10,20,0,0,0,-10,0,0,30,-10,-30,10,30,10
60,0,0,10,10,10,-20,-20,-10,10,20,30,0,-10,-10,30,0,-20,-10,-10,20,10,10,-20,-10
61,10,0,10,-20,0,0,0,20,0,0,0,20,0,-20,-20,30,30,-20,-30,10,10,0,0,10
62,-10,0,20,0,0,-10,10,30,0,-10,-10,0,0,-10,-10,30,20,-10,-10,0,10,10,0,-20
63,0,0,0,0,10,0,0,10,20,-10,-10,-10,-10,0,30,10,0,10,-20,-30,30,20,-10,-20
64,0,0,-20,-10,20,30,-10,-30,-10,20,30,20,10,-20,-30,-10,20,20,0,-30,-20,0,10,20
65,0,0,0,0,10,0,0,0,0,30,20,0,-30,0,0,10,10,10,-20,-10,10,-20,0,10
66,0,0,20,0,-10,-30,-10,30,30,30,0,-30,-30,-30,0,30,30,0,-20,10,0,10,-30,-10
67,0,0,0,0,0,10,10,10,10,0,-30,0,20,30,20,-30,-20,10,20,20,0,-20,-20,0
68,0,0,20,20,-30,-20,10,10,20,20,0,-10,0,0,0,10,-20,10,10,0,10,10,-20,-30
69,0,0,0,0,0,0,0,10,0,10,-10,10,0,10,20,0,-20,-10,-10,10,10,20,20,-20
70,0,0,0,0,0,0,20,0,-30,0,20,30,0,-30,-30,0,30,20,10,-30,-30,-10,20,20
71,0,0,0,0,0,0,-20,-10,30,20,0,-20,-20,-10,30,30,10,-10,-30,0,20,30,-10,-30
72,0,0,-10,0,10,30,20,-30,-30,20,30,30,-10,-30,-20,20,30,20,10,-30,-20,-20,10,20
73,0,0,0,-20,-10,10,30,0,10,-10,0,-20,0,20,10,30,20,-30,-30,-30,20,30,30,10
74,0,0,0,0,0,0,-10,-10,30,30,0,0,-10,-20,20,20,10,0,-30,-10,0,30,20,0
75,0,0,0,0,0,0,10,0,-10,20,10,0,0,20,20,0,-20,-30,-10,20,20,10,-20,-20
76,-10,0,0,0,20,0,-20,0,30,0,-20,10,20,10,0,-20,-30,20,30,10,-10,-30,-10,30
77,0,0,0,0,0,0,-20,20,10,10,20,20,-30,-30,20,20,-10,-10,0,0,30,0,-10,0
78,20,0,0,-20,0,0,0,-10,-10,30,0,30,20,0,10,-20,-10,0,30,30,-30,-20,0,0
79,0,-10,0,-10,0,10,0,20,10,-10,-10,10,30,30,0,-10,-20,-10,10,0,10,20,10,-20
