,0
0,20
1,19
2,18
3,18
4,18
5,18
6,16
7,12
8,3
9,3
10,-1
11,-7
12,-11
13,-17
14,-20
15,-18
16,-24
17,-35
18,-41
19,-41
20,-42
21,-41
22,-41
23,-43
24,19
25,19
26,19
27,19
28,19
29,19
30,13
31,8
32,2
33,-12
34,-12
35,-8
36,-18
37,-33
38,-39
39,-42
40,-46
41,-47
42,-40
43,-37
44,-33
45,-29
46,-31
47,-33
48,21
49,21
50,21
51,21
52,21
53,20
54,19
55,19
56,5
57,1
58,0
59,0
60,8
61,7
62,7
63,14
64,23
65,21
66,21
67,19
68,22
69,22
70,16
71,13
72,20
73,20
74,20
75,20
76,20
77,20
78,20
79,20
80,12
81,10
82,7
83,5
84,10
85,11
86,4
87,-1
88,-1
89,-9
90,-3
91,1
92,1
93,0
94,0
95,-1
96,19
97,19
98,19
99,19
100,19
101,19
102,17
103,18
104,17
105,10
106,11
107,11
108,11
109,13
110,15
111,13
112,14
113,22
114,28
115,33
116,35
117,37
118,37
119,37
120,20
121,20
122,19
123,19
124,19
125,19
126,17
127,15
128,0
129,2
130,4
131,-4
132,-8
133,-8
134,-12
135,-10
136,-8
137,-2
138,-2
139,1
140,2
141,2
142,-6
143,-7
144,18
145,18
146,18
147,18
148,18
149,17
150,14
151,4
152,1
153,1
154,-4
155,-11
156,-11
157,-9
158,-13
159,-13
160,-11
161,-11
162,7
163,15
164,15
165,17
166,16
167,13
168,19
169,19
170,19
171,19
172,19
173,19
174,17
175,12
176,-7
177,-7
178,-16
179,-8
180,-13
181,-18
182,-19
183,-33
184,-27
185,-29
186,-30
187,-27
188,-24
189,-22
190,-25
191,-27
192,20
193,19
194,18
195,18
196,18
197,18
198,15
199,11
200,11
201,3
202,3
203,3
204,12
205,5
206,-3
207,-8
208,-7
209,-4
210,0
211,-2
212,-2
213,-2
214,-4
215,-7
216,20
217,20
218,20
219,20
220,20
221,20
222,19
223,11
224,8
225,5
226,-5
227,-5
228,-9
229,-1
230,8
231,1
232,-1
233,0
234,0
235,3
236,3
237,3
238,1
239,2
240,20
241,21
242,21
243,21
244,21
245,21
246,21
247,16
248,5
249,-8
250,-13
251,-9
252,-9
253,-20
254,-20
255,-26
256,-40
257,-49
258,-47
259,-47
260,-45
261,-45
262,-51
263,-53
264,20
265,20
266,20
267,20
268,20
269,20
270,20
271,16
272,13
273,10
274,15
275,9
276,4
277,3
278,11
279,2
280,0
281,4
282,7
283,15
284,22
285,22
286,22
287,24
288,20
289,21
290,21
291,21
292,21
293,21
294,19
295,17
296,1
297,-12
298,-11
299,-14
300,-8
301,-5
302,6
303,-3
304,5
305,7
306,10
307,12
308,12
309,8
310,9
311,8
312,20
313,20
314,19
315,19
316,19
317,19
318,19
319,18
320,13
321,5
322,5
323,0
324,2
325,8
326,-3
327,-3
328,3
329,6
330,21
331,23
332,21
333,22
334,19
335,17
336,19
337,19
338,19
339,19
340,19
341,19
342,16
343,15
344,17
345,11
346,12
347,14
348,16
349,21
350,26
351,24
352,31
353,32
354,45
355,45
356,45
357,46
358,45
359,45
360,20
361,20
362,20
363,20
364,20
365,20
366,20
367,17
368,8
369,8
370,13
371,15
372,17
373,14
374,4
375,-4
376,-2
377,-6
378,-3
379,-5
380,-8
381,-7
382,-11
383,-11
384,20
385,18
386,18
387,18
388,18
389,18
390,17
391,14
392,11
393,8
394,7
395,7
396,5
397,7
398,6
399,10
400,9
401,13
402,14
403,11
404,10
405,9
406,1
407,-4
408,19
409,19
410,19
411,19
412,19
413,19
414,19
415,19
416,6
417,-3
418,-1
419,0
420,0
421,3
422,-15
423,-15
424,-9
425,-15
426,-14
427,-21
428,-21
429,-20
430,-23
431,-23
432,20
433,19
434,19
435,19
436,19
437,19
438,17
439,11
440,6
441,1
442,-3
443,-4
444,-4
445,-6
446,-12
447,-15
448,-11
449,-11
450,1
451,3
452,6
453,7
454,6
455,5
456,20
457,21
458,21
459,21
460,21
461,21
462,21
463,19
464,16
465,12
466,8
467,2
468,-7
469,-7
470,-6
471,-6
472,-3
473,-6
474,6
475,16
476,15
477,15
478,14
479,13
480,20
481,20
482,20
483,20
484,20
485,20
486,19
487,18
488,-1
489,-10
490,-18
491,-25
492,-23
493,-32
494,-30
495,-17
496,-14
497,-22
498,-21
499,-15
500,-14
501,-10
502,-11
503,-11
504,20
505,20
506,20
507,20
508,20
509,20
510,16
511,11
512,2
513,-2
514,-2
515,-1
516,-7
517,-13
518,-22
519,-22
520,-12
521,-20
522,-11
523,-5
524,-6
525,-6
526,-8
527,-8
528,19
529,19
530,17
531,17
532,17
533,17
534,14
535,12
536,-13
537,-18
538,-18
539,-21
540,-19
541,-20
542,-25
543,-28
544,-39
545,-46
546,-35
547,-30
548,-30
549,-30
550,-30
551,-31
552,20
553,20
554,20
555,20
556,20
557,20
558,20
559,19
560,5
561,2
562,4
563,-1
564,3
565,6
566,-7
567,-11
568,-8
569,-6
570,-4
571,-2
572,-1
573,-2
574,-1
575,-5
576,18
577,18
578,18
579,18
580,18
581,18
582,14
583,7
584,2
585,-1
586,-1
587,-1
588,-4
589,-5
590,-5
591,-21
592,-30
593,-30
594,-30
595,-29
596,-30
597,-30
598,-34
599,-37
600,21
601,21
602,21
603,21
604,21
605,21
606,19
607,18
608,12
609,16
610,14
611,14
612,13
613,10
614,12
615,7
616,10
617,8
618,10
619,9
620,14
621,13
622,13
623,9
624,20
625,20
626,20
627,20
628,20
629,20
630,20
631,10
632,10
633,-2
634,-2
635,2
636,-11
637,-15
638,-26
639,-14
640,-15
641,-16
642,-2
643,-10
644,-10
645,-8
646,-15
647,-20
648,21
649,20
650,20
651,20
652,20
653,20
654,17
655,2
656,-10
657,-20
658,-20
659,-25
660,-26
661,-22
662,-25
663,-23
664,-25
665,-22
666,-17
667,-12
668,-8
669,-4
670,-5
671,-5
672,21
673,20
674,20
675,20
676,20
677,20
678,20
679,15
680,15
681,15
682,15
683,19
684,19
685,22
686,24
687,20
688,20
689,15
690,18
691,17
692,16
693,14
694,13
695,13
696,20
697,20
698,19
699,19
700,19
701,19
702,16
703,13
704,1
705,3
706,3
707,-8
708,-6
709,-11
710,-15
711,-15
712,-3
713,-6
714,-2
715,-1
716,-2
717,-2
718,0
719,-6
720,20
721,20
722,20
723,20
724,20
725,20
726,20
727,13
728,-8
729,-15
730,-18
731,-22
732,-23
733,-32
734,-32
735,-37
736,-37
737,-51
738,-49
739,-50
740,-52
741,-48
742,-46
743,-48
744,19
745,18
746,18
747,18
748,18
749,18
750,18
751,11
752,0
753,-1
754,-4
755,-7
756,-13
757,-11
758,-7
759,-7
760,-13
761,-13
762,-10
763,-17
764,-17
765,-16
766,-19
767,-20
768,20
769,19
770,19
771,19
772,19
773,19
774,19
775,9
776,-5
777,-13
778,-13
779,-13
780,-20
781,-20
782,-13
783,-13
784,-13
785,-13
786,-3
787,-5
788,-7
789,-2
790,-4
791,-4
792,20
793,20
794,20
795,20
796,20
797,20
798,18
799,14
800,10
801,9
802,8
803,8
804,0
805,-7
806,5
807,-2
808,-8
809,-8
810,4
811,7
812,7
813,7
814,7
815,6
816,20
817,20
818,20
819,20
820,20
821,19
822,17
823,12
824,-5
825,-8
826,-8
827,-10
828,-6
829,-6
830,-3
831,-12
832,-21
833,-24
834,-17
835,-15
836,-17
837,-18
838,-18
839,-18
840,20
841,18
842,18
843,18
844,18
845,18
846,18
847,15
848,8
849,6
850,1
851,0
852,-2
853,-5
854,-1
855,-6
856,3
857,4
858,6
859,8
860,5
861,7
862,7
863,6
864,19
865,17
866,17
867,17
868,17
869,17
870,15
871,6
872,-12
873,-20
874,-24
875,-30
876,-38
877,-41
878,-41
879,-39
880,-34
881,-40
882,-34
883,-38
884,-38
885,-34
886,-42
887,-44
888,20
889,21
890,21
891,21
892,21
893,22
894,20
895,15
896,-12
897,-20
898,-20
899,-21
900,-19
901,-25
902,-27
903,-40
904,-35
905,-33
906,-27
907,-36
908,-31
909,-31
910,-31
911,-31
912,20
913,20
914,20
915,20
916,20
917,20
918,16
919,12
920,5
921,4
922,-3
923,-9
924,-12
925,-8
926,-7
927,-8
928,-6
929,-9
930,-14
931,-13
932,-23
933,-21
934,-23
935,-23
936,19
937,19
938,19
939,19
940,19
941,19
942,18
943,19
944,3
945,-7
946,-7
947,-10
948,-15
949,-18
950,-16
951,-15
952,-8
953,-12
954,-2
955,-2
956,-2
957,-3
958,-3
959,-4
960,20
961,20
962,20
963,20
964,20
965,20
966,17
967,15
968,8
969,12
970,12
971,4
972,-3
973,-16
974,-13
975,-11
976,-20
977,-22
978,-17
979,-27
980,-26
981,-26
982,-30
983,-35
984,19
985,19
986,19
987,19
988,19
989,19
990,19
991,19
992,20
993,20
994,16
995,22
996,16
997,13
998,8
999,8
1000,15
1001,20
1002,16
1003,15
1004,19
1005,19
1006,20
1007,16
1008,20
1009,21
1010,20
1011,20
1012,20
1013,20
1014,16
1015,10
1016,14
1017,6
1018,6
1019,5
1020,3
1021,3
1022,-10
1023,-6
1024,3
1025,4
1026,4
1027,4
1028,3
1029,3
1030,-1
1031,-3
1032,20
1033,21
1034,21
1035,21
1036,21
1037,21
1038,16
1039,12
1040,10
1041,6
1042,8
1043,10
1044,11
1045,11
1046,0
1047,-1
1048,-1
1049,-6
1050,-1
1051,10
1052,13
1053,13
1054,11
1055,7
1056,20
1057,19
1058,19
1059,19
1060,19
1061,19
1062,14
1063,12
1064,-10
1065,-17
1066,-20
1067,-18
1068,-18
1069,-37
1070,-43
1071,-43
1072,-36
1073,-37
1074,-43
1075,-44
1076,-48
1077,-44
1078,-45
1079,-46
1080,20
1081,20
1082,20
1083,20
1084,20
1085,20
1086,16
1087,11
1088,11
1089,9
1090,5
1091,5
1092,6
1093,7
1094,-4
1095,-10
1096,-6
1097,-21
1098,-13
1099,-3
1100,-3
1101,-3
1102,-1
1103,-2
1104,20
1105,20
1106,20
1107,20
1108,20
1109,20
1110,20
1111,19
1112,18
1113,19
1114,22
1115,22
1116,14
1117,20
1118,21
1119,10
1120,16
1121,19
1122,12
1123,13
1124,10
1125,6
1126,3
1127,2
1128,20
1129,20
1130,20
1131,20
1132,20
1133,20
1134,15
1135,13
1136,1
1137,1
1138,-5
1139,-8
1140,-10
1141,-11
1142,-8
1143,-8
1144,4
1145,8
1146,13
1147,22
1148,22
1149,21
1150,20
1151,19
1152,21
1153,21
1154,21
1155,21
1156,21
1157,21
1158,21
1159,21
1160,26
1161,29
1162,30
1163,24
1164,33
1165,39
1166,23
1167,26
1168,32
1169,28
1170,30
1171,29
1172,33
1173,32
1174,32
1175,30
1176,20
1177,20
1178,20
1179,20
1180,20
1181,20
1182,20
1183,15
1184,-3
1185,-13
1186,-16
1187,-21
1188,-18
1189,-15
1190,-21
1191,-21
1192,-26
1193,-31
1194,-32
1195,-31
1196,-36
1197,-37
1198,-37
1199,-44
1200,21
1201,21
1202,21
1203,21
1204,21
1205,21
1206,20
1207,18
1208,3
1209,-10
1210,-15
1211,-15
1212,-20
1213,-18
1214,-13
1215,-27
1216,-19
1217,-21
1218,-21
1219,-22
1220,-26
1221,-25
1222,-29
1223,-29
1224,20
1225,20
1226,20
1227,20
1228,20
