,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,20,20,9,18,48,68,38,6,2,23,23,9,13,9,-7,0,22,36,35,19,19,28,19,19
1,19,19,9,9,19,29,49,53,38,12,-32,-2,2,22,7,1,8,24,33,30,13,-3,-9,9
2,21,21,31,21,31,41,10,-11,-11,-5,21,40,40,48,47,17,4,3,31,31,19,2,22,16
3,20,20,30,10,-20,-30,-10,20,40,42,40,17,15,40,41,14,-11,19,41,37,21,21,0,20
4,19,19,39,39,9,-21,-11,17,38,57,50,31,1,-29,3,35,43,34,22,18,33,45,57,37
5,20,20,20,-1,-21,9,39,67,55,10,-18,-6,16,22,12,18,20,12,-2,8,41,62,52,24
6,18,18,18,28,38,18,7,4,4,1,1,16,29,29,11,-13,17,39,29,47,35,15,-13,-14
7,19,19,29,19,29,29,19,-3,2,-7,3,4,42,47,32,1,-13,13,31,50,63,36,8,-5
8,20,20,39,38,28,18,18,15,31,51,23,3,-7,12,25,47,52,23,6,20,48,48,18,-4
9,20,20,20,30,40,50,50,29,-9,-2,5,15,45,51,39,18,-9,-11,20,50,63,53,23,1
10,20,20,21,41,61,41,21,-9,-14,5,22,17,1,-9,-20,0,14,0,-19,13,43,55,45,29
11,20,20,0,0,0,0,0,20,36,33,20,15,-1,24,33,51,22,10,24,37,25,32,12,-18
12,20,20,21,41,21,-9,1,9,27,41,28,29,26,22,15,26,17,35,37,10,-18,-18,-2,19
13,20,20,20,19,29,49,59,49,18,-7,-15,-5,20,52,48,27,7,-7,-4,41,63,51,22,9
14,19,19,19,29,19,19,29,26,25,37,41,22,-6,-24,11,46,34,21,-8,25,45,25,-4,-15
15,20,20,20,10,30,40,30,20,7,8,38,53,35,17,24,34,46,18,-16,-23,-5,22,43,59
16,20,20,18,18,38,58,38,17,-16,-19,8,37,37,5,-23,-4,30,49,33,4,-9,0,9,31
17,19,19,19,9,29,59,69,49,19,-24,-13,19,40,60,33,-15,-15,21,45,46,39,19,-10,-3
18,20,20,19,39,29,-1,-21,-13,11,36,31,17,26,16,14,8,5,39,39,41,33,6,-13,16
19,20,20,21,21,1,21,31,51,49,26,12,18,42,23,3,4,24,57,44,26,36,45,45,44
20,20,20,20,40,20,20,20,39,38,19,10,2,25,27,38,40,33,26,28,19,15,36,50,39
21,20,20,20,20,40,30,30,6,-9,-18,-2,18,49,43,27,-12,-2,38,40,39,15,4,-6,-8
22,19,19,19,17,37,37,7,-16,12,7,2,2,19,21,40,45,32,-9,-46,-15,-10,20,30,40
23,20,20,20,20,30,40,20,0,9,25,52,64,49,23,-4,3,9,22,34,46,18,-11,-2,29
24,18,18,18,38,38,38,8,-6,-3,12,29,19,-1,-4,5,35,49,10,-20,-20,1,30,60,36
25,21,21,41,51,21,-9,-9,19,48,62,56,24,-6,-17,0,22,27,10,-12,10,29,44,43,23
26,20,20,20,20,20,0,0,10,20,50,58,28,2,-1,25,44,56,55,34,28,10,0,22,15
27,21,21,10,-10,-10,10,40,37,22,-20,-40,-10,-15,4,38,55,27,15,28,63,78,62,66,35
28,21,21,20,20,0,-10,10,20,5,-15,5,35,59,39,22,24,10,30,15,28,47,36,14,13
29,20,20,20,19,9,-1,9,16,43,51,23,-7,-38,-6,-11,5,35,67,74,48,19,-12,-12,10
30,20,20,20,20,20,30,30,0,-17,-38,-25,-28,-2,27,38,28,13,23,9,21,40,28,32,14
31,19,19,18,18,8,8,8,28,31,20,29,26,23,-3,-11,23,43,37,7,0,-7,13,34,51
32,20,20,19,19,39,29,-1,-21,-21,-5,17,37,37,30,10,-3,17,37,37,47,45,23,18,26
33,20,20,20,20,20,10,20,48,54,40,29,18,8,-10,-7,15,18,42,52,44,17,17,27,37
34,20,20,20,20,10,10,-1,17,42,25,-8,12,30,34,34,17,-2,-11,6,33,65,63,32,12
35,20,20,18,18,28,28,18,8,-5,8,16,31,30,38,35,9,-26,13,44,36,38,15,-3,-13
36,19,19,17,17,7,27,27,5,-24,-12,10,36,20,2,19,49,51,46,30,26,32,12,6,8
37,20,20,21,21,21,31,22,-10,-5,-12,0,30,59,61,35,3,0,15,17,53,54,49,19,-11
38,20,20,20,10,10,10,30,16,12,15,44,27,1,-12,2,33,42,14,-19,-34,-3,-13,9,27
39,19,19,19,19,19,19,9,-2,-1,13,13,33,20,25,2,14,25,22,18,48,68,58,27,-3
40,20,20,20,20,20,40,30,17,25,8,32,52,24,7,-16,-13,9,30,48,53,13,-16,14,40
41,19,19,19,19,19,9,29,59,39,20,10,6,22,26,23,8,8,15,40,26,15,-1,-1,20
42,20,20,21,20,20,20,30,26,10,4,-14,-4,15,23,43,40,34,23,14,4,-6,13,33,49
43,20,20,21,21,21,1,-19,-24,-8,20,26,8,10,41,31,-10,-1,19,34,29,30,13,-17,1
44,20,20,19,19,19,39,49,24,12,0,23,40,22,2,-7,7,17,24,13,-3,-4,12,26,25
45,20,20,20,20,20,20,20,16,11,11,19,5,5,6,37,26,-10,4,9,17,27,17,7,9
46,20,20,0,0,10,30,30,30,39,28,19,12,12,4,20,31,30,26,-1,-18,-7,10,16,13
47,20,20,40,40,10,-20,-30,-5,23,31,51,25,-8,-10,9,32,42,64,68,43,22,2,-9,20
48,21,21,21,11,11,1,21,41,61,56,39,20,-6,23,59,53,36,22,8,10,29,43,22,-8
49,20,20,20,20,20,20,10,30,25,17,27,24,19,32,35,29,19,4,-11,18,39,54,23,3
50,21,21,1,11,11,21,11,10,18,13,20,25,15,20,52,37,3,-19,-11,9,28,24,5,-19
51,20,20,20,20,20,20,39,25,15,-7,4,14,35,37,34,11,4,-12,10,33,28,22,33,43
52,20,20,22,22,12,2,32,31,39,21,-19,-38,-9,-6,13,20,41,46,40,16,-1,9,29,38
53,20,20,31,31,1,-19,-19,6,21,12,32,48,11,-17,-21,-12,7,23,38,48,18,-2,5,13
54,20,20,21,21,41,31,21,-10,-8,5,26,28,37,41,24,-1,-8,21,31,2,12,18,38,29
55,20,20,20,20,20,20,19,15,22,7,24,44,54,54,23,9,8,19,35,29,14,16,8,6
56,19,19,19,19,19,19,19,38,51,44,22,7,-15,-4,18,54,40,30,10,-20,-32,0,1,-2
57,20,20,20,20,20,20,0,-1,29,35,33,15,-5,-17,-9,32,42,47,28,23,5,29,49,46
58,19,19,19,18,18,8,8,15,25,16,31,30,22,-5,-12,20,46,45,25,24,24,43,57,16
59,18,18,18,8,8,8,28,25,29,14,5,14,27,12,0,-13,9,43,59,50,32,12,-1,23
60,20,20,19,19,19,19,19,19,5,4,22,46,56,35,19,21,37,38,20,6,-2,-1,29,33
61,20,20,21,41,41,31,1,8,37,35,24,1,-8,24,33,19,-3,1,31,57,20,2,25,55
62,20,20,19,9,9,19,29,15,13,-7,-27,-22,1,33,39,19,22,43,41,29,31,11,-11,17
63,20,20,17,17,27,37,17,6,3,14,13,22,33,33,-16,-31,-1,-1,31,51,13,1,2,19
64,20,20,0,0,20,40,40,9,-15,-29,-7,23,57,66,50,17,7,-3,19,42,62,29,-1,1
65,20,20,20,20,20,20,20,19,24,15,13,13,4,27,33,10,-3,-18,3,23,33,26,36,13
66,19,19,18,18,18,28,27,34,31,-5,-3,-1,2,12,12,33,13,-3,-24,9,38,36,18,7
67,20,20,20,20,20,20,20,16,-7,-25,-12,16,33,63,35,6,1,31,60,57,24,-3,5,35
68,20,20,19,19,29,29,8,-13,-17,-18,-11,9,36,38,15,10,-7,-1,16,46,45,30,18,8
69,20,20,20,20,20,20,20,6,9,9,9,17,32,40,25,27,22,27,11,38,37,39,42,29
70,19,19,21,21,11,1,21,39,36,24,14,13,45,40,13,-5,16,55,54,62,42,24,14,14
71,20,20,20,20,20,30,30,38,38,8,-9,3,31,61,32,-2,-7,5,15,27,21,20,29,49
72,20,20,20,19,39,39,29,8,-15,16,48,58,48,26,-4,-12,15,39,65,82,62,67,47,16
73,20,20,20,19,19,19,19,8,3,3,23,45,69,62,29,1,10,40,25,-3,6,24,27,35
74,21,21,21,31,31,21,21,0,-24,-48,-29,-29,-1,35,65,48,19,4,-13,0,10,39,65,40
75,19,19,19,19,19,19,39,47,43,17,-18,-6,24,54,67,45,15,9,4,23,37,37,17,-6
76,20,20,19,19,19,19,19,29,47,29,-1,-21,-3,22,59,59,39,23,18,17,8,-3,10,37
77,20,20,20,20,20,20,20,20,-3,-21,-13,7,33,56,51,28,-8,-3,16,34,42,12,-10,-8
78,20,20,19,39,39,19,-11,-13,1,4,20,41,60,58,50,34,13,8,-7,23,36,38,38,38
79,19,19,19,19,19,19,19,19,35,31,31,33,5,20,46,11,-13,-23,-7,20,58,72,52,12
80,20,20,0,0,30,60,60,30,4,-16,-24,6,33,53,59,20,-22,-20,12,38,64,37,17,-15
81,20,20,19,19,19,19,19,19,17,12,14,34,71,71,34,0,-5,-8,13,54,57,28,7,-8
82,20,20,20,20,20,20,20,30,30,0,-13,-14,12,24,21,23,3,-10,10,37,30,10,13,26
83,20,20,20,20,20,20,20,15,18,12,-14,3,33,41,38,42,34,22,21,-1,-17,4,24,23
84,21,21,19,-1,-1,19,29,27,33,24,14,19,6,30,20,13,3,5,14,39,64,55,34,-1
85,20,20,30,30,10,-10,-10,-2,15,19,24,30,18,14,22,34,49,43,37,16,-8,-9,22,26
86,20,20,20,20,20,20,20,21,20,-1,-3,27,57,47,13,-9,10,40,37,35,3,5,15,34
87,20,20,20,20,20,20,20,17,19,17,16,3,25,24,34,25,9,-1,11,31,66,64,39,8
88,20,20,21,21,21,21,21,17,6,-1,28,52,42,36,17,0,2,37,74,65,29,-4,-22,2
89,20,20,20,20,20,20,20,16,12,32,56,70,50,13,-18,-21,-1,27,46,24,14,-3,-4,6
90,18,18,8,8,8,28,28,7,5,0,16,17,35,55,17,-7,8,25,45,29,19,-1,10,14
91,20,20,20,20,20,20,20,18,18,15,24,11,-2,28,36,48,22,-4,-22,0,27,28,10,7
92,20,20,21,21,41,31,31,-2,-25,-35,-5,-5,3,18,26,46,26,3,2,21,35,58,57,26
93,20,20,22,22,2,-18,2,21,50,45,32,21,11,-17,-31,2,-3,10,20,37,26,16,-4,9
94,18,18,28,28,18,-2,7,13,45,67,37,10,-1,14,33,50,50,20,-10,10,15,18,9,10
95,19,19,19,19,19,19,19,18,11,11,-11,14,34,16,27,27,26,37,4,-8,23,53,45,29
96,20,20,19,9,9,39,49,28,-17,-32,-2,-6,31,36,21,16,5,-4,-10,4,14,45,74,33
97,20,20,20,0,0,20,40,40,5,-25,-9,16,36,65,68,25,0,9,30,34,30,0,-30,-23
98,21,21,21,21,21,11,11,31,15,23,34,33,13,8,-2,20,22,7,-3,27,54,34,14,13
99,20,20,20,19,19,39,39,15,14,36,29,31,15,-5,-3,16,46,46,13,5,13,16,24,15
100,20,20,20,20,20,20,20,18,14,19,51,51,32,1,-24,-6,22,42,45,23,16,35,57,37
101,20,20,19,19,19,19,29,26,14,20,42,17,-13,-4,24,45,60,48,32,-1,-10,8,30,26
102,20,20,20,20,20,20,20,20,28,26,36,46,11,-17,-13,6,29,54,38,8,-22,-14,17,45
103,19,19,21,21,21,41,21,20,38,53,27,20,23,39,29,7,-24,-28,0,25,34,10,-8,7
104,20,20,20,20,20,20,20,19,11,21,37,43,32,25,27,49,43,20,-1,17,49,63,39,19
105,19,19,19,19,19,19,19,19,17,-14,-4,25,31,7,-3,28,49,37,7,13,45,39,9,9
106,20,20,19,19,19,19,19,16,10,-10,-3,18,37,47,30,12,-1,28,37,32,38,28,7,14
107,20,20,20,20,20,20,19,14,12,26,20,32,20,-14,1,31,42,32,22,24,15,13,33,20
108,20,20,19,19,19,9,9,7,26,44,13,-14,-18,-2,14,35,55,41,28,45,44,13,-2,-4
109,20,20,21,21,21,21,21,21,-1,-29,-33,3,-2,28,57,72,62,32,4,-10,-5,0,20,30
110,20,20,20,20,20,20,0,0,0,22,22,32,37,2,-7,5,13,11,0,-3,7,36,58,28
111,19,19,18,18,18,38,58,57,30,-4,-24,-15,16,40,30,-3,-27,3,26,60,39,9,-2,-5
112,18,18,38,38,8,-2,28,34,30,-7,-38,-18,-15,24,41,26,19,21,15,6,6,17,20,18
113,20,20,10,9,9,9,9,9,12,16,6,4,-8,4,28,39,20,23,37,68,68,38,7,7
114,19,19,19,19,19,29,29,36,35,23,-2,-3,9,6,23,15,3,27,31,11,-10,-13,12,34
115,18,18,17,17,17,7,27,57,47,14,-5,-18,3,33,53,59,51,21,0,-11,2,31,31,-2
116,20,20,20,40,40,20,20,20,16,10,8,28,52,32,0,2,20,41,22,8,30,37,9,-24
117,20,20,19,18,18,18,38,37,24,23,25,15,29,12,-23,3,41,64,54,17,-18,-8,25,28
118,20,20,19,9,9,9,9,36,32,15,-20,-6,4,35,40,42,34,10,-3,20,41,41,23,11
119,20,20,20,20,20,20,20,15,3,17,25,25,30,44,48,15,-19,-39,-19,-16,8,37,37,12
120,20,20,21,21,21,21,41,28,-1,3,13,28,36,15,17,50,58,44,16,2,16,32,31,31
121,20,20,21,21,21,11,-9,-10,11,32,34,49,37,13,-6,20,35,19,5,21,57,74,55,21
122,20,20,20,20,20,20,10,8,38,43,13,11,37,17,7,12,42,46,31,27,-3,-8,22,29
123,20,20,20,39,39,39,39,38,6,-7,1,16,36,30,0,5,38,50,31,18,29,19,8,-5
124,20,20,19,19,19,19,19,19,14,20,41,17,-7,-8,21,29,28,24,19,24,35,33,23,3
