,0
0,-345.0
1,-390.0
2,-460.0
3,-580.0
4,-440.0
5,-475.0
6,-670.0
7,-360.0
8,-545.0
9,-425.0
10,-350.0
11,-450.0
12,-540.0
13,-445.0
14,-430.0
15,-395.0
16,-205.0
17,-440.0
18,-405.0
19,-465.0
20,-435.0
21,-420.0
22,-320.0
23,-390.0
24,-435.0
25,-355.0
26,-420.0
27,-490.0
28,-580.0
29,-460.0
30,-455.0
31,-430.0
32,-540.0
33,-440.0
34,-490.0
35,-410.0
36,-435.0
37,-570.0
38,-340.0
39,-485.0
40,-250.0
41,-135.0
42,-345.0
43,-360.0
44,-470.0
45,-325.0
46,-395.0
47,-425.0
48,-305.0
49,-625.0
50,-530.0
51,-425.0
52,-400.0
53,-405.0
54,-400.0
55,-335.0
56,-250.0
57,-260.0
58,-640.0
59,-455.0
60,-325.0
61,-365.0
62,-390.0
63,-210.0
64,-485.0
65,-490.0
66,-430.0
67,-295.0
68,-400.0
69,-430.0
70,-505.0
71,-200.0
72,-460.0
73,-670.0
74,-425.0
75,-495.0
76,-450.0
77,-325.0
78,-240.0
79,-620.0
80,-295.0
81,-365.0
82,-285.0
83,-415.0
84,-330.0
85,-280.0
86,-430.0
87,-365.0
88,-480.0
89,-230.0
90,-470.0
91,-285.0
92,-405.0
93,-430.0
94,-290.0
95,-475.0
96,-175.0
97,-340.0
98,-470.0
99,-335.0
100,-340.0
101,-455.0
102,-440.0
103,-295.0
104,-410.0
105,-480.0
106,-320.0
107,-275.0
108,-365.0
109,-295.0
110,-320.0
111,-275.0
112,-370.0
113,-570.0
114,-350.0
115,-365.0
116,-655.0
117,-425.0
118,-310.0
119,-360.0
120,-230.0
121,-285.0
122,-290.0
123,-290.0
124,-420.0
125,-325.0
126,-315.0
127,-305.0
128,-345.0
129,-430.0
130,-515.0
131,-360.0
132,-420.0
133,-400.0
134,-240.0
135,-155.0
136,-415.0
137,-415.0
138,-310.0
139,-410.0
140,-245.0
141,-385.0
142,-325.0
143,-395.0
144,-540.0
145,-540.0
146,-245.0
147,-390.0
148,-360.0
149,-160.0
150,-315.0
151,-260.0
152,-405.0
153,-235.0
154,-390.0
155,-300.0
156,-245.0
157,-485.0
158,-205.0
159,-400.0
160,-445.0
161,-285.0
162,-375.0
163,-300.0
164,-435.0
165,-485.0
166,-260.0
