,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-10,0,10,30,20,-20,-30,-30,-10,20,30,10,0,10,-30,0,30,10,-10,10,20,-10,-30,-10
1,20,-10,-30,0,30,30,-10,-30,0,30,0,-10,-10,30,10,20,-30,-30,-30,10,0,30,30,10
2,10,-20,-10,0,20,20,10,0,-10,-20,30,30,0,0,20,-20,0,-10,10,-10,0,20,30,-10
3,0,-10,20,0,-20,-20,30,20,20,0,-10,0,20,10,0,-10,-20,20,10,10,-20,-30,-20,20
4,0,0,10,10,10,-10,-20,0,0,20,30,-20,-30,0,10,20,-10,0,10,20,-20,-10,-10,10
5,-10,10,0,20,10,0,-30,-10,20,30,0,-20,-10,0,30,30,0,-30,-10,0,-20,0,-10,30
6,-20,-10,20,30,10,-30,-10,20,10,30,10,-20,-10,0,-10,20,10,10,-20,-20,0,-10,-10,30
7,20,20,-20,-30,-30,-10,30,0,30,30,-10,-10,-30,-20,20,0,20,20,20,-30,-30,10,10,20
8,0,-10,10,0,20,-10,-20,-20,30,30,30,10,-20,-10,-20,-20,0,20,10,10,0,0,0,0
9,20,10,-20,-20,-20,20,30,30,-20,-20,10,10,0,30,20,-20,-30,-10,20,20,0,10,10,10
10,0,0,20,-20,-20,10,30,20,10,-10,-20,-10,0,30,10,20,-20,-30,0,20,0,0,-20,20
11,0,-20,0,20,20,10,-10,-10,0,-10,-20,10,20,0,-30,10,30,30,0,-30,-30,-20,30,0
12,0,0,-20,-10,10,10,0,20,0,10,-10,-10,10,30,20,0,-10,0,0,20,-30,-30,-10,30
13,0,10,0,0,-30,-10,0,20,20,20,0,0,-10,0,20,0,-10,-10,-10,-30,-10,10,30,10
14,0,20,0,-10,-10,-30,-10,30,30,30,0,0,-10,-20,-30,-20,30,30,30,-10,-30,-30,-20,30
15,0,20,20,-30,-30,10,10,0,30,30,0,0,-30,-20,20,30,20,0,-20,-10,-10,-10,10,0
16,0,-10,0,20,0,-30,10,30,30,-10,-20,0,20,20,-20,-20,0,-10,20,20,10,-10,0,10
17,0,0,0,20,10,-10,-10,-20,10,20,30,20,-10,-30,-20,0,20,20,0,0,10,-10,-30,-10
18,-10,10,30,-10,-30,0,10,20,30,-10,-20,-30,-10,30,30,30,-30,-20,-20,0,10,0,30,20
19,10,0,10,0,-10,-30,-10,30,20,20,-10,0,-30,-20,30,30,20,-10,-30,-30,10,30,30,0
20,0,0,0,10,10,10,0,-30,-30,10,30,30,30,-10,-30,-30,-10,30,20,10,0,-30,-20,-10
21,0,0,20,-10,-20,10,10,20,-10,0,30,0,0,0,10,10,-30,-30,0,10,20,30,20,-20
22,0,0,10,10,10,-20,-20,10,10,10,0,0,-10,0,-10,0,30,30,-10,0,-30,-30,-10,0
23,0,0,0,-20,10,30,0,-10,-30,-10,30,0,10,10,0,0,20,0,-20,-10,0,0,20,20
24,0,10,-10,-10,0,20,20,0,-30,-10,30,30,0,10,20,-10,-30,-10,-10,20,-10,-10,0,10
25,0,10,-10,-10,0,0,0,10,10,20,20,-30,-20,-10,20,20,10,-10,0,-20,20,10,-10,10
26,0,0,20,-10,0,-10,0,10,0,10,30,10,-10,-30,-20,20,0,30,30,0,-10,-20,-30,0
27,0,0,0,10,20,10,-20,-10,0,0,0,10,10,0,-10,-20,-10,30,20,-10,-30,-20,-10,30
28,0,0,-10,0,0,-10,0,30,20,20,10,-20,-30,20,10,20,10,20,20,-10,-30,-30,0,10
29,0,0,0,0,0,-10,10,20,30,20,-10,-30,-20,20,10,-10,10,-20,-30,-10,10,30,30,0
30,0,0,0,0,10,0,-30,-20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,20,0,-20,-10,20,0,0,0,0,30,20,-10,-30,-20,10,0,30,30,20,-20,-20
32,0,0,-10,0,20,0,-10,0,30,10,0,0,10,20,30,-10,-10,-30,-10,20,30,10,-10,-20
33,0,0,0,10,-10,-30,20,10,30,20,-20,0,20,10,-10,0,-30,-10,10,30,30,-30,-30,10
34,0,0,0,-10,10,30,0,-10,-10,0,10,0,0,-10,-10,-10,-10,10,20,-10,10,0,-20,-20
35,0,0,0,0,-10,10,10,-10,-20,-10,30,30,-10,-10,0,10,10,0,0,0,20,0,-10,0
36,0,0,10,-10,-10,10,0,10,30,-10,-30,10,30,10,0,10,-10,-20,-20,0,0,30,30,-20
37,0,0,0,0,10,0,0,-30,-10,20,30,30,10,-10,-20,-30,0,0,20,10,-10,0,10,10
38,0,0,0,0,0,-20,0,0,30,20,-10,-20,0,10,30,20,-30,-30,-20,20,10,-10,0,20
39,0,0,-10,-10,0,30,30,-10,-10,-20,20,10,0,0,-20,-10,20,30,10,0,0,0,-10,0
40,0,0,0,0,0,10,20,-10,-10,-20,20,30,30,20,-20,-20,-20,10,30,20,-30,-30,-10,-10
41,0,0,0,20,0,0,-20,-10,20,0,10,10,10,-20,10,20,30,-20,-20,-30,0,20,30,0
42,0,0,0,0,0,-10,0,0,0,10,10,20,-20,-20,0,10,30,20,0,-10,10,-10,-10,20
43,20,-10,-20,10,-10,20,20,10,-10,-30,0,20,20,-10,10,30,0,0,0,0,-30,-30,20,30
44,10,-10,10,0,-20,10,0,20,20,-10,-30,0,10,30,30,-20,-30,10,20,0,0,-10,-30,-20
45,0,0,0,0,0,0,-10,20,20,10,10,-30,-30,0,30,20,30,-10,-30,-20,10,0,20,0
46,0,0,20,-20,-30,-20,20,0,20,30,30,10,-30,-20,20,20,30,0,0,-30,-30,0,20,30
47,0,0,0,0,-10,0,30,30,0,-20,-10,10,10,0,-20,0,10,-10,0,-10,10,0,10,-20
