,0
0,18
1,18
2,18
3,18
4,18
5,18
6,17
7,13
8,12
9,13
10,13
11,13
12,15
13,13
14,2
15,3
16,-8
17,-15
18,-15
19,-8
20,-4
21,-3
22,0
23,-2
24,18
25,18
26,18
27,18
28,18
29,18
30,16
31,11
32,6
33,7
34,-2
35,-11
36,-12
37,-12
38,-19
39,-14
40,-12
41,-5
42,-17
43,-12
44,-11
45,-13
46,-13
47,-13
48,20
49,21
50,21
51,21
52,21
53,20
54,15
55,14
56,4
57,-9
58,-8
59,-16
60,-37
61,-37
62,-39
63,-51
64,-49
65,-40
66,-36
67,-44
68,-42
69,-42
70,-52
71,-55
72,17
73,15
74,15
75,15
76,15
77,15
78,15
79,13
80,8
81,-3
82,-7
83,-7
84,-19
85,-21
86,-21
87,-22
88,-31
89,-28
90,-29
91,-30
92,-29
93,-25
94,-24
95,-26
96,20
97,20
98,20
99,20
100,20
101,20
102,20
103,20
104,19
105,7
106,6
107,4
108,12
109,6
110,5
111,2
112,7
113,4
114,-1
115,-3
116,-6
117,-5
118,-11
119,-13
120,20
121,21
122,21
123,21
124,21
125,21
126,18
127,12
128,-9
129,-7
130,-6
131,-8
132,-8
133,-9
134,-5
135,-7
136,-6
137,-15
138,-4
139,-2
140,5
141,6
142,2
143,2
144,20
145,20
146,20
147,20
148,20
149,20
150,17
151,9
152,-12
153,-10
154,-13
155,-11
156,-9
157,-12
158,-15
159,-8
160,-7
161,-12
162,-3
163,-2
164,-4
165,-2
166,-5
167,-8
168,20
169,20
170,20
171,20
172,20
173,20
174,17
175,18
176,18
177,20
178,14
179,15
180,9
181,9
182,-1
183,-6
184,-7
185,-2
186,3
187,2
188,2
189,2
190,1
191,-2
192,19
193,19
194,19
195,19
196,19
197,19
198,17
199,12
200,6
201,-5
202,-8
203,-7
204,-18
205,-21
206,-19
207,-14
208,-13
209,-10
210,-9
211,-9
212,-9
213,-8
214,-17
215,-17
216,19
217,19
218,19
219,19
220,19
221,19
222,17
223,16
224,11
225,-6
226,-15
227,-19
228,-20
229,-25
230,-25
231,-32
232,-32
233,-29
234,-35
235,-39
236,-37
237,-36
238,-36
239,-37
240,20
241,20
242,20
243,20
244,20
245,20
246,20
247,12
248,13
249,0
250,-1
251,1
252,-1
253,-17
254,-21
255,-14
256,-13
257,-11
258,-18
259,-18
260,-17
261,-16
262,-19
263,-19
264,20
265,20
266,20
267,20
268,20
269,20
270,20
271,20
272,18
273,14
274,12
275,8
276,14
277,20
278,16
279,9
280,-4
281,-1
282,-4
283,9
284,8
285,9
286,-2
287,-5
288,20
289,20
290,20
291,20
292,20
293,20
294,19
295,19
296,6
297,7
298,3
299,2
300,-9
301,-14
302,-20
303,-25
304,-25
305,-33
306,-27
307,-10
308,-13
309,-12
310,-14
311,-15
312,20
313,20
314,20
315,20
316,20
317,20
318,20
319,18
320,18
321,16
322,15
323,12
324,-1
325,-1
326,6
327,9
328,6
329,12
330,24
331,24
332,25
333,23
334,17
335,16
336,20
337,20
338,20
339,20
340,20
341,20
342,18
343,10
344,-1
345,-2
346,-5
347,-4
348,6
349,5
350,7
351,11
352,12
353,15
354,18
355,13
356,13
357,13
358,12
359,12
360,19
361,19
362,19
363,19
364,19
365,19
366,15
367,4
368,-2
369,-7
370,-16
371,-13
372,-21
373,-38
374,-39
375,-46
376,-46
377,-44
378,-30
379,-19
380,-23
381,-23
382,-28
383,-28
384,20
385,20
386,20
387,20
388,20
389,20
390,19
391,18
392,16
393,3
394,1
395,0
396,-10
397,-4
398,-4
399,-4
400,-4
401,-12
402,-10
403,-11
404,-14
405,-15
406,-15
407,-15
408,20
409,18
410,18
411,18
412,18
413,18
414,18
415,12
416,8
417,4
418,-5
419,-7
420,-7
421,-20
422,-26
423,-25
424,-26
425,-27
426,-27
427,-28
428,-29
429,-30
430,-37
431,-37
432,19
433,19
434,19
435,19
436,19
437,18
438,17
439,14
440,5
441,3
442,0
443,-3
444,-8
445,-6
446,-11
447,-2
448,-7
449,-8
450,-1
451,-3
452,0
453,-1
454,-6
455,-6
456,19
457,19
458,19
459,19
460,19
461,19
462,19
463,14
464,3
465,1
466,1
467,3
468,-7
469,-7
470,-10
471,-7
472,-1
473,-1
474,4
475,-4
476,-4
477,-5
478,-17
479,-17
480,20
481,20
482,20
483,20
484,20
485,20
486,19
487,11
488,7
489,1
490,1
491,-4
492,-6
493,-6
494,-5
495,-13
496,-5
497,-7
498,-1
499,-3
500,0
501,-3
502,-4
503,-4
504,19
505,19
506,19
507,19
508,19
509,19
510,16
511,6
512,-8
513,-13
514,-14
515,-15
516,-17
517,-20
518,-21
519,-18
520,-20
521,-21
522,-16
523,-17
524,-16
525,-18
526,-19
527,-19
528,20
529,19
530,19
531,19
532,19
533,19
534,18
535,15
536,-3
537,-5
538,-8
539,0
540,7
541,8
542,8
543,8
544,4
545,4
546,16
547,16
548,16
549,16
550,14
551,11
552,20
553,20
554,20
555,20
556,20
557,19
558,19
559,19
560,5
561,-6
562,-9
563,-1
564,9
565,9
566,-14
567,-18
568,-9
569,-5
570,-9
571,0
572,-2
573,-2
574,-6
575,-6
576,19
577,20
578,20
579,20
580,20
581,20
582,20
583,16
584,-3
585,-13
586,-11
587,-11
588,-20
589,-25
590,-21
591,-24
592,-18
593,-20
594,-8
595,-8
596,-7
597,-7
598,-10
599,-13
600,19
601,19
602,19
603,19
604,19
605,19
606,17
607,16
608,19
609,15
610,13
611,12
612,7
613,-1
614,-8
615,-3
616,-14
617,-14
618,-4
619,-8
620,-11
621,-11
622,-11
623,-13
624,20
625,18
626,17
627,17
628,17
629,17
630,14
631,6
632,-1
633,-11
634,-22
635,-31
636,-23
637,-23
638,-27
639,-36
640,-32
641,-34
642,-28
643,-28
644,-33
645,-31
646,-29
647,-30
648,20
649,20
650,18
651,18
652,18
653,18
654,15
655,10
656,-1
657,1
658,-1
659,-3
660,-3
661,-7
662,-6
663,-6
664,-3
665,2
666,-1
667,7
668,12
669,13
670,4
671,3
672,20
673,20
674,20
675,20
676,20
677,20
678,20
679,11
680,3
681,-5
682,-14
683,-14
684,-15
685,-17
686,-15
687,-31
688,-39
689,-48
690,-36
691,-36
692,-32
693,-32
694,-32
695,-33
696,19
697,17
698,17
699,17
700,17
701,17
702,16
703,13
704,2
705,1
706,2
707,2
708,-9
709,-19
710,-19
711,-11
712,-8
713,-4
714,3
715,3
716,1
717,3
718,-3
719,-3
720,20
721,22
722,21
723,21
724,21
725,21
726,18
727,9
728,-15
729,-18
730,-18
731,-21
732,-18
733,-31
734,-31
735,-32
736,-32
737,-31
738,-29
739,-28
740,-27
741,-27
742,-30
743,-30
744,20
745,20
746,20
747,20
748,20
749,20
750,17
751,11
752,5
753,4
754,1
755,-1
756,4
757,4
758,-4
759,-18
760,-16
761,-37
762,-31
763,-39
764,-40
765,-39
766,-41
767,-45
768,20
769,19
770,19
771,19
772,19
773,19
774,15
775,15
776,-3
777,-4
778,-12
779,-15
780,-26
781,-38
782,-46
783,-51
784,-44
785,-51
786,-45
787,-47
788,-47
789,-48
790,-61
791,-66
792,20
793,21
794,21
795,21
796,21
797,21
798,20
799,9
800,-4
801,-3
802,-9
803,-13
804,-14
805,-21
806,-19
807,-18
808,-29
809,-30
810,-25
811,-19
812,-16
813,-16
814,-19
815,-23
816,20
817,19
818,17
819,17
820,17
821,17
822,16
823,16
824,9
825,6
826,5
827,9
828,10
829,3
830,8
831,12
832,20
833,22
834,33
835,25
836,26
837,29
838,26
839,26
840,20
841,20
842,20
843,20
844,20
845,20
846,19
847,17
848,22
849,11
850,13
851,14
852,6
853,-2
854,-9
855,-14
856,-11
857,-11
858,-11
859,-11
860,-15
861,-18
862,-17
863,-17
864,20
865,18
866,16
867,16
868,16
869,16
870,16
871,8
872,2
873,2
874,-2
875,-5
876,1
877,-12
878,-18
879,-20
880,-18
881,-20
882,1
883,-3
884,-7
885,-7
886,-12
887,-12
888,20
889,20
890,20
891,20
892,20
893,20
894,20
895,16
896,7
897,1
898,3
899,4
900,4
901,4
902,2
903,-1
904,2
905,-7
906,-10
907,-2
908,0
909,3
910,-1
911,-3
912,20
913,20
914,20
915,20
916,20
917,20
918,20
919,19
920,5
921,2
922,1
923,-1
924,-3
925,7
926,7
927,5
928,14
929,14
930,20
931,22
932,22
933,25
934,22
935,19
936,20
937,18
938,18
939,18
940,18
941,18
942,15
943,12
944,1
945,-3
946,-3
947,-6
948,-1
949,-2
950,-2
951,-18
952,-28
953,-30
954,-31
955,-32
956,-29
957,-28
958,-28
959,-30
960,20
961,20
962,20
963,20
964,20
965,20
966,14
967,11
968,3
969,-2
970,-7
971,-11
972,-16
973,-31
974,-31
975,-29
976,-27
977,-28
978,-25
979,-19
980,-21
981,-17
982,-17
983,-18
984,20
985,19
986,19
987,19
988,19
989,19
990,16
991,11
992,10
993,1
994,-2
995,-2
996,-8
997,-17
998,-17
999,-22
1000,-15
1001,-20
1002,-18
1003,-12
1004,-16
1005,-18
1006,-16
1007,-16
1008,20
1009,20
1010,20
1011,20
1012,20
1013,20
1014,20
1015,16
1016,17
1017,17
1018,12
1019,13
1020,18
1021,15
1022,7
1023,-1
1024,-1
1025,-13
1026,-20
1027,-20
1028,-20
1029,-20
1030,-22
1031,-23
1032,21
1033,21
1034,21
1035,21
1036,21
1037,21
1038,19
1039,17
1040,9
1041,0
1042,-1
1043,-8
1044,-3
1045,-17
1046,-22
1047,-23
