,0
0,-475.0
1,-490.0
2,-420.0
3,-645.0
4,-440.0
5,-515.0
6,-380.0
7,-540.0
8,-485.0
9,-555.0
10,-410.0
11,-515.0
12,-400.0
13,-460.0
14,-415.0
15,-545.0
16,-370.0
17,-415.0
18,-270.0
19,-500.0
20,-450.0
21,-370.0
22,-360.0
23,-430.0
24,-195.0
25,-520.0
26,-575.0
27,-485.0
28,-505.0
29,-520.0
30,-560.0
31,-465.0
32,-285.0
33,-330.0
34,-515.0
35,-470.0
36,-455.0
37,-260.0
38,-385.0
39,-290.0
40,-525.0
41,-435.0
42,-240.0
43,-460.0
44,-305.0
45,-410.0
46,-405.0
47,-455.0
48,-370.0
49,-310.0
50,-510.0
51,-290.0
52,-445.0
53,-290.0
54,-360.0
55,-515.0
56,-410.0
57,-410.0
58,-375.0
59,-485.0
60,-365.0
61,-505.0
62,-340.0
63,-340.0
64,-535.0
65,-360.0
66,-435.0
67,-345.0
68,-345.0
69,-490.0
70,-410.0
71,-365.0
72,-535.0
73,-295.0
74,-205.0
75,-280.0
76,-370.0
77,-220.0
78,-395.0
79,-320.0
80,-220.0
81,-440.0
82,-385.0
83,-270.0
84,-415.0
85,-435.0
86,-370.0
87,-360.0
88,-320.0
89,-370.0
90,-415.0
91,-320.0
92,-120.0
93,-445.0
94,-450.0
95,-275.0
96,-265.0
97,-315.0
98,-305.0
99,-420.0
100,-350.0
101,-210.0
102,-350.0
103,-270.0
104,-275.0
105,-170.0
106,-520.0
107,-325.0
108,-240.0
109,-370.0
110,-440.0
111,-340.0
112,-230.0
113,-305.0
114,-475.0
115,-370.0
116,-350.0
117,-310.0
118,-430.0
119,-250.0
120,-280.0
121,-340.0
122,-435.0
123,-425.0
124,-180.0
125,-480.0
126,-165.0
127,-290.0
128,-170.0
129,-365.0
130,-350.0
131,-160.0
132,-265.0
133,-370.0
134,-355.0
135,-220.0
136,-200.0
137,-725.0
138,-370.0
139,-235.0
140,-480.0
141,-200.0
142,-265.0
143,-355.0
144,-275.0
145,-380.0
146,-400.0
147,-385.0
148,-335.0
149,-320.0
150,-390.0
151,-355.0
152,-290.0
153,-270.0
154,-265.0
155,-390.0
156,-280.0
157,-295.0
158,-340.0
159,-395.0
160,-410.0
161,-310.0
162,-340.0
163,-450.0
164,-385.0
165,-90.0
166,-255.0
167,-485.0
168,-400.0
169,-305.0
170,-405.0
171,-400.0
172,-230.0
173,-245.0
174,-335.0
175,-265.0
176,-335.0
177,-460.0
178,-260.0
179,-390.0
180,-320.0
181,-280.0
182,-255.0
183,-325.0
184,-220.0
185,-445.0
186,-355.0
187,-160.0
188,-325.0
189,-355.0
190,-280.0
191,-410.0
192,-430.0
193,-270.0
194,-420.0
195,-180.0
196,-310.0
197,-340.0
198,-315.0
199,-380.0
200,-190.0
201,-350.0
202,-195.0
203,-105.0
204,-260.0
205,-465.0
206,-450.0
207,-130.0
208,-490.0
209,-380.0
210,-300.0
211,-270.0
212,-195.0
213,-420.0
214,-90.0
215,-285.0
216,-290.0
217,-210.0
218,-145.0
219,-320.0
220,-150.0
221,-305.0
222,-380.0
223,-355.0
224,-235.0
225,-465.0
226,-190.0
227,-310.0
228,-350.0
229,-335.0
230,-225.0
231,-130.0
232,-455.0
233,-205.0
234,-105.0
235,-320.0
236,-300.0
237,-350.0
238,-325.0
239,-230.0
240,-250.0
241,-485.0
242,-135.0
243,-305.0
244,-350.0
245,-440.0
246,-315.0
247,-130.0
248,-420.0
249,-325.0
250,-400.0
251,-295.0
252,-360.0
253,-420.0
254,-275.0
255,-345.0
256,-320.0
257,-95.0
258,-275.0
259,-200.0
260,-415.0
261,-285.0
262,-395.0
263,-160.0
264,-175.0
265,-345.0
266,-105.0
267,-385.0
268,-130.0
269,-165.0
270,-315.0
271,-255.0
272,-380.0
273,-240.0
274,-410.0
275,-270.0
276,-330.0
277,-245.0
