,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,19,19,18,38,58,58,38,15,16,30,23,1,-20,7,33,62,60,35,14,-6,25,55,45,11
1,19,19,20,30,50,40,20,0,-19,-13,-2,22,52,58,26,-9,-1,24,30,32,38,21,1,15
2,20,20,27,27,27,7,7,15,24,5,6,22,52,72,60,15,-16,-16,-4,18,54,65,43,23
3,20,20,0,0,0,0,30,57,47,19,-5,3,18,49,49,30,1,-3,21,48,69,62,33,12
4,21,21,21,31,11,-19,-19,-3,17,18,18,1,12,46,65,34,13,22,12,36,68,67,36,4
5,20,20,9,-1,9,19,39,48,38,-9,-41,-30,-30,-9,14,34,35,8,-11,-8,25,41,42,12
6,21,21,41,41,41,41,31,20,16,8,6,10,37,55,51,24,-2,-3,15,24,22,8,17,44
7,20,20,21,11,11,31,41,41,41,-1,-14,5,26,52,33,1,-9,-7,24,38,51,21,3,-17
8,20,20,40,60,60,30,10,-20,-34,-18,-18,2,17,46,36,24,25,31,53,45,11,11,11,39
9,20,20,17,-3,7,27,46,45,11,-35,-17,-23,10,36,49,34,10,-11,-16,4,26,45,43,40
10,20,20,20,10,30,20,10,29,49,13,3,31,54,39,18,-9,0,23,46,64,32,6,16,23
11,19,19,39,39,9,-21,9,38,48,28,14,20,55,56,32,-5,-36,-20,-32,-11,-3,26,36,28
12,20,20,20,40,50,40,10,7,13,6,6,33,48,21,13,24,58,72,44,14,-4,-10,24,34
13,20,20,20,0,-20,0,20,20,16,-11,-3,18,28,35,39,26,6,-4,-5,31,53,20,-2,3
14,20,20,17,17,37,27,7,4,34,55,56,29,2,-14,-7,7,18,43,28,8,7,37,44,29
15,20,20,20,19,9,-1,9,30,47,9,-31,-33,-37,-49,-55,-45,-50,-48,-48,-53,-47,-48,-47,-47
16,20,20,32,32,32,42,52,42,20,5,4,33,64,52,17,-1,16,26,35,10,6,37,37,27
17,20,20,20,19,-1,19,39,49,46,14,-18,-28,-6,24,35,22,19,10,28,17,-4,-14,16,29
18,20,20,19,19,19,19,9,26,34,25,7,25,45,21,21,9,-4,18,41,45,35,34,7,-4
19,19,19,28,48,58,28,-2,-3,21,27,27,24,2,-23,-3,23,46,60,48,28,18,16,5,-4
20,20,20,20,20,0,10,20,50,64,47,20,-1,-21,11,36,27,-8,-21,7,41,38,23,20,29
21,20,20,20,20,30,10,10,9,-3,-16,-24,-6,29,39,19,24,23,11,-14,-3,16,26,47,56
22,20,20,19,19,29,19,19,34,35,11,-1,30,46,46,15,-5,32,62,43,36,46,26,16,21
23,20,20,18,17,27,37,27,-3,-19,-2,26,56,46,26,3,-1,24,38,13,12,3,-1,10,30
24,20,20,22,22,42,62,42,21,8,17,10,32,33,17,29,39,38,33,36,35,18,22,13,23
25,20,20,20,20,10,30,20,30,50,13,-24,5,31,50,34,-8,-43,-9,-12,29,52,65,45,22
26,21,21,1,1,31,61,61,39,9,-41,-30,-37,-6,-4,-1,-2,8,33,60,34,17,18,22,43
27,20,20,20,20,40,50,50,38,7,5,18,46,44,38,-5,-24,-20,9,38,40,16,-14,-15,1
28,18,18,8,18,28,48,48,38,3,-6,16,42,54,47,27,-3,-4,11,14,34,46,37,27,-13
29,20,20,20,20,20,10,30,60,50,18,-15,-21,-1,30,46,26,1,-8,2,27,56,47,27,7
30,20,20,21,21,31,41,11,-24,-9,19,49,65,31,1,-25,-10,19,31,51,64,34,0,9,36
31,20,20,20,20,20,40,40,7,-15,-20,9,26,58,58,47,8,-28,-27,11,38,27,0,-10,11
32,20,20,20,20,20,30,40,17,-4,-22,1,31,28,12,5,29,45,30,41,36,15,6,16,15
33,20,20,19,19,39,59,59,28,9,-8,22,33,13,-15,7,28,29,38,28,5,12,35,49,58
34,20,20,20,19,19,29,39,19,-5,-29,-18,11,46,72,54,26,7,-6,0,32,50,52,45,18
35,20,20,21,21,1,-19,-19,10,24,32,22,-8,-32,1,10,13,34,43,4,-9,-6,23,33,26
36,20,20,20,20,20,0,20,20,27,4,-10,-12,-2,27,46,55,42,35,35,32,42,55,45,16
37,20,20,20,20,20,20,20,38,18,6,27,49,57,32,16,7,27,35,9,14,51,39,29,-13
38,20,20,20,20,20,20,30,29,25,14,-11,8,40,60,55,33,2,-29,-24,10,45,45,17,17
39,20,20,20,20,20,20,40,38,25,14,14,12,4,34,29,20,-11,13,45,67,51,20,13,34
