,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-10,0,30,0,-30,-30,0,30,30,30,-30,-30,-10,30,10,20,10,-30,-30,0,20,20,30,0
1,10,20,10,-10,-30,-20,20,20,30,-10,-20,-10,0,20,10,10,-20,-30,10,20,30,20,-10,-30
2,0,0,-10,-20,10,20,20,10,0,-30,-20,10,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,10,-10,-10,0,10,10,10,10,20,10,-10,-10,-20,-10,20,30,10,0,-20,-10,-10,-10
4,-20,0,10,30,0,-10,-20,-10,10,10,20,20,10,-20,-30,-30,10,30,20,0,-20,10,20,30
5,-10,0,0,-10,30,10,-10,-30,10,30,20,20,-30,-20,10,30,0,-20,-30,-20,30,20,10,-30
6,0,-10,10,10,0,10,-30,-30,30,0,30,30,10,-30,-10,30,0,-30,-10,20,0,-20,10,30
7,20,10,-30,-10,-20,0,30,30,-10,-30,-20,0,30,30,20,-10,-20,10,20,0,-30,-30,20,10
8,0,-10,20,20,0,-20,-30,-10,20,30,20,0,10,0,-10,0,10,10,-20,-20,10,20,20,-10
9,20,10,-20,-20,0,10,0,-10,0,0,30,30,20,-30,-20,30,20,-10,-10,10,-10,0,10,30
10,10,20,-30,-10,-20,20,20,0,10,20,20,0,-20,-30,10,20,10,-20,0,30,20,-20,-30,-20
11,0,20,-10,-20,-20,10,30,10,0,-30,-20,0,30,30,0,-10,0,20,0,-20,-30,10,20,20
12,0,10,-20,-10,0,10,0,0,0,10,20,0,20,30,-10,-30,-10,30,20,0,-20,-20,-20,0
13,0,0,20,-20,-30,-10,10,20,20,0,-20,10,0,20,20,-20,-30,0,10,0,10,10,-20,-10
14,0,-20,10,10,20,-20,0,10,0,20,10,0,-10,-20,10,10,-20,0,-20,-10,30,30,-20,-10
15,-10,20,10,-10,-10,-20,20,10,10,0,20,10,-10,-20,0,30,30,30,-20,0,-30,-30,-10,30
16,0,0,-10,-20,20,30,10,0,-30,-20,30,30,10,-20,-10,0,20,-10,0,-20,20,20,30,10
17,0,0,10,-10,10,-10,-10,20,20,-10,-10,0,20,10,30,20,-20,-20,-30,-10,10,30,20,0
18,10,10,0,-30,-30,30,30,10,-30,-20,30,30,20,0,-20,-30,-10,20,30,0,-10,-10,0,20
19,0,0,-10,10,30,20,-20,-30,-30,0,30,30,10,-10,10,-10,-30,10,10,30,20,-30,-20,10
20,0,0,0,0,10,-10,10,-10,10,30,10,-20,-30,0,20,30,10,0,-10,-30,-20,10,30,30
21,0,10,0,10,0,-20,-20,20,30,20,10,0,-20,-20,-10,30,20,20,-20,-20,0,0,-20,0
22,0,0,20,20,-30,-20,-20,30,30,30,20,-20,0,-30,-30,-20,10,20,10,-20,-30,-10,30,30
23,0,0,0,0,-20,-20,20,30,30,0,-10,-10,-20,-20,10,0,30,30,-10,-20,-20,0,10,10
24,0,10,10,10,-30,-10,-10,0,10,30,30,10,-10,-30,-20,20,30,10,10,-10,-30,-30,10,30
25,0,0,0,10,0,10,-10,0,10,-10,10,20,10,-20,-30,-10,10,30,20,0,-30,0,10,20
26,0,0,-10,0,20,0,10,-10,-20,20,30,20,20,-10,-20,0,30,-10,-20,-20,0,30,20,0
27,0,0,-20,0,30,20,-10,-10,0,10,10,20,-10,-30,-30,10,30,20,10,-20,-30,-30,10,30
28,0,0,0,-20,-10,0,30,10,20,10,20,0,-20,-20,20,30,20,0,-10,-20,-30,-10,30,30
29,0,0,10,0,10,-10,0,-20,-10,30,20,0,-20,10,10,0,0,-10,-10,20,0,0,-30,10
30,0,0,-20,-20,0,20,30,30,-10,-10,10,0,0,30,10,10,-10,-30,0,0,-10,20,0,20
31,0,0,0,20,0,0,-20,-10,0,20,20,10,10,-20,-30,0,20,20,20,30,-10,-20,-20,-10
32,0,0,10,20,0,-30,-30,-10,30,0,30,30,0,-20,-10,30,0,30,30,0,-30,-20,-20,30
33,0,0,20,-10,-30,0,10,30,20,20,-30,-20,0,20,30,20,-10,-20,-10,0,0,-10,-10,20
34,0,0,0,20,0,0,0,-20,-20,0,30,30,-10,-20,-10,-10,30,0,-10,-10,-20,10,0,10
