,0
0,-440.0
1,-525.0
2,-525.0
3,-305.0
4,-450.0
5,-410.0
6,-390.0
7,-545.0
8,-335.0
9,-400.0
10,-435.0
11,-440.0
12,-415.0
13,-390.0
14,-330.0
15,-510.0
16,-390.0
17,-435.0
18,-475.0
19,-500.0
20,-420.0
21,-400.0
22,-555.0
23,-425.0
24,-515.0
25,-305.0
26,-400.0
27,-480.0
28,-465.0
29,-230.0
30,-375.0
31,-420.0
32,-550.0
33,-430.0
34,-275.0
35,-435.0
36,-410.0
37,-425.0
38,-300.0
39,-555.0
40,-310.0
41,-275.0
42,-205.0
43,-440.0
44,-300.0
45,-335.0
46,-505.0
47,-165.0
48,-330.0
49,-155.0
50,-405.0
51,-435.0
52,-220.0
53,-335.0
54,-145.0
55,-375.0
56,-335.0
57,-365.0
58,-250.0
59,-210.0
60,-550.0
61,-655.0
62,-615.0
63,-420.0
64,-440.0
65,-315.0
66,-475.0
67,-290.0
68,-330.0
69,-485.0
70,-340.0
71,-250.0
72,-380.0
73,-410.0
74,-320.0
75,-340.0
76,-440.0
77,-370.0
78,-315.0
79,-460.0
80,-335.0
81,-445.0
82,-470.0
83,-255.0
84,-425.0
85,-245.0
86,-290.0
87,-185.0
88,-500.0
89,-260.0
90,-325.0
91,-405.0
92,-430.0
93,-315.0
94,-195.0
95,-310.0
96,-180.0
97,-555.0
98,-310.0
99,-420.0
