,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,20,20,-2,-12,-2,28,38,18,-12,-30,1,32,33,48,23,13,-9,-27,17,49,68,43,12,10
1,20,20,40,30,10,10,30,29,7,-7,-7,27,37,31,13,-17,-25,8,31,44,23,13,33,24
2,20,20,20,20,30,50,50,26,3,-8,-11,18,45,55,46,16,-13,-18,10,30,21,-1,19,33
3,20,20,9,-11,-11,9,29,58,65,30,4,5,25,25,5,27,44,28,32,33,36,46,31,5
4,20,20,30,49,59,39,9,9,35,48,30,-3,10,30,28,27,2,11,31,51,36,17,18,8
5,20,20,21,11,21,51,31,0,-4,-4,25,33,47,26,-10,-14,8,29,58,61,41,14,-19,13
6,19,19,39,39,29,29,39,18,-10,-31,-9,-20,-6,17,40,48,50,26,-12,-31,-4,-3,7,17
7,19,19,9,-1,9,19,18,8,4,2,2,31,31,23,22,22,10,10,50,82,84,82,83,79
8,20,20,20,20,40,60,40,8,-29,-3,24,33,53,21,-10,-4,13,27,42,40,28,28,27,32
9,20,20,19,19,39,39,39,27,-6,-6,-14,6,26,37,15,-5,0,20,42,39,23,20,-1,9
10,19,19,29,29,29,39,39,5,-21,-37,-7,-4,6,17,20,27,20,10,24,15,24,39,59,51
11,20,20,18,8,8,8,17,36,36,16,-24,-18,14,46,38,13,-9,-18,-15,25,62,70,50,16
12,19,19,19,29,39,19,9,-1,17,34,48,25,-5,-6,17,46,63,28,-2,-7,9,32,59,69
13,19,19,19,9,19,49,59,40,9,-31,-51,-53,-58,-64,-61,-58,-60,-62,-60,-59,-53,-51,-51,-55
14,20,20,20,0,-10,10,39,48,16,-10,-22,-11,21,51,23,2,-10,24,34,33,46,36,18,-14
15,20,20,20,40,40,40,40,19,15,16,48,46,35,15,22,27,27,13,1,41,50,39,20,0
16,20,20,20,29,9,9,39,46,14,-12,-12,7,37,60,56,24,-14,-29,-1,30,60,29,-1,-13
17,20,20,20,20,0,-10,19,26,23,-5,-15,13,43,48,30,20,-4,-29,1,32,75,53,24,14
18,20,20,20,20,10,10,0,10,9,4,-12,12,29,43,34,4,-17,-9,11,38,58,49,29,-7
19,19,19,20,39,39,9,-1,19,28,-9,-2,26,50,48,15,-21,-8,22,29,35,38,39,27,16
20,21,21,41,51,41,21,1,21,35,15,-18,-29,-10,21,37,18,-6,-2,6,49,42,22,9,-14
21,20,20,20,20,20,40,40,27,9,3,-5,11,23,38,27,21,12,2,39,78,70,72,42,10
22,20,20,28,28,18,-2,8,18,38,41,29,3,-21,-5,22,50,71,61,36,19,24,28,18,-4
23,20,20,20,20,20,0,-20,-20,-3,13,22,42,32,28,-7,-32,-30,-28,6,38,51,29,9,1
24,20,20,20,20,20,30,20,0,-21,-39,-7,-10,15,25,15,-4,-1,30,40,56,56,26,6,-16
25,20,20,20,20,20,10,0,-2,-3,-7,13,29,53,66,36,6,-3,-12,9,31,38,23,12,23
26,20,20,19,9,19,19,19,19,32,-3,1,9,9,29,56,48,12,2,5,20,26,22,13,13
27,21,21,31,40,40,20,0,20,47,33,6,-16,-3,36,52,31,12,-6,-14,10,42,33,3,-9
28,20,20,21,11,31,31,31,9,15,18,25,8,4,19,33,53,49,11,-34,-44,-45,-49,-54,-56
29,20,20,20,20,20,20,30,19,9,12,26,52,36,26,28,28,31,37,18,14,8,36,54,34
30,20,20,20,10,10,40,50,48,27,-8,-30,-23,2,29,31,17,26,37,44,21,-3,-10,21,47
31,19,19,19,39,49,49,39,6,-20,-29,-11,19,40,38,17,-16,-29,-2,35,59,37,15,-11,18
32,20,20,20,20,20,20,20,17,26,13,-15,-12,20,31,31,24,14,10,35,56,30,9,-13,-7
33,19,19,20,20,20,20,20,10,22,8,-21,-30,0,25,35,12,-16,-1,29,52,60,28,-1,-27
34,20,20,19,19,19,29,29,18,3,-20,-19,1,32,63,67,36,6,-23,0,30,31,21,21,-3
35,20,20,20,20,20,20,20,28,29,22,20,18,0,16,34,50,58,65,35,11,-9,19,26,22
36,20,20,20,20,20,20,10,10,-2,-14,12,38,45,29,30,5,21,19,13,24,14,16,47,36
37,20,20,22,21,41,31,31,31,33,-16,-8,21,41,56,29,11,-10,25,39,37,38,36,25,11
38,20,20,20,20,20,20,20,14,34,42,43,22,7,8,8,18,44,62,58,45,18,-12,-16,15
39,20,20,20,20,20,20,40,40,4,-15,8,28,30,2,-19,15,27,38,27,11,5,17,23,32
40,20,20,21,21,31,31,31,21,20,5,13,23,6,-7,7,38,68,39,10,-4,19,51,41,17
41,20,20,18,18,28,38,27,23,-6,-26,1,31,54,58,35,2,-8,-8,23,58,58,33,5,3
42,20,20,20,20,20,20,20,18,22,25,12,32,62,55,39,11,15,17,35,53,23,11,-5,5
43,20,20,20,20,40,40,30,27,7,5,24,29,50,64,39,27,7,11,25,47,30,9,18,28
44,20,20,21,21,1,-9,11,19,1,-14,-14,14,41,46,8,-11,20,41,33,23,-11,-13,7,36
45,20,20,20,20,20,20,20,20,-6,2,27,38,33,33,40,15,-11,15,32,36,36,27,-2,-20
46,20,20,20,20,20,20,20,19,28,21,18,35,36,19,-15,-29,-14,18,42,73,42,13,11,13
47,20,20,20,20,20,20,20,16,36,14,12,17,21,36,21,-2,9,29,40,32,20,27,28,28
48,20,20,19,19,9,-1,9,19,10,31,57,65,34,8,24,21,26,17,9,34,62,32,4,0
49,20,20,21,21,21,11,1,0,19,30,33,43,25,7,20,44,38,37,8,8,19,28,29,20
50,20,20,20,20,20,20,21,18,-10,-33,-12,-11,9,25,42,52,30,14,-15,-19,8,28,28,38
51,20,20,21,21,11,11,11,-3,26,33,15,-19,-10,-2,14,41,43,15,-14,5,29,60,48,10
52,20,20,20,20,20,20,20,40,43,31,9,2,3,3,23,41,59,64,37,11,10,20,42,37
53,20,20,18,18,18,28,48,36,24,-16,-37,-24,-22,1,22,46,66,57,26,-1,0,9,31,29
54,20,20,20,20,20,20,20,20,40,46,9,-11,-5,14,26,23,1,10,24,70,52,22,-7,-27
55,20,20,20,20,20,20,20,15,-3,0,14,22,16,25,22,2,-25,14,40,65,66,49,20,10
56,20,20,20,20,20,20,20,19,19,17,1,23,33,14,10,6,7,33,60,64,33,6,6,26
57,19,19,18,18,18,38,48,16,-3,11,27,19,14,21,40,40,22,3,-30,-20,10,30,50,49
58,20,20,19,19,19,9,18,35,33,-17,-54,-27,-25,8,38,63,27,6,-25,-7,23,43,63,42
59,20,20,19,19,19,19,29,49,56,32,8,16,25,40,40,3,-27,-1,29,51,55,35,25,16
