,0
0,-490.0
1,-425.0
2,-355.0
3,-420.0
4,-455.0
5,-450.0
6,-465.0
7,-465.0
8,-365.0
9,-480.0
10,-290.0
11,-440.0
12,-435.0
13,-610.0
14,-460.0
15,-335.0
16,-395.0
17,-315.0
18,-390.0
19,-510.0
20,-375.0
21,-465.0
22,-355.0
23,-395.0
24,-395.0
25,-350.0
26,-475.0
27,-370.0
28,-465.0
29,-425.0
30,-485.0
31,-395.0
32,-420.0
33,-490.0
34,-205.0
35,-420.0
36,-450.0
37,-435.0
38,-345.0
39,-315.0
40,-430.0
41,-320.0
42,-510.0
43,-425.0
44,-330.0
45,-450.0
46,-460.0
47,-235.0
48,-195.0
49,-305.0
50,-325.0
51,-385.0
52,-410.0
53,-415.0
54,-315.0
55,-380.0
56,-320.0
57,-220.0
58,-350.0
59,-360.0
60,-360.0
61,-345.0
62,-190.0
63,-275.0
64,-330.0
65,-280.0
66,-435.0
67,-240.0
68,-310.0
69,-450.0
70,-270.0
71,-220.0
72,-440.0
73,-160.0
74,-320.0
75,-445.0
76,-165.0
77,-225.0
78,-265.0
79,-400.0
80,-320.0
81,-360.0
82,-280.0
83,-465.0
84,-320.0
85,-315.0
86,-375.0
87,-310.0
88,-365.0
89,-385.0
90,-435.0
91,-365.0
92,-410.0
93,-225.0
94,-80.0
95,-500.0
96,-125.0
97,-395.0
98,-345.0
99,-410.0
100,-305.0
101,-325.0
102,-300.0
103,-365.0
104,-320.0
105,-395.0
106,-300.0
107,-270.0
108,-290.0
109,-160.0
110,-295.0
111,-280.0
112,-280.0
113,-270.0
114,-360.0
115,-340.0
116,-165.0
117,-455.0
118,-375.0
119,-325.0
120,-540.0
121,-280.0
122,-445.0
123,-380.0
124,-400.0
125,-305.0
126,-305.0
127,-400.0
128,-330.0
129,-340.0
130,-250.0
131,-300.0
132,-120.0
133,-295.0
134,-300.0
135,-255.0
136,-460.0
137,-265.0
138,-135.0
139,-240.0
140,-340.0
141,-475.0
142,-185.0
143,-280.0
144,-265.0
145,-245.0
146,-310.0
147,-280.0
148,-255.0
149,-315.0
150,-230.0
151,-310.0
152,-505.0
153,-460.0
154,-295.0
155,-570.0
156,-330.0
157,-510.0
158,-270.0
159,-365.0
160,-330.0
161,-260.0
162,-350.0
163,-345.0
164,-270.0
165,-255.0
166,-330.0
167,-300.0
168,-365.0
169,-205.0
170,-450.0
171,-240.0
172,-170.0
173,-295.0
174,-155.0
175,-370.0
176,-415.0
177,-285.0
178,-415.0
179,-375.0
180,-375.0
181,-410.0
182,-295.0
183,-275.0
184,-380.0
185,-275.0
186,-335.0
187,-275.0
188,-285.0
189,-450.0
190,-275.0
191,-405.0
192,-320.0
193,-310.0
194,-245.0
195,-390.0
196,-210.0
197,-245.0
198,-160.0
199,-435.0
200,-215.0
201,-55.0
202,-385.0
203,-375.0
204,-125.0
205,-345.0
206,-460.0
207,-360.0
208,-350.0
209,-335.0
210,-285.0
211,-395.0
212,-385.0
213,-480.0
214,-285.0
215,-165.0
216,-320.0
217,-95.0
218,-260.0
219,-380.0
220,-370.0
221,-270.0
222,-415.0
223,-310.0
224,-415.0
225,-420.0
226,-320.0
227,-305.0
228,-510.0
229,-445.0
230,-330.0
231,-380.0
232,-240.0
233,-350.0
234,-225.0
235,-325.0
236,-230.0
237,-290.0
238,-255.0
239,-530.0
240,-355.0
241,-320.0
242,-165.0
243,-235.0
244,-160.0
245,-220.0
246,-105.0
247,-240.0
248,-395.0
249,-85.0
250,-330.0
251,-340.0
252,-200.0
253,-410.0
254,-230.0
255,-340.0
256,-220.0
257,-255.0
258,-295.0
259,-130.0
260,-325.0
261,-380.0
262,-415.0
263,-330.0
264,-135.0
265,-360.0
266,-285.0
267,-270.0
268,-275.0
269,-505.0
270,-410.0
271,-230.0
272,-270.0
273,-240.0
274,-215.0
275,-145.0
276,-135.0
277,-245.0
278,-360.0
279,-330.0
280,-490.0
281,-210.0
282,-195.0
283,-290.0
284,-205.0
285,-325.0
286,-255.0
287,-410.0
288,-305.0
289,-245.0
290,-455.0
291,-220.0
292,-290.0
293,-120.0
294,-265.0
295,-390.0
296,-270.0
297,-345.0
298,-175.0
299,-230.0
300,-360.0
301,-255.0
302,-370.0
303,-145.0
304,-240.0
305,-335.0
306,-200.0
307,-165.0
308,-305.0
309,-215.0
310,-370.0
311,-350.0
312,-325.0
313,-365.0
314,-120.0
315,-335.0
316,-300.0
317,-425.0
318,-480.0
319,-280.0
320,-120.0
321,-225.0
322,-230.0
323,-250.0
324,-490.0
325,-255.0
326,-165.0
327,-240.0
328,-345.0
329,-385.0
330,-325.0
331,-215.0
332,-335.0
333,-250.0
334,-345.0
335,-295.0
336,-370.0
337,-525.0
338,-245.0
339,-180.0
340,-275.0
341,-285.0
342,-190.0
343,-350.0
344,-335.0
345,-250.0
346,-255.0
347,-300.0
348,-605.0
349,-275.0
350,-205.0
351,-375.0
352,-220.0
353,-425.0
354,-405.0
355,-310.0
356,-350.0
357,-435.0
358,-340.0
359,-305.0
360,-285.0
361,-165.0
362,-220.0
363,-150.0
364,-300.0
365,-380.0
366,-395.0
367,-195.0
368,-125.0
369,-270.0
370,-155.0
371,-335.0
372,-350.0
373,-95.0
374,-350.0
375,-310.0
376,-100.0
377,-590.0
378,-165.0
379,-270.0
380,-140.0
381,-335.0
382,-365.0
383,-220.0
384,-190.0
385,-400.0
386,-230.0
387,-120.0
388,-150.0
389,-205.0
390,-225.0
391,-180.0
392,-210.0
393,-130.0
394,-180.0
395,-320.0
396,-200.0
397,-255.0
398,-225.0
399,-420.0
400,-410.0
401,-220.0
402,-155.0
403,-385.0
404,-450.0
405,-135.0
406,-500.0
407,-410.0
408,-210.0
409,-250.0
410,-220.0
411,-180.0
412,-315.0
413,-195.0
414,-305.0
415,-145.0
416,-160.0
417,-355.0
418,-300.0
419,-25.0
420,-160.0
421,-60.0
422,-140.0
423,-420.0
424,-220.0
425,-270.0
426,-375.0
427,-240.0
428,-430.0
429,-170.0
430,-215.0
431,-280.0
432,-110.0
433,-145.0
434,-240.0
435,-190.0
436,-365.0
437,-120.0
438,-310.0
439,-430.0
440,-210.0
441,-350.0
442,-270.0
443,-115.0
444,-90.0
445,-200.0
446,-320.0
447,-205.0
448,-125.0
449,-265.0
450,-295.0
451,-315.0
452,-315.0
453,-215.0
454,-285.0
455,-385.0
456,-295.0
457,-345.0
458,-375.0
459,-425.0
460,-255.0
461,-220.0
462,-275.0
463,-205.0
464,-175.0
465,-250.0
466,-330.0
467,-270.0
468,-315.0
469,-295.0
470,-320.0
471,-80.0
472,-120.0
473,-215.0
474,-110.0
475,-215.0
476,-180.0
477,-225.0
478,-130.0
479,-210.0
480,-360.0
481,-225.0
482,-185.0
483,-30.0
484,-225.0
485,-465.0
486,-230.0
487,-305.0
488,-220.0
489,-260.0
490,-270.0
491,-200.0
492,-335.0
493,-220.0
494,-220.0
495,-415.0
496,-350.0
497,-225.0
498,-320.0
499,-400.0
500,-225.0
501,-245.0
502,-265.0
503,-395.0
504,-310.0
505,-260.0
506,-240.0
507,-95.0
508,-360.0
509,-310.0
510,-180.0
511,-305.0
512,-365.0
513,-180.0
514,-70.0
515,-305.0
516,-210.0
517,-200.0
518,-410.0
519,-175.0
520,-205.0
521,-165.0
522,-375.0
523,-175.0
524,-295.0
525,-305.0
526,-235.0
527,-235.0
528,-295.0
529,-250.0
530,-440.0
531,-180.0
532,-230.0
533,-160.0
534,-275.0
535,-250.0
536,-305.0
537,-270.0
538,-260.0
539,-270.0
540,-90.0
541,-250.0
542,-195.0
543,-170.0
544,-205.0
545,-200.0
546,-230.0
547,-180.0
548,-120.0
549,-140.0
550,-430.0
551,-220.0
552,-240.0
553,-260.0
554,-360.0
555,-460.0
556,-360.0
557,-210.0
558,-245.0
559,-75.0
560,-265.0
561,-265.0
562,-115.0
563,-245.0
564,-235.0
565,-215.0
566,-510.0
567,-140.0
568,-265.0
569,-330.0
570,-200.0
571,-240.0
572,-430.0
573,-335.0
574,-170.0
575,-185.0
576,-185.0
577,-285.0
578,-285.0
579,-280.0
580,-265.0
581,-380.0
582,-280.0
583,-290.0
584,-105.0
585,-170.0
586,-110.0
587,-190.0
588,-255.0
589,-390.0
590,-325.0
591,-30.0
592,-225.0
593,-240.0
594,-260.0
595,-260.0
596,-250.0
597,-250.0
598,-275.0
599,-155.0
600,-130.0
601,-180.0
602,-390.0
603,-205.0
604,-100.0
605,-210.0
606,-250.0
607,-190.0
608,-185.0
609,-25.0
610,-195.0
611,-280.0
612,-95.0
613,-380.0
614,-205.0
615,-215.0
616,-375.0
617,-230.0
618,-265.0
619,-140.0
620,-225.0
621,-205.0
622,-210.0
623,-210.0
624,-200.0
625,-130.0
626,-320.0
627,-130.0
628,-195.0
629,-200.0
630,-290.0
631,-270.0
632,-335.0
633,-210.0
634,-235.0
635,-235.0
636,-190.0
637,-140.0
638,-55.0
639,-145.0
640,-180.0
641,-130.0
642,-210.0
643,-190.0
644,-255.0
645,-100.0
646,-160.0
647,-165.0
648,-185.0
649,-175.0
650,-435.0
651,-325.0
652,-285.0
653,-225.0
654,-115.0
655,-170.0
656,-325.0
657,-160.0
658,-340.0
659,-170.0
660,-205.0
661,-250.0
662,-110.0
663,-145.0
664,-240.0
665,-150.0
666,-145.0
667,-210.0
668,-175.0
669,-265.0
670,-85.0
671,-315.0
672,-420.0
673,-290.0
674,-245.0
675,-240.0
676,-345.0
677,-195.0
678,-290.0
679,-300.0
680,-110.0
681,-325.0
682,-150.0
683,-220.0
684,-335.0
685,-360.0
686,-245.0
687,-555.0
688,-175.0
689,-220.0
690,-210.0
691,-350.0
692,-395.0
693,-50.0
694,-415.0
695,-305.0
696,-275.0
697,-85.0
698,-420.0
699,-150.0
700,-295.0
701,-65.0
702,-130.0
703,-85.0
704,-365.0
705,-120.0
706,-315.0
707,-235.0
708,-315.0
709,-125.0
710,-80.0
711,-215.0
712,-155.0
713,-40.0
714,-230.0
715,-280.0
716,-130.0
717,-380.0
718,-295.0
719,-310.0
720,-255.0
721,-210.0
722,-55.0
723,-130.0
724,-105.0
725,-160.0
726,-310.0
727,-155.0
728,-95.0
729,-115.0
730,-275.0
731,-60.0
732,-245.0
733,-155.0
734,-310.0
735,-120.0
736,-455.0
737,-225.0
738,-110.0
739,-255.0
740,-145.0
741,-235.0
742,-260.0
743,-140.0
744,-290.0
745,-250.0
746,-340.0
747,-195.0
748,-200.0
749,-25.0
750,-350.0
751,-115.0
752,-10.0
753,-435.0
754,-340.0
755,-220.0
756,-210.0
757,-185.0
758,-295.0
759,-85.0
760,-200.0
761,-65.0
762,-290.0
763,-340.0
764,-145.0
765,-120.0
766,-240.0
767,-195.0
768,-240.0
769,-460.0
770,-40.0
771,-215.0
772,-200.0
773,-285.0
774,-25.0
775,-10.0
776,-135.0
777,-240.0
778,-320.0
779,-185.0
780,-215.0
781,-155.0
782,-195.0
783,-155.0
784,-255.0
785,-165.0
786,-335.0
787,-95.0
788,-195.0
789,-195.0
790,-105.0
791,-225.0
792,-290.0
793,-110.0
794,-215.0
795,-280.0
796,-150.0
797,-345.0
798,-220.0
799,-275.0
800,-195.0
801,-180.0
802,-120.0
803,-215.0
804,-105.0
805,-255.0
806,-230.0
807,-315.0
808,-190.0
809,-455.0
810,-95.0
811,-360.0
812,-215.0
813,-150.0
814,-175.0
815,-90.0
816,-190.0
817,-85.0
818,-130.0
819,-135.0
820,-385.0
821,-295.0
822,-155.0
823,-165.0
824,-290.0
825,-310.0
826,-210.0
827,-180.0
828,-260.0
829,-175.0
830,-230.0
831,-85.0
832,-250.0
833,-170.0
834,-220.0
835,-265.0
836,-85.0
837,-150.0
838,-125.0
839,-75.0
840,-125.0
841,-300.0
842,-95.0
843,-185.0
844,-155.0
845,-95.0
846,-190.0
847,-75.0
848,-325.0
849,-160.0
850,-115.0
851,-160.0
852,-110.0
853,-240.0
854,-100.0
855,-115.0
856,-20.0
857,-130.0
858,-385.0
859,-210.0
860,-400.0
861,-180.0
862,-70.0
863,-35.0
864,-220.0
865,-235.0
866,-355.0
867,-80.0
868,-265.0
869,-75.0
870,-200.0
871,-235.0
872,-325.0
873,-150.0
874,-380.0
875,-380.0
876,-165.0
877,-35.0
878,-190.0
879,-125.0
880,-200.0
881,-140.0
882,-55.0
883,-390.0
884,-255.0
885,-275.0
886,-100.0
887,-85.0
888,-145.0
889,-255.0
890,-80.0
891,-165.0
892,-130.0
893,-90.0
894,-345.0
895,-275.0
896,-135.0
897,-360.0
898,-150.0
899,-340.0
900,-20.0
901,-295.0
902,-270.0
903,-305.0
904,-190.0
905,-450.0
906,-205.0
907,-465.0
908,-230.0
909,-265.0
910,-190.0
911,-180.0
912,-205.0
913,-285.0
914,-145.0
915,-10.0
916,-200.0
917,-95.0
918,-275.0
919,-240.0
920,-275.0
921,-145.0
922,-15.0
923,-250.0
924,-385.0
925,-425.0
926,-15.0
927,-130.0
928,-200.0
929,-105.0
930,-150.0
931,-70.0
932,-125.0
933,-85.0
934,-250.0
935,-330.0
936,-115.0
937,-385.0
938,-110.0
939,-115.0
940,-55.0
941,-80.0
942,-300.0
943,-415.0
944,-210.0
945,-105.0
946,-80.0
947,-405.0
948,-110.0
949,-325.0
950,-55.0
951,-190.0
952,-290.0
953,-280.0
954,-215.0
955,-100.0
956,-320.0
957,-125.0
958,-105.0
959,-190.0
960,-340.0
961,-205.0
962,-115.0
963,-280.0
964,-230.0
