,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,10,0,-10,-30,10,20,10,10,10,10,10,10,-10,-10,-10,10,10,20,20,-20,-30,-30,30,0
1,-10,20,30,-20,-20,-20,10,20,20,0,-10,-20,10,10,10,30,0,0,-10,-10,0,-10,0,20
2,-10,0,0,30,0,0,-10,-20,30,30,-10,-10,10,10,-20,-10,10,10,10,-10,-30,-10,10,10
3,20,20,-10,-20,-10,-10,20,20,0,-10,10,20,20,-10,-20,-10,-20,10,20,20,-10,-30,-10,0
4,-20,10,30,20,-30,-20,0,0,10,0,-10,0,20,0,-10,10,-10,10,30,-20,-30,0,10,30
5,0,-20,0,0,10,30,-10,-20,10,30,20,0,-20,-10,10,-10,10,0,-10,10,0,-10,-10,30
6,20,10,0,-30,-20,10,10,30,10,-20,-10,-10,10,20,10,20,0,-20,-20,-20,-10,10,30,20
7,0,10,0,-20,10,20,20,-20,-30,0,30,30,-10,-10,-10,10,20,10,-10,-30,-10,-10,-10,20
8,10,20,0,-20,-20,0,10,0,30,30,0,0,0,0,-30,0,10,30,20,-20,-20,-10,0,20
9,0,0,0,20,0,0,0,-30,-20,20,20,0,0,30,10,10,0,-30,0,0,10,30,10,-10
10,0,-20,-10,10,30,10,-30,-20,30,30,30,20,-10,-30,-10,0,20,30,30,-10,0,-30,-30,-20
11,0,-10,0,10,30,0,-10,-30,-20,30,0,20,10,-10,0,0,30,20,-20,-20,-30,20,20,30
12,20,0,-30,-10,20,30,20,-30,-30,-20,30,30,-10,-30,-10,20,30,10,0,-30,-10,20,30,20
13,20,20,-30,-30,10,30,30,-20,-20,-10,30,0,-10,10,-20,0,30,20,-10,-10,0,-20,0,10
14,0,0,0,20,20,-30,-30,0,20,30,10,-20,-30,10,10,20,0,-20,-10,-10,10,10,10,30
15,0,20,10,-20,-30,10,20,20,20,0,-30,0,0,20,20,-10,-30,10,20,30,-10,-30,-30,20
16,0,10,-20,-10,-10,20,30,0,0,-10,-10,10,0,20,0,-20,-30,-10,20,0,20,30,20,-30
17,0,0,0,0,10,-10,0,-10,0,20,30,20,0,-30,-20,-10,0,20,0,20,-10,-20,10,10
