,0
0,20
1,20
2,20
3,20
4,20
5,20
6,17
7,17
8,4
9,-6
10,-8
11,-4
12,-12
13,-26
14,-29
15,-36
16,-39
17,-46
18,-38
19,-36
20,-37
21,-41
22,-43
23,-47
24,19
25,19
26,19
27,19
28,19
29,19
30,18
31,16
32,6
33,-3
34,-9
35,-6
36,-8
37,-10
38,-19
39,-16
40,-20
41,-17
42,-14
43,-14
44,-9
45,-7
46,-7
47,-7
48,20
49,18
50,18
51,18
52,18
53,18
54,16
55,5
56,-1
57,-10
58,-11
59,-11
60,3
61,3
62,-7
63,-3
64,2
65,-6
66,-1
67,-4
68,-5
69,-5
70,-5
71,-5
72,18
73,18
74,18
75,18
76,18
77,18
78,18
79,9
80,-6
81,-14
82,-15
83,-16
84,-17
85,-17
86,-12
87,-14
88,-14
89,-18
90,-20
91,-7
92,-4
93,-4
94,-7
95,-7
96,20
97,19
98,19
99,19
100,19
101,19
102,17
103,18
104,18
105,16
106,17
107,17
108,15
109,16
110,20
111,27
112,22
113,14
114,16
115,17
116,13
117,12
118,5
119,1
120,20
121,20
122,20
123,20
124,20
125,20
126,20
127,20
128,6
129,-8
130,-10
131,-8
132,-2
133,5
134,5
135,-4
136,-4
137,2
138,4
139,4
140,-7
141,-8
142,-8
143,-8
144,20
145,20
146,20
147,20
148,20
149,19
150,19
151,18
152,3
153,7
154,1
155,-3
156,-7
157,-7
158,-5
159,0
160,1
161,-6
162,-3
163,-4
164,-3
165,-2
166,-4
167,-7
168,20
169,22
170,21
171,21
172,21
173,21
174,18
175,14
176,2
177,2
178,-1
179,4
180,4
181,-14
182,-14
183,-14
184,-15
185,-15
186,-13
187,-4
188,-2
189,0
190,-2
191,-2
192,19
193,19
194,19
195,19
196,19
197,18
198,16
199,6
200,-15
201,-13
202,-16
203,-19
204,-16
205,-16
206,-20
207,-21
208,-21
209,-27
210,-27
211,-31
212,-32
213,-32
214,-30
215,-31
216,20
217,20
218,19
219,19
220,19
221,19
222,19
223,18
224,12
225,15
226,15
227,11
228,4
229,-5
230,-12
231,-18
232,-24
233,-25
234,-20
235,-19
236,-19
237,-18
238,-23
239,-26
240,21
241,21
242,21
243,21
244,21
245,21
246,21
247,18
248,0
249,-12
250,-14
251,-18
252,-16
253,-17
254,-23
255,-24
256,-38
257,-39
258,-31
259,-26
260,-26
261,-26
262,-27
263,-31
264,20
265,20
266,19
267,19
268,19
269,19
270,18
271,14
272,0
273,-4
274,-2
275,2
276,-10
277,-11
278,-14
279,-11
280,-3
281,-16
282,-8
283,-14
284,-13
285,-13
286,-14
287,-16
288,19
289,18
290,18
291,18
292,18
293,18
294,17
295,9
296,9
297,8
298,12
299,12
300,3
301,1
302,1
303,-8
304,-4
305,-5
306,-9
307,-15
308,-15
309,-15
310,-15
311,-15
312,21
313,19
314,19
315,19
316,19
317,19
318,14
319,10
320,0
321,-2
322,1
323,1
324,-3
325,3
326,-13
327,-24
328,-19
329,-19
330,-10
331,-17
332,-14
333,-15
334,-20
335,-22
336,20
337,20
338,20
339,20
340,20
341,20
342,20
343,15
344,10
345,7
346,9
347,9
348,8
349,6
350,6
351,6
352,1
353,10
354,8
355,8
356,4
357,3
358,-3
359,-4
360,20
361,20
362,20
363,20
364,20
365,20
366,20
367,11
368,5
369,4
370,-10
371,-7
372,-14
373,-19
374,-22
375,-29
376,-32
377,-28
378,-23
379,-17
380,-14
381,-14
382,-15
383,-19
384,20
385,21
386,21
387,21
388,21
389,21
390,20
391,16
392,16
393,18
394,11
395,5
396,5
397,6
398,9
399,8
400,8
401,6
402,-1
403,10
404,7
405,6
406,9
407,9
408,20
409,20
410,19
411,19
412,19
413,19
414,17
415,8
416,10
417,6
418,6
419,3
420,-5
421,-9
422,-7
423,0
424,0
425,0
426,1
427,2
428,4
429,5
430,4
431,1
432,20
433,20
434,20
435,20
436,20
437,20
438,20
439,20
440,23
441,22
442,24
443,19
444,21
445,21
446,14
447,14
448,16
449,15
450,19
451,13
452,9
453,4
454,-1
455,-5
456,20
457,19
458,19
459,19
460,19
461,19
462,16
463,14
464,6
465,-6
466,-13
467,-15
468,-23
469,-24
470,-29
471,-23
472,-24
473,-23
474,-23
475,-30
476,-30
477,-31
478,-41
479,-43
480,20
481,19
482,19
483,19
484,19
485,19
486,19
487,19
488,4
489,7
490,6
491,6
492,1
493,0
494,0
495,7
496,13
497,10
498,6
499,1
500,5
501,3
502,-2
503,-4
504,20
505,19
506,19
507,19
508,19
509,19
510,17
511,13
512,5
513,-4
514,-4
515,-8
516,-2
517,-4
518,-20
519,-24
520,-25
521,-31
522,-22
523,-27
524,-26
525,-27
526,-34
527,-34
528,20
529,20
530,20
531,20
532,20
533,20
534,19
535,17
536,-3
537,-5
538,-6
539,-6
540,-8
541,-22
542,-23
543,-19
544,-24
545,-27
546,-27
547,-15
548,-14
549,-13
550,-19
551,-19
552,20
553,20
554,20
555,20
556,20
557,20
558,20
559,20
560,9
561,8
562,7
563,-1
564,-1
565,-6
566,-4
567,-6
568,-10
569,-10
570,-10
571,-9
572,-14
573,-12
574,-20
575,-20
576,20
577,22
578,22
579,22
580,22
581,22
582,21
583,17
584,4
585,-8
586,-8
587,-8
588,-9
589,-4
590,-3
591,-4
592,-4
593,-10
594,12
595,12
596,10
597,10
598,5
599,2
600,20
601,21
602,21
603,21
604,21
605,21
606,20
607,6
608,-7
609,-11
610,-16
611,-15
612,-17
613,-18
614,-24
615,-29
616,-28
617,-20
618,-4
619,6
620,3
621,3
622,-4
623,-2
624,20
625,20
626,20
627,20
628,20
629,20
630,17
631,17
632,17
633,14
634,14
635,14
636,10
637,7
638,3
639,5
640,7
641,4
642,4
643,3
644,8
645,8
646,6
647,2
648,20
649,20
650,20
651,20
652,20
653,19
654,18
655,14
656,1
657,1
658,-5
659,-3
660,-9
661,-12
662,-13
663,-13
664,-8
665,-8
666,-7
667,-6
668,-4
669,-3
670,-6
671,-13
672,20
673,20
674,20
675,20
676,20
677,20
678,20
679,18
680,12
681,8
682,10
683,6
684,-2
685,-5
686,7
687,5
688,-5
689,-8
690,6
691,7
692,10
693,13
694,12
695,10
696,20
697,21
698,21
699,21
700,21
701,21
702,18
703,15
704,5
705,-4
706,-8
707,-8
708,-29
709,-39
710,-40
711,-59
712,-57
713,-56
714,-55
715,-47
716,-50
717,-50
718,-59
719,-64
720,20
721,20
722,20
723,20
724,20
725,20
726,19
727,17
728,9
729,-2
730,-4
731,1
732,2
733,6
734,17
735,22
736,27
737,18
738,16
739,22
740,21
741,25
742,22
743,23
744,19
745,17
746,17
747,17
748,17
749,17
750,16
751,12
752,5
753,-2
754,-11
755,-10
756,-12
757,-26
758,-25
759,-25
760,-15
761,-17
762,-23
763,-15
764,-18
765,-16
766,-24
767,-25
768,20
769,21
770,21
771,21
772,21
773,21
774,21
775,20
776,-2
777,-8
778,-13
779,-12
780,-10
781,-10
782,-10
783,-10
784,-9
785,-15
786,-9
787,2
788,2
789,-1
790,-3
791,-3
792,20
793,21
794,21
795,21
796,21
797,21
798,21
799,17
800,14
801,13
802,4
803,6
804,5
805,2
806,6
807,-5
808,-22
809,-30
810,-33
811,-34
812,-33
813,-33
814,-36
815,-37
816,18
817,18
818,18
819,18
820,18
821,18
822,15
823,16
824,16
825,10
826,6
827,-1
828,-2
829,-6
830,-5
831,2
832,-1
833,4
834,10
835,10
836,10
837,11
838,-1
839,-1
840,20
841,19
842,19
843,19
844,19
845,19
846,17
847,7
848,-10
849,-23
850,-23
851,-25
852,-24
853,-27
854,-24
855,-28
856,-37
857,-43
858,-31
859,-23
860,-23
861,-25
862,-30
863,-28
864,20
865,20
866,20
867,20
868,20
869,20
870,16
871,14
872,17
873,17
874,14
875,12
876,7
877,0
878,4
879,11
880,15
881,16
882,16
883,20
884,20
885,20
886,22
887,21
888,20
889,20
890,20
891,20
892,20
893,19
894,19
895,9
896,4
897,1
898,0
899,0
900,-6
901,-2
902,-6
903,-17
904,-19
905,-11
906,-1
907,3
908,4
909,1
910,-2
911,-2
912,19
913,19
914,19
915,19
916,19
917,19
918,19
919,19
920,17
921,14
922,17
923,22
924,22
925,21
926,22
927,23
928,20
929,12
930,14
931,18
932,18
933,17
934,3
935,1
936,20
937,21
938,21
939,21
940,21
941,21
942,20
943,18
944,18
945,10
946,11
947,5
948,0
949,-4
950,3
951,-6
952,-8
953,-6
954,0
955,5
956,7
957,4
958,6
959,5
960,21
961,21
962,21
963,21
964,21
965,21
966,21
967,19
968,14
969,-1
970,-4
971,-4
972,-4
973,-7
974,-17
975,-21
976,-24
977,-32
978,-37
979,-39
980,-34
981,-35
982,-38
983,-39
984,20
985,21
986,21
987,21
988,21
989,21
990,21
991,18
992,9
993,-8
994,-9
995,-10
996,-19
997,-17
998,-19
999,-14
1000,-8
1001,-9
1002,-4
1003,3
1004,4
1005,8
1006,2
1007,1
1008,20
1009,19
1010,19
1011,19
1012,19
1013,19
1014,12
1015,6
1016,1
1017,-6
1018,-3
1019,-3
1020,1
1021,-2
1022,-2
1023,-2
1024,-2
1025,-1
1026,2
1027,-3
1028,-1
1029,2
1030,3
1031,1
1032,18
1033,18
1034,18
1035,18
1036,18
1037,18
1038,18
1039,17
1040,7
1041,2
1042,-2
1043,-1
1044,1
1045,-6
1046,-15
1047,-10
1048,-11
1049,-11
1050,-9
1051,-7
1052,-8
1053,-8
1054,-10
1055,-13
1056,19
1057,19
1058,19
1059,19
1060,19
1061,19
1062,18
1063,18
1064,18
1065,16
1066,18
1067,9
1068,15
1069,14
1070,12
1071,14
1072,10
1073,18
1074,20
1075,28
1076,28
1077,28
1078,28
1079,21
1080,19
1081,17
1082,17
1083,17
1084,17
1085,17
1086,17
1087,11
1088,-7
1089,-12
1090,-13
1091,-21
1092,-13
1093,-12
1094,-17
1095,-23
1096,-20
1097,-34
1098,-40
1099,-44
1100,-40
1101,-41
1102,-41
1103,-41
1104,19
1105,19
1106,19
1107,19
1108,19
1109,19
1110,17
1111,11
1112,-4
1113,-4
1114,-4
1115,-3
1116,-12
1117,-16
1118,-17
1119,-15
1120,-17
1121,-4
1122,-7
1123,-3
1124,-5
1125,-6
1126,-12
1127,-14
1128,20
1129,20
1130,20
1131,20
1132,20
1133,20
1134,19
1135,17
1136,19
1137,11
1138,3
1139,1
1140,1
1141,2
1142,-3
1143,-7
1144,-1
1145,4
1146,4
1147,5
1148,0
1149,1
1150,1
1151,1
1152,19
1153,17
1154,17
1155,17
1156,17
1157,17
1158,13
1159,13
1160,4
1161,0
1162,-2
1163,-4
1164,-4
1165,-18
1166,-16
1167,-13
1168,-11
1169,-10
1170,-7
1171,-6
1172,-7
1173,-7
1174,-9
1175,-9
1176,20
1177,20
1178,20
1179,20
1180,20
1181,20
1182,16
1183,11
1184,5
1185,5
1186,7
1187,9
1188,8
1189,4
1190,-2
1191,-1
1192,-6
1193,-8
1194,-10
1195,-6
1196,-3
1197,-3
1198,-3
1199,-5
1200,19
1201,18
1202,18
1203,18
1204,18
1205,18
1206,13
1207,3
1208,-7
1209,-9
1210,-14
1211,-15
1212,-16
1213,-31
1214,-32
1215,-39
1216,-41
1217,-46
1218,-30
1219,-23
1220,-21
1221,-24
1222,-24
1223,-26
1224,20
1225,20
1226,20
1227,20
1228,20
1229,20
1230,16
1231,15
1232,12
1233,14
1234,4
1235,-1
1236,3
1237,8
1238,11
1239,11
1240,4
1241,4
1242,14
1243,9
1244,10
1245,10
1246,6
1247,5
1248,20
1249,20
1250,20
1251,20
1252,20
1253,20
1254,18
1255,17
1256,9
1257,9
1258,-2
1259,-2
1260,-2
1261,-7
1262,-8
1263,-9
1264,-9
1265,-5
1266,4
1267,2
1268,0
1269,-6
1270,-5
1271,-7
1272,21
1273,20
1274,20
1275,20
1276,20
1277,20
1278,19
1279,15
1280,6
1281,1
1282,-5
1283,-10
1284,-2
1285,-2
1286,-2
1287,-4
1288,-12
1289,-15
1290,-11
1291,-7
1292,-7
1293,-10
1294,-16
1295,-16
1296,20
1297,20
1298,20
1299,20
1300,20
1301,20
1302,21
1303,18
1304,-6
1305,-9
1306,-14
1307,-13
1308,-10
1309,-18
1310,-27
1311,-29
1312,-20
1313,-29
1314,-27
1315,-24
1316,-24
1317,-21
1318,-22
1319,-20
1320,20
1321,19
1322,19
1323,19
1324,19
1325,19
1326,19
1327,16
1328,16
1329,16
1330,14
1331,13
1332,12
1333,9
1334,9
1335,-5
1336,-4
1337,-10
1338,-12
1339,-10
1340,-10
1341,-8
1342,-10
1343,-10
1344,20
1345,21
1346,21
1347,21
1348,21
1349,21
1350,18
1351,11
1352,-4
1353,-4
1354,-4
1355,-11
1356,-20
1357,-21
1358,-29
1359,-19
1360,-17
1361,-26
1362,-10
1363,-4
1364,-5
1365,-6
1366,-5
1367,-5
1368,18
1369,17
1370,17
1371,17
1372,17
1373,17
1374,16
1375,15
1376,2
1377,-6
1378,-4
1379,-2
1380,-3
1381,-1
1382,4
1383,4
1384,4
1385,4
1386,8
1387,8
1388,9
1389,7
1390,-3
1391,-4
1392,20
1393,20
1394,20
1395,20
1396,20
1397,20
1398,21
1399,19
1400,2
1401,-6
1402,-12
1403,-12
1404,-22
1405,-24
1406,-28
1407,-34
1408,-40
1409,-57
1410,-49
1411,-42
1412,-42
1413,-42
1414,-44
1415,-45
1416,20
1417,19
1418,19
1419,19
1420,19
1421,19
1422,17
1423,11
1424,14
1425,8
1426,7
1427,6
1428,6
1429,4
1430,1
1431,-13
1432,-22
1433,-16
1434,-19
1435,-16
1436,-18
1437,-19
1438,-17
1439,-17
1440,20
1441,20
1442,20
1443,20
1444,20
1445,20
1446,17
1447,17
1448,20
1449,12
1450,2
1451,-2
1452,-12
1453,-7
1454,-18
1455,-29
1456,-22
1457,-18
1458,-22
1459,-23
1460,-25
1461,-25
1462,-27
1463,-31
1464,20
1465,21
1466,21
1467,21
1468,21
1469,21
1470,21
1471,16
1472,3
1473,2
1474,1
1475,1
1476,-6
1477,-6
1478,-5
1479,-5
1480,-5
1481,-4
1482,3
1483,4
1484,6
1485,4
1486,4
1487,3
1488,19
1489,19
1490,19
1491,19
1492,19
1493,19
1494,14
1495,15
1496,6
1497,-7
1498,-8
1499,-9
1500,-9
1501,-10
1502,-14
1503,-25
1504,-36
1505,-30
1506,-25
1507,-27
1508,-31
1509,-30
1510,-33
1511,-33
1512,20
1513,21
1514,20
1515,20
1516,20
1517,20
1518,20
1519,17
1520,21
1521,12
1522,12
1523,11
1524,11
1525,14
1526,6
1527,18
1528,18
1529,13
1530,14
1531,19
1532,20
1533,21
1534,16
1535,16
1536,20
1537,19
1538,19
1539,19
1540,19
1541,18
1542,15
1543,6
1544,9
1545,2
1546,0
1547,0
1548,3
1549,0
1550,-9
1551,3
1552,20
1553,17
1554,13
1555,18
1556,19
1557,20
1558,18
1559,14
1560,20
1561,20
1562,20
1563,20
1564,20
1565,20
1566,18
1567,19
1568,18
1569,13
1570,10
1571,5
1572,-7
1573,-7
1574,-8
1575,-8
1576,-8
1577,-16
1578,-18
1579,-12
1580,-11
1581,-10
1582,-13
1583,-14
1584,20
1585,20
1586,20
1587,20
1588,20
1589,20
1590,20
1591,19
1592,13
1593,-2
1594,-5
1595,-12
1596,-12
1597,-18
1598,-21
1599,-9
1600,-9
1601,-6
1602,-6
1603,-5
1604,4
1605,4
1606,-2
1607,-5
1608,20
1609,19
1610,18
1611,18
1612,18
1613,18
1614,15
1615,12
1616,-3
1617,-7
1618,-10
1619,-10
1620,-17
1621,-29
1622,-40
1623,-40
1624,-31
1625,-36
1626,-44
1627,-39
1628,-40
1629,-43
1630,-54
1631,-54
1632,20
1633,20
1634,20
1635,20
1636,20
1637,20
1638,18
1639,11
1640,1
1641,-6
1642,-9
1643,-20
1644,-22
1645,-21
1646,-21
1647,-28
1648,-22
1649,-17
1650,-15
1651,-11
1652,-11
1653,-12
1654,-11
1655,-12
1656,20
1657,21
1658,21
1659,21
1660,21
1661,21
1662,20
1663,14
1664,5
1665,2
1666,1
1667,-5
1668,-1
1669,-1
1670,4
1671,8
1672,-1
1673,3
1674,15
1675,19
1676,18
1677,20
1678,13
1679,7
1680,20
1681,20
1682,20
1683,20
1684,20
1685,20
1686,19
1687,19
1688,4
1689,7
1690,2
1691,3
1692,6
1693,-2
1694,-6
1695,4
1696,7
1697,2
1698,4
1699,2
1700,4
1701,4
1702,5
1703,5
1704,19
1705,17
1706,17
1707,17
1708,17
1709,17
1710,17
1711,11
1712,14
1713,10
1714,1
1715,-4
1716,-14
1717,-25
1718,-17
1719,-27
1720,-36
1721,-30
1722,-38
1723,-38
1724,-42
1725,-43
1726,-45
1727,-45
1728,20
1729,20
1730,20
1731,20
1732,20
1733,20
1734,16
1735,12
1736,-3
1737,-15
1738,-12
1739,-7
1740,-3
1741,6
1742,-3
