,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,20,20,30,30,20,-10,0,17,27,24,24,32,46,48,24,11,-6,1,4,32,54,33,-1,-33
1,19,19,9,29,59,39,19,-2,6,16,27,21,14,-8,0,1,14,40,43,46,36,31,33,23
2,20,20,8,8,8,38,38,36,15,-11,10,39,29,33,43,43,27,22,24,39,46,35,5,-5
3,18,18,38,58,48,28,18,8,19,24,16,5,14,33,53,48,26,16,-8,0,33,56,46,13
4,20,20,-1,9,39,59,29,7,8,8,16,17,7,5,26,30,27,32,14,26,57,33,2,-5
5,20,20,20,0,0,0,10,40,30,-4,-8,20,42,48,35,25,26,16,32,34,24,23,22,12
6,20,20,40,50,50,20,-1,9,18,33,47,21,7,-7,3,25,40,61,54,37,16,-3,-12,-4
7,20,20,22,31,31,11,21,38,54,22,-8,-11,24,54,26,16,6,15,35,47,46,18,10,-2
8,19,19,29,49,49,29,8,6,6,-15,17,44,41,44,44,40,9,9,13,43,59,38,18,10
9,20,20,20,19,19,39,39,39,38,2,-15,5,21,14,5,28,32,36,35,10,11,11,22,47
10,21,21,21,1,-9,1,31,41,8,-30,-12,16,42,64,53,17,6,-8,11,49,84,74,74,43
11,20,20,20,9,9,19,49,48,34,-10,-34,-2,2,10,19,6,9,17,34,62,36,17,-13,6
12,19,19,38,38,8,-2,18,47,59,29,-2,-18,12,33,21,-9,-28,-4,25,31,25,-5,-15,5
13,21,21,39,59,29,-1,9,34,60,30,8,1,31,27,23,17,-14,-9,21,50,33,26,25,0
14,20,20,20,20,20,40,60,30,-5,-10,7,39,49,28,-4,6,16,31,40,18,8,-6,3,7
15,20,20,20,40,50,30,0,10,21,35,54,40,13,6,1,18,31,18,-8,7,33,66,56,25
16,20,20,21,31,11,1,-9,10,36,36,38,21,5,15,16,39,38,18,-14,-31,0,-3,16,49
17,20,20,20,19,19,19,29,17,8,0,-4,16,43,55,51,23,10,0,0,21,22,44,35,14
18,20,20,20,20,0,-10,-10,0,10,13,22,24,9,31,51,54,24,-4,-15,-1,23,39,44,29
19,20,20,19,19,39,29,29,36,44,16,-26,-33,-5,-13,6,31,37,46,27,7,-10,20,49,19
20,20,20,19,29,29,39,39,29,-1,-6,27,36,26,1,-20,-20,17,43,50,36,11,15,43,38
21,20,20,19,19,9,-1,19,47,53,15,-4,16,32,48,26,-20,-14,15,29,48,23,14,3,-4
22,20,20,20,20,10,20,10,-11,-23,-13,15,44,64,42,8,-3,11,36,53,43,35,36,17,-19
23,20,20,20,30,50,20,10,30,20,-1,18,37,49,49,14,6,-6,20,30,50,61,26,-2,-10
24,20,20,22,22,42,52,52,31,7,4,22,52,42,11,16,37,36,6,-20,22,42,50,20,5
25,20,20,21,21,11,-9,-9,0,-4,-7,9,14,15,3,32,26,1,2,30,46,26,3,-17,6
26,20,20,20,20,20,30,30,27,37,37,34,14,-16,-10,17,33,55,47,14,-6,23,38,58,36
27,20,20,20,20,30,10,19,28,24,1,21,45,67,51,18,7,17,32,32,33,34,6,-3,4
28,20,20,20,20,20,10,10,0,-2,12,28,20,26,38,25,27,25,-5,-28,-4,27,50,33,12
29,20,20,21,21,21,41,41,8,5,-5,6,32,42,11,1,30,11,-7,-6,25,53,40,10,-19
30,20,20,20,20,40,40,10,-21,-33,-11,-22,6,41,62,36,27,2,7,8,26,32,31,25,22
31,19,19,17,7,7,7,7,26,32,35,8,-21,10,38,44,25,15,35,43,17,-5,-8,14,36
32,20,20,21,21,21,1,11,21,50,38,12,7,-2,10,20,20,20,21,-5,1,22,32,29,37
33,20,20,21,21,41,41,31,31,37,24,-7,-36,-14,-15,12,36,45,28,10,17,46,47,27,14
34,18,18,28,38,28,18,28,25,36,16,-10,6,29,28,24,35,22,-1,4,20,30,20,11,19
35,20,20,19,19,29,19,19,17,-3,-20,-3,17,25,26,23,26,22,23,37,69,77,47,45,10
36,20,20,20,20,20,20,40,56,24,-3,-13,-6,12,37,60,44,31,35,6,-14,20,50,70,52
37,20,20,20,20,20,0,-1,29,49,24,1,-10,0,14,28,54,23,11,19,49,43,14,-9,-12
38,19,19,19,19,19,9,9,19,39,47,24,17,32,42,31,32,3,-30,-8,24,38,28,-3,-7
39,20,20,21,21,21,31,41,30,18,18,0,11,15,0,-4,33,54,22,-6,10,25,27,24,26
40,21,21,1,21,51,51,31,11,-1,-16,-1,26,36,26,-7,-37,-31,-34,-42,-47,-49,-44,-45,-48
41,20,20,21,21,1,-9,11,41,48,9,-28,1,30,41,53,41,26,22,31,46,63,44,18,-8
42,20,20,19,19,19,29,49,42,16,-9,-16,7,27,41,48,28,-2,-2,19,42,37,39,22,3
43,18,18,18,8,-2,8,18,18,37,37,32,8,-11,1,14,15,40,69,69,41,13,2,32,50
44,19,19,19,9,9,29,49,48,38,18,-14,-22,-11,25,44,52,24,-10,-2,10,28,48,28,18
45,19,19,17,37,47,27,-3,-13,-9,-7,18,27,9,7,8,33,37,20,-4,-10,-4,20,49,59
46,19,19,19,39,39,19,19,37,41,26,-4,-4,7,8,4,3,35,63,66,43,17,-5,-16,-2
47,20,20,20,20,20,20,30,39,37,9,-19,3,21,21,12,-13,-7,19,44,54,55,20,11,31
48,19,19,17,17,17,37,27,-7,-27,-26,0,28,56,36,2,-6,27,49,60,43,14,3,33,61
49,20,20,20,20,20,20,20,6,11,5,25,37,59,38,4,-32,-31,-36,-38,-40,-36,-33,-33,-33
50,19,19,18,18,8,8,8,33,33,33,21,26,25,34,-1,-12,11,29,54,80,77,79,76,76
51,20,20,20,20,20,20,20,16,5,12,24,44,59,33,8,11,11,14,4,4,29,40,20,6
52,20,20,20,20,20,20,20,38,27,19,9,18,28,28,13,12,31,21,5,-6,-8,20,24,45
53,21,21,20,20,20,20,20,29,15,-4,21,25,40,68,58,28,6,-12,-15,19,43,53,20,-6
54,20,20,20,0,0,20,40,21,18,-16,-9,16,37,30,-8,-7,11,30,51,23,6,6,9,8
55,20,20,19,19,19,19,19,19,6,16,36,34,13,2,-11,-11,-5,16,30,18,-10,-20,12,30
56,20,20,21,21,31,31,41,8,1,16,16,16,-1,-10,19,41,51,43,4,10,26,35,14,15
57,18,18,7,17,47,57,37,16,15,22,24,26,38,37,39,44,14,-16,-6,18,38,39,7,-3
58,20,20,20,20,20,20,20,1,19,12,4,28,58,58,26,2,-4,10,13,21,28,38,28,-4
59,20,20,19,19,19,19,39,37,1,-16,8,37,56,36,4,-29,-43,-22,-16,11,34,42,41,33
60,20,20,20,20,20,20,20,17,27,30,2,-18,-12,8,33,42,21,28,22,18,7,15,45,63
61,20,20,21,21,21,11,21,41,56,23,2,-9,11,24,24,25,15,35,36,23,24,6,-6,-6
62,19,19,19,19,19,19,19,14,15,26,23,12,31,41,40,36,5,-6,20,35,13,-1,20,37
63,20,20,21,20,20,20,20,20,37,51,22,2,11,21,24,-4,-2,8,13,24,49,50,21,-4
64,20,20,19,19,19,19,8,5,26,29,22,10,-10,13,30,11,3,20,47,33,8,9,10,8
65,20,20,20,20,20,20,20,18,29,28,33,30,15,-7,-17,2,22,52,64,52,38,19,-10,-13
66,20,20,20,20,20,20,20,20,-1,-7,-12,5,18,48,42,9,21,31,44,34,25,34,44,48
67,20,20,19,18,18,18,8,15,12,27,13,10,20,33,21,20,0,-11,4,16,41,40,37,16
68,20,20,20,20,20,20,20,18,1,1,4,11,20,8,29,49,42,28,13,25,59,49,28,-1
69,20,20,21,21,21,21,41,40,14,-25,-8,21,45,69,49,24,8,19,53,55,39,18,20,23
70,20,20,20,20,20,20,20,19,19,-6,-3,22,33,46,18,-6,-6,17,42,54,32,4,-16,15
71,19,19,17,17,7,7,37,67,41,14,-20,-19,6,16,15,33,53,14,10,22,52,38,27,25
72,20,20,20,20,20,20,20,16,22,7,-5,-2,33,67,76,37,41,26,11,29,48,40,32,15
73,20,20,20,20,20,20,20,17,-9,-39,-24,-19,11,44,34,20,34,40,53,23,6,10,23,33
74,19,19,21,21,21,21,1,-26,-21,5,27,33,17,-16,-3,27,61,66,39,10,-7,13,33,49
75,20,20,20,20,20,20,20,16,0,5,7,31,46,35,16,-8,11,21,13,5,15,24,14,14
76,19,19,19,19,19,19,18,18,18,3,13,46,70,34,4,-16,-22,-7,16,46,31,7,17,47
77,20,20,21,21,21,21,10,18,26,20,21,9,23,39,29,7,17,28,42,31,3,-26,-4,29
78,21,21,21,11,11,11,1,-10,19,46,62,27,5,2,2,20,50,40,20,-7,-6,24,54,37
79,20,20,20,20,20,10,10,9,-5,-6,23,51,67,56,31,12,8,3,32,64,56,39,10,-24
80,20,20,20,19,19,19,19,18,25,20,31,21,23,13,-7,15,26,31,44,34,7,7,37,45
81,20,20,20,20,20,20,20,16,5,15,15,33,15,18,44,52,48,20,-10,-20,-5,15,49,35
82,20,20,21,21,21,21,21,-1,12,40,36,7,7,42,40,27,28,0,-1,6,19,25,14,5
83,20,20,20,20,20,20,20,18,10,36,40,30,26,36,13,-4,1,26,35,33,26,27,39,12
