,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,18,18,8,8,18,48,68,47,13,-18,-27,-7,23,35,33,32,3,-8,15,25,22,36,57,50
1,18,18,38,28,-2,-2,28,56,41,6,7,28,19,8,-2,21,36,58,35,-7,-32,-21,-23,7
2,20,20,31,11,1,1,20,35,44,34,11,-8,14,23,23,21,29,11,20,14,16,8,8,18
3,17,17,15,5,25,25,5,-15,13,28,37,33,23,11,29,39,38,19,2,21,30,41,25,-4
4,20,20,20,20,30,40,50,40,20,19,7,26,54,42,6,5,12,37,24,19,27,44,25,9
5,20,20,11,21,21,41,51,48,12,-19,3,34,32,12,1,5,33,64,55,36,28,35,16,12
6,20,20,0,-10,10,40,50,17,-1,-2,10,37,49,31,18,15,12,33,38,57,38,16,18,5
7,20,20,40,60,40,10,-20,-33,-2,-2,30,54,45,29,-1,-31,-16,-17,8,33,52,22,-8,1
8,19,19,19,9,19,19,39,27,2,-24,-5,22,53,52,29,21,6,-13,-10,11,21,31,32,23
9,19,19,39,49,29,9,-11,7,36,61,24,-5,1,10,5,35,48,28,1,-15,1,23,24,34
10,20,20,20,20,40,20,0,10,32,53,50,39,21,9,-7,19,36,57,39,2,2,23,24,21
11,20,20,20,0,0,20,40,50,40,28,24,12,-12,4,30,26,-11,-14,19,46,59,28,-1,-32
12,20,20,20,20,0,-10,0,9,9,16,17,23,12,-9,-4,20,35,35,17,23,40,57,28,-4
13,20,20,20,30,30,30,0,-10,-12,8,26,45,42,29,19,26,49,46,42,44,34,5,-7,-3
14,20,20,20,40,40,30,20,-12,-30,-11,18,45,46,56,45,27,1,-18,15,48,73,63,33,2
15,19,19,19,39,59,29,-1,5,4,-2,23,44,47,39,-8,-29,-16,14,36,50,41,27,17,2
16,20,20,20,10,10,30,30,-1,8,36,53,41,20,10,36,56,36,16,8,0,19,36,45,35
17,20,20,18,18,18,38,48,38,22,-2,4,15,43,63,40,4,-15,-16,3,23,22,21,30,13
18,19,19,9,19,49,39,8,7,14,25,53,40,17,-18,-26,-1,38,63,32,19,-3,0,9,4
19,19,19,29,29,39,39,29,-1,-16,3,21,41,33,23,-7,-30,3,39,59,54,16,-14,-5,13
20,20,20,20,20,20,30,40,49,41,7,-29,-19,6,34,64,55,17,-5,-17,19,37,50,47,16
21,19,19,19,19,39,29,9,16,16,22,7,6,35,33,30,29,42,50,19,-6,-7,4,22,51
22,20,20,19,19,29,39,49,28,5,-3,5,12,20,27,18,18,8,4,34,76,66,66,36,4
23,20,20,20,20,20,0,9,39,39,15,-26,-39,-1,9,19,6,2,11,35,31,20,8,8,4
24,19,19,20,30,20,10,10,30,46,27,-13,-21,9,30,25,39,56,52,20,22,12,33,23,10
25,19,19,19,29,19,9,9,7,6,19,25,43,62,27,-1,-18,7,16,26,26,22,-1,19,29
26,20,20,18,17,37,27,27,14,6,9,-1,-2,19,37,27,-7,-36,-12,-14,22,52,47,39,21
27,20,20,20,18,18,28,48,55,30,9,11,9,7,17,23,24,14,-3,-8,19,47,42,13,-16
28,20,20,20,20,10,10,10,0,-9,13,25,36,46,25,-7,15,9,21,22,54,74,68,38,8
29,19,19,17,17,17,17,17,6,13,22,51,72,62,21,-9,11,29,22,36,23,-7,-19,-7,17
30,20,20,22,21,21,21,31,28,-11,-55,-38,-38,-41,-38,-51,-51,-52,-52,-51,-49,-48,-47,-47,-50
