,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,20,20,0,-20,-20,0,20,0,-20,-20,30,30,30,-10,-20,-30,-20,20,30,-10,-30,-10,20
1,0,10,20,-10,-20,-20,-10,20,20,20,30,-10,-30,-30,10,30,10,0,0,-20,-20,20,20,-10
2,10,0,0,-20,0,10,10,-10,0,10,30,10,-10,-30,-30,0,20,20,30,10,-20,-20,0,10
3,-20,0,0,0,30,30,-10,-20,-20,10,10,30,0,-20,-30,-10,30,30,20,-10,-30,-20,-10,20
4,0,10,-20,-30,0,20,20,10,10,-10,10,20,20,-30,-20,0,-10,20,20,0,-30,-30,0,30
5,-10,-10,10,10,20,10,-10,-30,-30,10,0,30,30,20,0,-30,-20,0,30,20,0,-30,-10,0
6,20,0,0,0,-10,-10,0,0,0,10,30,20,0,-20,-20,0,10,10,0,-20,10,30,0,-20
7,0,-10,0,20,10,0,0,-30,0,20,30,30,-10,-30,-20,0,30,10,10,-30,-20,-20,30,30
8,20,20,0,-30,-20,-30,-10,20,0,20,20,30,-10,-20,-10,10,20,-10,-30,0,0,30,10,0
9,0,-20,10,20,20,0,-30,-30,30,0,30,30,20,-10,-20,-20,0,20,30,20,0,0,-30,0
10,0,-10,20,-10,-10,20,20,-20,-10,30,20,-10,-20,-30,10,30,20,20,-30,-30,10,10,10,20
11,20,0,-30,-30,30,30,10,-20,-10,10,30,10,-30,-30,-30,20,0,20,0,30,10,0,-30,0
12,0,20,10,-10,-30,0,10,0,0,30,20,-30,-10,10,30,20,-30,-30,-20,-10,30,10,-20,-30
13,0,-20,-20,20,20,0,0,-20,20,20,10,10,0,0,-20,-10,0,30,20,-30,-20,10,20,30
14,0,0,20,-10,-20,0,30,30,0,-20,-20,-20,20,20,20,20,-10,-30,0,30,10,-10,-10,-20
15,0,0,-10,-10,10,20,20,-30,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,0,0,10,10,-10,-20,-10,10,30,30,-10,-30,-10,20,10,10,-20,0,30,0,-10,-30,10
17,0,0,-20,20,20,10,0,-10,-30,-10,30,30,10,-10,0,-20,20,-10,-20,-10,30,20,20,0
18,0,0,0,0,-10,20,10,10,-10,20,10,-10,0,-10,-10,20,30,10,-10,0,-30,-10,10,30
19,10,20,10,-30,-30,0,30,10,0,0,-20,-20,30,30,20,10,-10,-20,-10,0,-10,-10,10,10
20,0,0,-20,10,10,30,20,-20,-20,-20,-20,30,30,0,-30,-10,30,30,0,-10,0,10,-10,-20
21,0,0,10,-20,0,0,-10,0,10,20,30,20,-20,0,10,0,-20,10,20,10,20,10,-20,-30
22,0,0,10,-10,0,20,0,0,-10,30,20,0,-30,-20,30,30,-20,-20,0,-20,-10,10,-10,-10
23,0,0,10,10,-10,-30,-10,20,30,30,-10,-20,-20,0,20,10,-20,0,-10,0,10,20,30,-10
24,0,0,20,20,-20,-20,-10,20,0,20,0,-10,10,10,0,-10,0,0,-20,0,-10,10,0,20
25,0,0,-10,20,-10,10,20,-30,-30,30,30,10,-20,-30,-30,30,0,30,20,10,-20,-20,-30,-20
26,-20,0,30,30,0,-20,-30,-30,20,0,30,0,10,10,10,20,30,-30,-20,0,0,20,10,0
27,0,0,20,10,0,-10,-30,0,20,30,0,-10,-30,-30,10,30,30,10,-30,-30,0,20,20,20
28,-10,10,10,20,0,-10,-30,0,30,30,10,0,-20,-30,-10,20,10,20,10,-10,-10,-30,-20,20
29,0,0,0,-10,20,30,-10,-20,-30,0,20,30,30,-20,-20,-20,0,30,30,-10,-20,-20,10,20
