,0
0,19
1,18
2,18
3,18
4,18
5,18
6,15
7,16
8,10
9,3
10,1
11,0
12,-3
13,-7
14,-8
15,0
16,-5
17,4
18,4
19,15
20,15
21,15
22,11
23,12
24,19
25,20
26,20
27,20
28,20
29,20
30,20
31,11
32,-3
33,-12
34,-8
35,-8
36,8
37,6
38,1
39,-1
40,-6
41,-10
42,-8
43,-2
44,1
45,1
46,-5
47,-7
48,20
49,17
50,17
51,17
52,17
53,17
54,15
55,14
56,5
57,6
58,12
59,12
60,22
61,20
62,5
63,4
64,4
65,-4
66,-2
67,4
68,5
69,3
70,3
71,3
72,20
73,20
74,20
75,20
76,20
77,20
78,17
79,17
80,9
81,5
82,3
83,8
84,9
85,9
86,10
87,11
88,17
89,11
90,8
91,9
92,12
93,13
94,12
95,8
96,21
97,21
98,21
99,21
100,21
101,21
102,17
103,17
104,8
105,-2
106,-9
107,-8
108,6
109,5
110,4
111,3
112,12
113,12
114,16
115,28
116,27
117,26
118,24
119,22
120,20
121,19
122,19
123,19
124,19
125,19
126,18
127,18
128,1
129,-1
130,0
131,0
132,-9
133,-16
134,-16
135,-15
136,-12
137,-11
138,-8
139,-5
140,-9
141,-8
142,-8
143,-8
144,21
145,21
146,21
147,21
148,21
149,21
150,20
151,16
152,8
153,6
154,0
155,-3
156,-5
157,-9
158,-16
159,-22
160,-23
161,-15
162,-16
163,-18
164,-12
165,-13
166,-16
167,-17
168,20
169,21
170,21
171,21
172,21
173,21
174,21
175,21
176,9
177,-4
178,-5
179,-14
180,-18
181,-27
182,-29
183,-19
184,-17
185,-16
186,-12
187,-9
188,-9
189,-7
190,-7
191,-8
192,20
193,20
194,20
195,20
196,20
197,20
198,20
199,16
200,12
201,12
202,12
203,7
204,6
205,6
206,14
207,25
208,21
209,23
210,25
211,21
212,21
213,21
214,19
215,19
216,20
217,17
218,17
219,17
220,17
221,16
222,15
223,11
224,-5
225,-17
226,-23
227,-20
228,-24
229,-31
230,-36
231,-40
232,-41
233,-46
234,-46
235,-54
236,-55
237,-57
238,-60
239,-60
240,20
241,20
242,20
243,20
244,20
245,20
246,19
247,19
248,3
249,3
250,1
251,4
252,-1
253,-2
254,1
255,0
256,-7
257,-4
258,-6
259,-8
260,-4
261,-4
262,-7
263,-9
264,19
265,19
266,19
267,19
268,19
269,19
270,18
271,18
272,18
273,14
274,10
275,15
276,6
277,12
278,5
279,4
280,0
281,-12
282,-11
283,-3
284,-4
285,-4
286,-12
287,-11
288,20
289,20
290,20
291,20
292,20
293,20
294,17
295,13
296,6
297,6
298,3
299,-2
300,1
301,3
302,4
303,8
304,2
305,4
306,4
307,6
308,10
309,14
310,14
311,8
312,20
313,20
314,20
315,20
316,20
317,20
318,20
319,16
320,9
321,-3
322,-2
323,-2
324,-5
325,-1
326,-14
327,-14
328,-14
329,-15
330,-9
331,-7
332,-10
333,-12
334,-17
335,-19
336,20
337,17
338,17
339,17
340,17
341,17
342,14
343,14
344,5
345,6
346,-1
347,-8
348,-4
349,-17
350,-23
351,-32
352,-27
353,-32
354,-22
355,-23
356,-23
357,-26
358,-31
359,-35
360,20
361,20
362,19
363,19
364,19
365,19
366,20
367,17
368,9
369,-1
370,-3
371,-7
372,-19
373,-25
374,-15
375,-20
376,-18
377,-18
378,-23
379,-17
380,-18
381,-17
382,-17
383,-17
384,20
385,22
386,22
387,22
388,22
389,22
390,22
391,20
392,15
393,4
394,3
395,4
396,2
397,-3
398,-11
399,-14
400,-14
401,-15
402,-20
403,-24
404,-23
405,-23
406,-23
407,-27
408,20
409,20
410,19
411,19
412,19
413,19
414,19
415,16
416,-6
417,-8
418,-8
419,-16
420,-16
421,-15
422,-18
423,-21
424,-10
425,-12
426,-13
427,-14
428,-14
429,-14
430,-21
431,-22
432,20
433,19
434,19
435,19
436,19
437,19
438,16
439,14
440,-5
441,-13
442,-15
443,-5
444,-19
445,-19
446,-21
447,-24
448,-22
449,-29
450,-35
451,-35
452,-36
453,-33
454,-34
455,-36
456,19
457,18
458,18
459,18
460,18
461,18
462,17
463,11
464,7
465,7
466,4
467,2
468,-3
469,-13
470,-17
471,-14
472,-10
473,-12
474,-12
475,-12
476,-14
477,-15
478,-14
479,-17
480,20
481,20
482,20
483,20
484,20
485,20
486,20
487,14
488,17
489,10
490,9
491,9
492,11
493,6
494,-3
495,-8
496,-11
497,-13
498,-9
499,-12
500,-17
501,-20
502,-21
503,-25
504,20
505,20
506,20
507,20
508,20
509,20
510,19
511,17
512,4
513,-14
514,-16
515,-11
516,-21
517,-21
518,-16
519,-27
520,-39
521,-44
522,-43
523,-44
524,-44
525,-43
526,-44
527,-44
528,20
529,19
530,19
531,19
532,19
533,19
534,14
535,15
536,-9
537,-11
538,-10
539,-14
540,-14
541,-15
542,-15
543,-8
544,-8
545,-7
546,6
547,16
548,16
549,16
550,11
551,11
552,20
553,18
554,17
555,17
556,17
557,17
558,17
559,11
560,8
561,6
562,6
563,6
564,6
565,3
566,-1
567,4
568,8
569,3
570,2
571,3
572,-1
573,0
574,0
575,0
576,20
577,22
578,22
579,22
580,22
581,22
582,21
583,18
584,7
585,0
586,2
587,3
588,-3
589,-1
590,-1
591,-2
592,3
593,6
594,5
595,8
596,12
597,13
598,13
599,13
600,20
601,20
602,20
603,20
604,20
605,20
606,20
607,20
608,13
609,6
610,5
611,1
612,10
613,14
614,2
615,-3
616,1
617,-2
618,9
619,12
620,15
621,15
622,12
623,11
624,21
625,21
626,21
627,21
628,21
629,21
630,19
631,19
632,-1
633,-10
634,-17
635,-16
636,-14
637,-21
638,-32
639,-32
640,-27
641,-30
642,-26
643,-23
644,-22
645,-18
646,-17
647,-19
648,20
649,20
650,20
651,20
652,20
653,20
654,18
655,17
656,15
657,8
658,6
659,4
660,8
661,-5
662,6
663,0
664,-1
665,-2
666,-10
667,-4
668,-4
669,-5
670,-9
671,-9
672,18
673,18
674,18
675,18
676,18
677,18
678,18
679,13
680,4
681,-4
682,-8
683,-6
684,-13
685,-13
686,-13
687,-4
688,-9
689,-16
690,-16
691,-14
692,-13
693,-13
694,-23
695,-23
696,20
697,20
698,20
699,20
700,20
701,20
702,20
703,20
704,8
705,5
706,-1
707,-1
708,0
709,-14
710,-14
711,-19
712,-8
713,2
714,-3
715,-4
716,-3
717,-3
718,-3
719,-4
720,20
721,21
722,21
723,21
724,21
725,21
726,16
727,11
728,9
729,9
730,5
731,1
732,-9
733,-15
734,-10
735,-11
736,-19
737,-19
738,-16
739,-26
740,-30
741,-31
742,-34
743,-35
744,20
745,20
746,20
747,20
748,20
749,20
750,17
751,15
752,0
753,-1
754,-4
755,-2
756,-2
757,7
758,-2
759,-8
760,-7
761,1
762,-2
763,-3
764,0
765,0
766,1
767,2
768,20
769,20
770,20
771,20
772,20
773,20
774,17
775,16
776,8
777,1
778,1
779,-2
780,-8
781,-5
782,-11
783,-5
784,0
785,11
786,6
787,15
788,16
789,16
790,15
791,13
792,20
793,19
794,19
795,19
796,19
797,19
798,18
799,19
800,2
801,2
802,3
803,3
804,-5
805,-3
806,-12
807,-11
808,-2
809,-12
810,-5
811,2
812,5
813,9
814,8
815,5
816,20
817,20
818,19
819,19
820,19
821,19
822,19
823,15
824,1
825,-8
826,-9
827,-4
828,-8
829,-6
830,-4
831,-3
832,4
833,10
834,12
835,20
836,22
837,25
838,18
839,17
840,20
841,21
842,21
843,21
844,21
845,21
846,20
847,14
848,2
849,2
850,2
851,-2
852,1
853,10
854,13
855,14
856,13
857,4
858,1
859,4
860,3
861,3
862,-4
863,-7
864,20
865,20
866,20
867,20
868,20
869,20
870,20
871,17
872,14
873,10
874,8
875,8
876,7
877,6
878,5
879,2
880,5
881,5
882,12
883,12
884,15
885,15
886,6
887,4
888,20
889,20
890,20
891,20
892,20
893,20
894,18
895,18
896,16
897,17
898,19
899,17
900,12
901,16
902,17
903,17
904,25
905,9
906,14
907,21
908,19
909,19
910,7
911,5
912,20
913,20
914,20
915,20
916,20
917,20
918,19
919,15
920,4
921,-1
922,-2
923,0
924,0
925,-5
926,-7
927,-8
928,-9
929,-14
930,-10
931,-5
932,-5
933,-3
934,-3
935,-3
936,20
937,20
938,20
939,20
940,20
941,20
942,18
943,15
944,14
945,14
946,12
947,14
948,14
949,9
950,0
951,-11
952,-7
953,-5
954,-3
955,1
956,0
957,3
958,4
959,2
960,20
961,21
962,21
963,21
964,21
965,21
966,20
967,20
968,14
969,10
970,10
971,4
972,-1
973,-12
974,-24
975,-23
976,-28
977,-25
978,-5
979,-1
980,-4
981,-4
982,-3
983,-4
984,20
985,19
986,19
987,19
988,19
989,19
990,19
991,13
992,9
993,-2
994,-5
995,-6
996,-10
997,-10
998,-10
999,-17
1000,-22
1001,-30
1002,-23
1003,-14
1004,-18
1005,-16
1006,-15
1007,-18
1008,20
1009,20
1010,20
1011,20
1012,20
1013,20
1014,20
1015,19
1016,15
1017,7
1018,7
1019,-2
1020,-6
1021,-7
1022,-13
1023,-11
1024,-12
1025,-16
1026,-14
1027,-21
1028,-24
1029,-22
1030,-21
1031,-23
1032,20
1033,21
1034,21
1035,21
1036,21
1037,21
1038,20
1039,12
1040,12
1041,12
1042,11
1043,7
1044,4
1045,9
1046,0
1047,3
1048,12
1049,0
1050,-1
1051,4
1052,5
1053,5
1054,2
1055,2
1056,20
1057,20
1058,20
1059,20
1060,20
1061,20
1062,20
1063,12
1064,2
1065,-8
1066,-13
1067,-13
1068,-14
1069,-14
1070,-15
1071,-19
1072,-19
1073,-18
1074,-28
1075,-34
1076,-33
1077,-33
1078,-33
1079,-34
1080,20
1081,20
1082,19
1083,19
1084,19
1085,19
1086,18
1087,17
1088,17
1089,11
1090,11
1091,17
1092,28
1093,25
1094,25
1095,24
1096,24
1097,27
1098,26
1099,30
1100,29
1101,29
1102,25
1103,25
1104,20
1105,19
1106,19
1107,19
1108,19
1109,19
1110,19
1111,19
1112,15
1113,16
1114,8
1115,10
1116,2
1117,2
1118,7
1119,-7
1120,-7
1121,-17
1122,2
1123,2
1124,2
1125,5
1126,-8
1127,-10
1128,20
1129,20
1130,20
1131,20
1132,20
1133,20
1134,20
1135,12
1136,-2
1137,-10
1138,-23
1139,-27
1140,-34
1141,-34
1142,-41
1143,-43
1144,-36
1145,-38
1146,-32
1147,-32
1148,-30
1149,-29
1150,-30
1151,-30
1152,20
1153,20
1154,20
1155,20
1156,20
1157,19
1158,19
1159,6
1160,-6
1161,-8
1162,-13
1163,-9
1164,-7
1165,-7
1166,-3
1167,-4
1168,3
1169,6
1170,6
1171,8
1172,6
1173,6
1174,2
1175,1
1176,20
1177,21
1178,21
1179,21
1180,21
1181,21
1182,20
1183,17
1184,15
1185,5
1186,4
1187,0
1188,7
1189,8
1190,-8
1191,-6
1192,-7
1193,-10
1194,-5
1195,7
1196,6
1197,6
1198,2
1199,1
1200,20
1201,20
1202,19
1203,19
1204,19
1205,19
1206,19
1207,19
1208,1
1209,-1
1210,-7
1211,-17
1212,-23
1213,-27
1214,-33
1215,-35
1216,-43
1217,-43
1218,-42
