,0
0,-405.0
1,-495.0
2,-460.0
3,-410.0
4,-520.0
5,-470.0
6,-495.0
7,-480.0
8,-455.0
9,-365.0
10,-470.0
11,-580.0
12,-535.0
13,-415.0
14,-470.0
15,-475.0
16,-375.0
17,-515.0
18,-310.0
19,-395.0
20,-420.0
21,-545.0
22,-455.0
23,-420.0
24,-545.0
25,-340.0
26,-325.0
27,-385.0
28,-215.0
29,-240.0
30,-280.0
31,-350.0
32,-380.0
33,-375.0
34,-375.0
35,-330.0
36,-330.0
37,-395.0
38,-315.0
39,-355.0
40,-380.0
41,-445.0
42,-400.0
43,-330.0
44,-470.0
45,-375.0
46,-340.0
47,-285.0
48,-260.0
49,-325.0
50,-340.0
51,-390.0
52,-555.0
53,-470.0
54,-315.0
55,-315.0
56,-360.0
57,-420.0
58,-455.0
59,-390.0
60,-245.0
61,-355.0
62,-345.0
63,-380.0
64,-340.0
65,-305.0
66,-410.0
67,-240.0
68,-240.0
69,-300.0
70,-245.0
71,-360.0
72,-330.0
73,-340.0
74,-295.0
75,-420.0
76,-335.0
77,-320.0
78,-335.0
79,-265.0
80,-485.0
81,-320.0
82,-430.0
83,-335.0
84,-285.0
85,-325.0
86,-280.0
87,-335.0
88,-245.0
89,-300.0
90,-260.0
91,-310.0
92,-150.0
93,-355.0
94,-230.0
95,-315.0
96,-390.0
97,-370.0
98,-325.0
99,-175.0
100,-240.0
101,-380.0
102,-410.0
103,-390.0
104,-330.0
105,-480.0
106,-205.0
107,-295.0
108,-410.0
109,-260.0
110,-500.0
111,-435.0
112,-395.0
113,-225.0
114,-420.0
115,-305.0
116,-290.0
117,-350.0
118,-280.0
119,-440.0
120,-235.0
121,-150.0
122,-300.0
123,-195.0
124,-165.0
125,-370.0
126,-300.0
127,-210.0
128,-290.0
129,-350.0
130,-180.0
131,-330.0
132,-345.0
133,-285.0
134,-410.0
135,-195.0
136,-450.0
137,-160.0
138,-465.0
139,-450.0
140,-350.0
141,-330.0
142,-205.0
143,-200.0
144,-185.0
145,-305.0
146,-430.0
147,-260.0
148,-265.0
149,-415.0
150,-335.0
151,-265.0
152,-345.0
153,-170.0
154,-240.0
155,-415.0
156,-430.0
157,-255.0
158,-460.0
159,-160.0
160,-335.0
161,-205.0
162,-475.0
163,-345.0
164,-285.0
165,-260.0
166,-375.0
167,-470.0
168,-155.0
169,-395.0
170,-185.0
171,-215.0
172,-370.0
173,-245.0
174,-250.0
175,-265.0
176,-255.0
177,-340.0
178,-370.0
179,-380.0
180,-135.0
181,-245.0
182,-355.0
183,-215.0
184,-195.0
185,-460.0
186,-195.0
187,-200.0
188,-410.0
189,-340.0
190,-195.0
191,-605.0
192,-400.0
193,-505.0
194,-510.0
195,-320.0
196,-290.0
197,-260.0
198,-425.0
199,-355.0
200,-180.0
201,-375.0
202,-300.0
203,-310.0
204,-465.0
205,-220.0
206,-225.0
207,-45.0
208,-110.0
209,-175.0
210,-360.0
211,-325.0
212,-335.0
213,-225.0
214,-390.0
215,-415.0
216,-350.0
217,-435.0
218,-415.0
219,-155.0
220,-355.0
221,-345.0
222,-145.0
223,-250.0
224,-155.0
225,-185.0
226,-225.0
227,-205.0
228,-230.0
229,-175.0
230,-290.0
231,-355.0
232,-165.0
233,-180.0
234,-170.0
235,-325.0
236,-290.0
237,-330.0
238,-65.0
239,-325.0
240,-360.0
241,-280.0
242,-630.0
243,-290.0
244,-115.0
245,-400.0
246,-165.0
247,-430.0
248,-405.0
249,-220.0
250,-365.0
251,-265.0
252,-260.0
253,-295.0
254,-320.0
255,-55.0
256,-370.0
257,-340.0
258,-130.0
259,-230.0
260,-280.0
261,-120.0
262,-370.0
263,-380.0
264,-440.0
265,-225.0
266,-450.0
267,-445.0
268,-330.0
269,-175.0
270,-235.0
271,-360.0
272,-210.0
273,-420.0
274,-315.0
275,-350.0
276,-340.0
277,-275.0
278,-160.0
279,-315.0
280,-240.0
281,-325.0
282,-345.0
283,-310.0
284,-320.0
285,-120.0
286,-215.0
287,-460.0
288,-215.0
289,-330.0
290,-240.0
291,-285.0
292,-320.0
293,-445.0
294,-590.0
295,-170.0
296,-340.0
297,-350.0
298,-300.0
299,-485.0
300,-385.0
301,-270.0
302,-180.0
303,-250.0
304,-360.0
305,-105.0
306,-395.0
307,-205.0
308,-295.0
309,-285.0
310,-135.0
311,-275.0
312,-395.0
313,-60.0
314,-170.0
315,-185.0
316,-135.0
317,-375.0
318,-260.0
319,-345.0
320,-350.0
321,-385.0
322,-185.0
323,-295.0
324,-25.0
325,-460.0
326,-260.0
327,-350.0
328,-550.0
329,-455.0
330,-185.0
331,-110.0
332,-290.0
333,-250.0
334,-325.0
335,-140.0
336,-375.0
337,-360.0
338,-165.0
