,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,20,10,-30,-10,0,-10,10,20,30,10,-20,-10,-30,0,30,10,-10,0,0,0,-10,-20,10,20
1,10,20,0,-10,-20,-30,-20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,20,-10,0,0,-20,10,30,20,-20,-10,20,10,-30,-20,-10,0,30,30,-10,-20,-10
3,-20,-20,10,30,20,-10,-20,0,30,20,-10,-20,0,20,10,10,0,-10,-10,0,-20,0,20,20
4,-10,0,30,30,0,-30,-30,0,20,10,30,0,-30,-10,-10,20,30,0,-10,-30,-10,0,10,-10
5,10,10,10,-10,-20,0,0,-10,30,30,30,-10,-30,-20,-20,0,20,30,-20,-10,-20,-10,30,30
6,0,10,20,-20,-30,0,30,10,20,-30,-30,-20,10,30,30,10,0,-10,20,10,-20,-10,10,10
7,0,0,-20,10,30,0,-30,0,10,0,0,10,0,-20,20,30,20,-30,0,-20,0,-10,10,0
8,0,20,0,0,-30,-20,10,30,10,30,-10,-20,-30,0,30,30,0,-20,-30,10,10,-10,-10,-10
9,0,-10,20,0,10,10,0,-10,-10,0,10,30,0,-30,0,30,30,-10,-30,-20,10,20,10,-20
10,0,-20,20,10,0,-20,0,30,0,0,10,0,-10,-10,10,20,20,0,-20,-20,0,30,20,20
11,-10,0,0,30,10,-30,-10,10,30,20,-20,-20,10,0,0,0,-10,10,30,-20,-10,10,0,-30
12,0,20,-10,-10,-30,10,20,30,-10,-10,0,20,0,-20,-10,-10,10,0,10,10,-10,-20,0,0
13,0,0,20,0,0,-30,-20,10,20,30,30,10,-20,-20,-10,10,20,30,-10,-10,10,-10,10,20
14,0,-20,20,0,0,20,-20,-10,30,20,0,0,-30,0,30,0,-30,-30,30,30,30,-10,-30,0
15,0,0,0,0,0,0,10,0,-10,10,20,10,-20,-20,-20,0,30,20,-10,-30,-10,0,10,30
16,0,0,10,10,-20,-20,-20,10,30,20,30,0,-20,-20,-30,0,20,0,20,0,-30,-10,10,30
17,20,-10,-20,-20,20,20,30,-30,-20,10,30,10,10,0,-10,-30,-30,-10,20,30,10,-20,-10,30
18,0,0,0,0,-10,10,10,-10,10,0,0,-10,-10,20,30,0,-20,-10,20,20,10,-20,0,0
19,0,0,20,10,-10,-10,0,10,10,0,-20,-30,10,0,0,30,0,30,30,0,0,-30,-10,20
20,0,0,-10,-20,0,20,10,30,20,-20,-30,-10,0,30,20,0,-30,-30,10,20,20,0,0,-20
21,0,0,0,-10,0,30,10,-20,-20,-20,30,0,30,20,-10,0,10,20,-10,-10,-30,0,20,30
22,0,0,0,0,0,-10,-10,0,10,20,30,10,-20,-30,-10,20,30,30,30,0,-20,-30,0,30
23,0,0,0,-20,-10,20,10,0,30,-10,-20,-20,20,30,-10,-10,10,10,-20,-30,10,30,30,-20
24,0,0,0,0,10,10,10,-10,-20,-10,10,20,10,30,0,-10,-20,0,30,0,-20,-30,0,30
25,0,0,0,20,0,-30,-30,20,30,10,20,20,0,-30,-20,20,20,0,0,-20,-30,20,10,10
26,0,0,0,10,-20,-30,20,30,20,0,0,-10,-10,-20,10,30,30,-20,-30,-30,20,30,10,-10
27,0,0,0,0,-10,10,-10,10,30,0,0,20,20,0,0,-20,-20,0,0,30,-10,-20,-10,10
28,0,0,-10,0,0,20,20,0,-30,-30,20,0,30,20,20,-10,0,20,-20,-30,-10,20,30,10
29,0,-10,0,20,0,10,0,-20,-30,-10,30,0,10,20,10,10,-20,0,-20,-20,10,20,20,0
30,0,0,-10,10,10,10,10,0,0,-10,-10,-10,20,20,0,0,10,-10,-10,-20,20,20,10,-10
31,0,0,0,0,0,10,-10,-20,0,30,20,-30,-10,30,20,-10,-20,10,20,10,-10,-20,-30,10
32,0,0,0,0,-20,-10,30,30,10,-20,-10,30,20,10,-30,-20,20,10,20,30,-10,-20,-10,10
33,0,0,0,0,20,-10,-20,-10,30,30,10,-20,10,20,-20,10,30,0,-20,-20,-20,30,10,10
34,0,0,0,0,0,-10,0,20,30,20,-30,-30,10,20,0,0,-30,0,20,0,-10,0,0,0
35,10,10,0,-30,0,0,10,0,-10,30,30,-20,-20,0,10,-20,-20,10,30,10,10,-10,-30,-10
36,-20,20,20,-20,0,10,-20,10,20,20,-10,0,-20,-20,-20,20,0,30,30,0,-30,-10,0,30
37,0,0,10,0,0,-10,10,20,-10,-10,-20,-20,30,20,10,-30,-20,10,20,30,10,0,-10,-20
38,0,0,0,0,0,0,0,0,-10,30,20,20,-20,-30,-30,20,30,20,10,-30,-20,10,10,30
39,0,0,0,0,0,0,-20,20,20,30,-20,-10,0,20,0,0,20,20,-10,-30,-30,-10,20,30
40,0,0,0,0,10,10,10,0,-30,0,30,20,-10,-30,20,0,0,0,10,10,10,0,-20,-10
41,0,0,0,0,0,0,20,-10,-30,0,20,20,20,20,10,-20,-30,-20,10,10,0,0,-10,20
42,0,0,0,0,0,10,-10,10,10,20,-10,-20,-10,10,30,0,-20,-20,10,0,10,20,-20,-30
43,0,0,0,0,0,0,0,-10,-10,10,30,30,20,-20,-30,-30,10,20,20,20,-30,-20,-30,30
44,0,0,0,0,0,20,0,-10,-20,20,10,0,10,0,0,10,-10,-10,20,10,0,-30,0,30
45,0,0,0,0,0,0,0,-10,0,30,20,0,-10,-20,30,20,0,-20,-30,-30,-10,10,30,20
46,0,0,0,0,0,0,-10,0,30,0,10,10,0,-20,-30,-20,20,20,10,-30,-20,10,20,30
47,0,10,0,-30,-30,30,30,30,-10,-10,0,-20,-20,20,30,0,10,10,-30,-20,-30,10,20,30
