,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,20,20,40,50,20,10,10,-2,4,18,41,52,31,29,-2,-6,21,28,21,24,24,25,13,-5
1,20,20,30,50,50,40,20,-15,-39,-32,-36,-36,-44,-54,-65,-68,-72,-70,-65,-65,-67,-67,-66,-66
2,19,19,19,19,19,39,29,26,16,-16,-3,30,40,20,12,36,40,24,4,-6,-1,30,61,48
3,20,20,-1,-21,-11,19,39,27,6,-3,21,41,32,10,9,30,42,49,47,35,21,19,-1,-14
4,20,20,9,9,39,69,69,37,8,-1,13,22,51,49,22,-4,-14,16,46,55,49,19,11,11
5,19,19,29,39,49,39,19,16,0,-11,12,38,75,64,31,13,-9,0,20,54,34,19,-1,-16
6,20,20,20,29,49,29,-1,-3,25,32,52,22,-6,-27,-28,-3,18,29,22,12,37,45,24,13
7,20,20,20,20,0,10,40,39,7,6,15,8,8,27,22,9,22,55,76,39,45,26,27,16
8,20,20,19,39,39,39,9,-16,-7,14,21,50,45,16,-14,-18,17,46,43,32,2,12,21,11
9,20,20,20,10,30,30,40,49,47,20,-1,-1,8,44,39,0,2,32,66,58,33,10,21,31
10,20,20,19,-1,19,29,29,9,7,32,32,26,29,19,16,4,-2,18,32,36,9,-11,-8,15
11,19,19,9,9,9,39,49,18,5,6,26,50,32,15,26,24,24,18,3,20,52,32,26,36
12,20,20,20,40,30,20,-10,1,22,50,29,18,18,42,39,26,16,5,14,9,17,37,25,4
13,20,20,19,19,39,39,39,9,-13,-28,-7,20,44,49,20,6,-7,-3,17,41,26,17,27,18
14,20,20,20,0,20,20,20,37,8,-8,16,36,41,36,4,1,31,31,2,-24,2,29,58,43
15,20,20,19,19,19,19,19,16,24,23,2,10,31,48,27,7,-6,7,28,42,34,0,-10,-22
16,20,20,20,20,30,40,20,-3,-27,-19,7,25,61,62,32,19,-11,0,11,14,32,28,-3,-18
17,19,19,40,30,10,-10,10,30,57,18,-9,0,24,34,47,46,41,10,-20,-30,-10,21,27,7
18,20,20,19,19,19,19,9,19,30,18,14,11,12,-6,-16,6,28,19,-16,-16,5,24,32,6
19,20,20,20,20,40,50,40,29,27,29,32,34,7,-36,-35,-29,-37,-7,-16,14,36,37,34,1
20,20,20,20,20,10,-10,-10,10,15,43,63,30,2,-8,-1,28,39,39,6,-15,-5,13,33,25
21,20,20,20,19,19,9,9,37,38,20,-13,-32,-11,-14,18,34,24,13,20,37,36,26,-5,-5
22,20,20,20,19,19,19,19,9,-1,-15,-11,2,29,36,19,-12,-25,-10,7,37,63,58,38,8
23,20,20,20,20,20,0,-10,10,13,13,41,29,5,-15,11,36,20,9,28,37,16,-13,-2,24
24,20,20,20,20,20,20,30,40,50,30,1,-13,-5,7,14,35,43,22,-2,4,37,37,18,-16
25,20,20,20,20,20,40,40,10,-23,-6,15,17,35,56,53,14,-8,14,37,39,41,15,-10,7
26,20,20,20,20,20,30,10,-21,-6,25,41,46,44,25,22,-5,-3,30,56,41,10,-19,-2,26
27,20,20,20,20,20,20,10,18,8,3,22,25,22,32,36,48,48,25,4,4,10,42,30,7
28,19,19,19,19,9,9,9,26,44,32,-1,-31,-12,-14,17,32,34,25,29,51,29,-4,-14,5
29,19,19,19,9,9,29,29,37,37,16,-24,-39,-8,-13,-6,19,28,43,23,27,15,-7,7,26
30,20,20,21,21,11,21,31,40,45,34,34,17,9,-3,12,20,20,26,36,28,12,-13,6,23
31,20,20,20,20,20,20,20,30,20,0,0,31,49,12,-3,23,42,33,13,26,53,64,51,26
32,20,20,20,20,20,20,0,-13,9,26,18,-4,-13,17,32,43,13,-8,6,12,27,56,48,27
33,20,20,20,20,20,20,40,25,-4,-27,-5,25,28,13,23,34,4,20,50,50,34,12,-9,18
34,20,20,20,20,20,20,20,10,9,20,46,66,32,-8,5,30,30,24,-8,1,22,21,15,15
35,18,18,29,39,39,9,9,8,18,4,-12,23,57,37,23,20,31,9,-16,-4,35,45,55,42
36,21,21,1,21,41,21,20,26,6,9,21,37,30,37,20,-18,-36,-11,-10,23,50,45,17,3
37,20,20,19,19,29,29,29,17,28,51,39,25,0,-9,16,36,46,16,-19,-6,16,44,53,51
38,20,20,20,20,20,20,20,19,14,-1,-12,21,39,65,48,17,-22,-3,30,51,61,22,0,-3
39,20,20,20,20,20,20,20,19,-14,4,26,52,32,13,6,22,21,25,43,63,57,23,-3,-19
40,20,20,19,19,19,19,29,38,36,23,-8,-11,21,42,25,6,24,17,14,21,29,36,44,43
41,20,20,20,19,19,19,19,19,36,19,-15,-13,5,20,34,55,68,50,14,7,15,25,25,19
42,20,20,20,19,19,19,19,28,13,5,13,31,23,9,3,18,45,39,19,5,16,16,26,46
43,20,20,19,19,19,19,19,15,10,-7,-23,-14,19,49,73,54,28,-10,-10,22,41,61,31,4
44,20,20,20,19,19,19,19,34,33,14,-6,16,26,19,25,22,16,27,9,0,20,33,33,-2
45,20,20,20,20,20,20,20,15,15,-10,-17,8,28,28,10,-4,27,52,66,53,28,-4,-14,-10
46,20,20,20,20,20,20,19,18,0,1,28,33,45,62,65,51,21,-2,18,37,56,22,-4,3
47,19,19,20,30,30,0,-30,0,26,47,36,29,28,8,-19,5,34,33,43,57,39,19,-11,-1
48,20,20,19,19,19,19,19,15,3,-1,-8,12,20,42,54,10,-14,17,32,38,35,22,-9,-10
49,20,20,20,20,20,20,20,20,25,32,27,6,20,42,43,10,-12,24,53,55,39,5,-13,-3
50,20,20,20,20,20,20,20,19,-3,-18,-9,9,28,58,46,10,-17,-27,-14,21,50,30,6,14
51,20,20,20,20,20,20,20,18,34,50,13,3,18,23,24,5,-4,20,38,15,-6,-16,5,32
52,19,19,18,28,48,28,8,-17,7,16,26,34,34,30,19,8,7,24,44,25,39,17,-3,16
53,21,21,11,-9,-19,1,31,36,40,19,13,22,25,26,36,38,23,2,22,43,37,15,12,9
54,19,19,18,17,27,17,27,26,10,0,-10,1,39,43,16,21,11,13,4,-6,16,43,60,46
55,20,20,20,20,20,20,20,19,37,38,40,15,-21,-23,13,43,35,42,41,37,36,26,-4,-6
56,20,20,20,20,20,20,20,20,28,31,8,-26,-19,10,36,31,6,8,4,37,54,22,-7,-27
57,20,20,20,20,20,20,20,16,15,17,36,47,38,19,21,28,13,4,31,57,64,42,24,10
58,19,19,20,19,19,19,19,18,7,-18,-5,17,44,22,9,11,26,33,8,1,1,11,18,9
59,20,20,20,20,20,20,20,18,7,-6,-1,14,47,41,10,-21,-5,31,61,57,45,25,25,16
60,20,20,20,20,20,20,20,17,12,18,0,-12,-5,29,31,37,1,-11,8,23,33,54,23,-7
61,20,20,20,20,20,30,30,19,26,37,32,13,-10,7,23,33,22,-14,-17,4,45,65,55,30
62,18,18,38,28,18,18,38,57,37,-3,-22,-15,16,46,39,19,16,26,48,48,51,31,19,14
63,20,20,19,19,19,19,19,18,-2,-7,9,10,40,66,59,27,1,-19,7,39,72,67,37,8
64,18,18,18,8,28,28,27,25,13,18,27,16,-6,-6,20,38,17,-1,-10,10,33,42,26,23
65,20,20,20,19,19,19,19,17,14,-9,1,30,36,41,30,-6,-40,-20,-20,13,43,63,35,12
66,18,18,8,28,28,8,8,28,23,-5,1,9,23,32,10,-24,-27,14,38,28,1,-5,-5,22
67,20,20,20,20,20,20,20,18,8,9,29,45,36,41,40,28,24,-4,1,41,52,54,45,23
68,20,20,20,20,20,20,20,15,1,-5,-8,-4,4,35,40,18,4,0,32,51,32,2,2,-7
69,20,20,20,20,20,20,20,18,-8,-24,-14,13,31,29,22,35,24,9,16,59,57,35,3,-27
70,20,20,18,18,28,18,8,-3,14,14,1,30,42,27,-4,-17,3,23,49,60,39,22,5,3
71,20,20,20,20,20,20,20,18,-5,-27,-9,20,44,50,33,16,30,32,33,25,36,16,-15,-16
72,19,19,19,18,18,28,39,16,-8,-2,5,31,43,9,-4,-15,0,33,38,15,-16,-15,16,30
73,21,21,21,41,51,51,41,9,7,0,-6,3,2,5,28,41,56,38,18,8,35,38,30,8
74,20,20,20,20,20,20,20,16,-4,-3,16,33,27,11,0,-16,-13,2,22,52,51,22,-8,-23
75,20,20,20,20,20,20,20,20,8,18,11,-3,23,47,16,-7,-21,-7,18,53,64,35,6,-28
76,20,20,20,20,20,20,20,20,-5,5,27,37,15,6,23,49,29,-1,-6,43,57,26,-6,-28
77,20,20,19,19,19,19,19,19,15,20,20,32,43,41,7,-12,2,24,40,50,42,35,33,30
78,20,20,19,19,19,19,19,18,1,3,20,49,43,24,5,10,18,43,59,57,41,26,4,-4
79,20,20,20,20,20,20,19,19,1,-6,-17,11,35,62,35,3,10,13,23,36,14,-18,-18,1
80,20,20,20,20,20,20,20,19,12,18,37,48,19,-18,-24,-4,25,34,46,36,0,-2,7,10
81,19,19,18,28,48,58,28,6,6,-10,10,31,21,14,6,-1,0,35,44,38,21,-11,-31,-10
82,21,21,41,21,11,1,-8,-10,-8,-5,15,25,59,83,60,63,35,2,1,21,54,64,42,21
83,20,20,19,19,19,19,19,19,19,16,7,-3,28,60,79,41,41,22,-7,1,11,45,75,58
84,20,20,21,21,1,-9,-9,-1,9,25,40,24,-7,10,30,42,1,0,7,7,37,56,55,34
85,20,20,20,20,20,20,20,19,16,16,18,4,16,23,23,2,-17,0,13,27,49,31,1,10
86,19,19,19,29,29,19,19,18,14,22,30,18,-2,-12,7,27,61,57,19,-1,17,27,27,35
87,20,20,20,19,19,19,19,17,1,11,27,29,35,8,-22,1,28,44,43,48,50,18,-13,-18
88,20,20,20,19,19,19,19,17,16,33,32,9,9,10,29,16,3,6,19,50,49,39,33,22
89,20,20,20,19,19,19,19,17,10,1,7,21,40,28,30,7,-18,2,29,66,48,21,11,-7
90,20,20,19,19,19,19,19,18,17,-6,-20,-2,21,27,27,27,20,21,29,54,67,60,29,5
91,20,20,20,20,20,20,20,19,11,16,22,24,13,4,7,29,32,19,-12,-12,18,55,45,17
92,20,20,21,21,21,21,11,21,9,16,17,7,4,10,26,22,12,6,1,31,60,32,11,23
93,17,17,7,26,26,6,6,34,38,48,18,-14,-25,-6,18,45,55,56,43,21,20,42,39,6
94,20,20,20,20,20,20,20,17,17,22,5,-15,17,37,45,42,25,5,-7,26,59,57,28,-3
95,20,20,20,20,20,20,20,19,13,9,13,11,12,-9,-11,0,27,37,14,-17,-2,21,41,21
96,20,20,21,21,21,11,11,29,59,57,20,-6,-4,-2,24,32,44,48,25,-3,4,14,34,44
97,21,21,31,40,10,10,20,47,47,7,-34,-38,-39,-42,-45,-58,-57,-48,-50,-46,-41,-41,-41,-43
98,20,20,20,20,20,20,20,16,13,-8,-2,12,17,9,18,24,14,15,25,43,61,64,43,24
99,19,19,19,19,19,19,19,15,15,22,19,39,38,9,3,6,26,48,43,16,-14,-28,2,30
100,20,20,20,20,20,20,20,15,13,9,17,16,15,16,6,7,18,33,23,31,19,19,39,29
101,20,20,20,20,20,20,20,20,17,10,-6,-10,13,24,19,-2,18,40,59,39,23,12,25,8
102,20,20,20,20,20,20,20,16,15,2,11,28,48,37,12,-4,4,13,42,32,7,14,33,53
103,20,20,21,21,21,21,42,21,9,-11,16,47,45,31,15,5,34,45,24,-6,-25,-12,22,49
104,20,20,21,21,31,31,31,19,15,24,20,40,33,-1,9,31,23,37,30,32,13,-7,-7,7
105,20,20,21,21,21,31,31,30,3,-33,-35,-35,-35,-30,-39,-6,-8,6,11,35,54,55,35,5
106,20,20,18,18,18,38,48,47,23,-6,-38,-4,-11,18,53,69,44,15,4,17,37,34,32,22
107,19,19,19,19,19,19,19,14,11,18,2,5,28,55,32,12,-26,8,32,49,49,41,21,21
108,20,20,20,20,20,20,20,20,18,2,3,4,33,24,4,-8,24,36,31,19,27,37,35,34
109,20,20,21,21,21,1,-19,1,24,48,29,-3,-22,-9,20,49,69,63,23,-3,7,23,43,27
110,20,20,20,20,20,20,20,20,20,24,22,32,45,40,20,-7,-21,10,40,64,42,20,-8,-12
111,20,20,20,19,19,19,19,18,8,6,19,48,34,-6,-7,23,22,46,47,20,-2,4,24,42
112,20,20,20,20,20,20,20,20,15,6,15,7,19,17,18,3,6,9,35,57,64,48,28,18
113,20,20,20,20,20,10,10,39,23,-19,-26,4,33,35,31,38,35,-1,-31,-10,-4,16,45,31
114,21,21,21,10,10,10,10,10,-3,-28,-18,9,38,41,30,13,-5,8,42,64,37,8,-20,-26
115,20,20,18,18,8,8,18,26,18,-18,-26,-3,27,65,64,33,12,22,37,13,15,14,27,35
116,20,20,19,18,18,18,18,16,25,28,-4,-27,-1,21,39,20,16,-5,2,35,55,25,-7,3
117,20,20,19,19,19,19,19,19,11,29,17,-3,-9,5,16,54,75,47,20,0,14,23,55,31
118,20,20,20,20,20,20,20,20,17,11,-4,-13,-3,17,40,45,31,12,-11,13,46,45,33,29
119,21,21,22,2,-8,12,42,67,56,9,-26,4,26,20,-3,-13,4,39,63,37,7,4,34,38
120,20,20,18,18,38,38,28,6,-19,3,22,28,51,45,24,22,-8,-25,-9,20,47,47,26,-5
121,20,20,21,21,21,41,21,11,10,-6,23,53,51,50,19,2,4,14,16,36,27,31,41,9
122,20,20,21,21,21,21,1,-1,8,33,34,38,8,-16,-18,13,35,56,29,-3,-16,-11,20,41
123,20,20,20,20,20,20,20,16,8,3,24,43,44,21,-8,-15,6,31,26,28,35,46,58,34
124,20,20,20,20,20,20,20,17,14,11,33,38,35,39,7,-1,3,3,21,28,53,29,19,1
125,20,20,20,20,20,20,20,18,13,18,33,28,0,5,38,40,30,30,21,18,-1,-13,15,40
126,19,19,20,20,20,20,20,18,9,18,42,53,55,38,21,-15,-35,-19,-19,-6,27,47,37,20
127,19,19,19,18,18,18,18,17,12,4,-13,-3,23,39,53,47,37,16,-17,-4,24,34,24,-1
128,20,20,18,18,18,18,18,18,24,14,1,32,23,30,37,32,22,20,41,50,49,45,14,15
129,20,20,20,20,20,20,20,17,6,2,-2,-8,13,34,58,35,8,-14,6,31,37,16,-16,-6
130,20,20,22,22,2,2,32,52,31,13,13,15,25,55,73,39,8,-12,6,18,31,32,32,39
131,21,21,21,31,31,21,1,1,6,27,26,26,9,-11,11,41,55,26,11,7,33,35,36,31
132,20,20,19,19,19,19,19,16,16,13,5,33,44,22,14,19,29,23,3,24,46,36,26,-13
133,20,20,20,20,20,20,20,17,17,1,5,-4,16,36,28,24,18,11,20,20,27,28,38,47
134,20,20,19,19,19,19,19,17,16,18,9,25,29,16,-9,-13,9,40,40,22,19,34,34,12
135,20,20,18,18,18,18,18,7,6,0,-13,-12,17,42,32,14,15,36,55,46,26,-7,-17,10
136,20,20,21,21,21,21,21,21,27,50,22,-17,-15,17,49,59,49,24,-9,6,36,36,5,0
137,20,20,20,20,20,20,20,19,11,10,3,32,56,61,39,9,-2,3,24,55,44,23,4,8
138,19,19,19,19,19,19,19,18,16,10,15,42,65,63,30,10,14,5,4,8,32,63,64,44
139,20,20,19,19,19,19,19,17,14,5,18,17,15,18,30,34,10,-16,8,31,63,43,23,11
140,19,19,20,20,20,20,20,17,13,11,7,28,62,62,33,-1,1,36,42,45,18,-13,-2,27
141,20,20,20,20,20,20,20,18,13,4,-13,7,36,35,38,24,-13,-3,26,61,62,43,13,13
142,20,20,21,21,21,21,21,30,8,4,35,65,36,24,23,13,-4,26,44,20,-9,-27,-12,16
143,21,21,21,21,21,21,21,36,56,10,-23,-37,2,13,18,28,49,48,37,6,6,3,21,27
144,20,20,22,22,12,32,52,50,18,-15,-12,18,37,32,20,-12,12,43,59,57,38,18,-10,6
145,20,20,18,18,18,18,18,17,14,0,5,3,-1,1,28,43,47,47,32,20,34,29,11,21
146,20,20,19,18,18,18,18,38,29,3,-4,11,41,45,30,2,-37,-26,-26,10,35,56,63,30
147,20,20,20,20,20,20,20,20,14,-14,-18,-3,31,38,11,-18,-21,17,57,79,49,49,28,4
148,19,19,18,18,18,18,28,24,32,25,6,23,48,51,28,12,26,65,48,21,-14,-29,5,29
149,21,21,21,1,1,11,21,7,-16,-25,-4,27,52,62,31,-3,-18,4,23,48,58,40,12,-3
150,20,20,20,20,20,20,20,19,13,-4,11,21,35,35,35,44,21,5,10,40,48,40,10,-25
151,20,20,19,19,19,19,18,18,20,40,33,33,33,20,-1,8,33,38,25,-5,22,51,40,33
152,20,20,20,20,20,20,20,20,14,-6,14,41,23,-7,-24,-7,23,48,55,48,13,-8,2,15
153,18,18,18,18,18,8,8,6,-2,-2,23,51,69,30,8,-4,8,26,49,43,13,-4,24,41
154,20,20,21,21,21,21,21,-6,14,30,30,-1,0,8,14,40,39,19,18,25,20,20,-2,-3
155,20,20,20,20,20,20,20,20,18,1,-7,-15,-9,10,26,33,16,1,22,48,66,43,12,-18
156,19,19,18,17,17,7,-3,16,25,-10,-7,19,34,54,40,12,-24,-26,0,44,85,91,92,90
157,20,20,21,21,21,21,21,20,39,37,7,7,15,50,34,14,24,32,26,20,31,34,13,-12
158,20,20,20,20,20,20,20,17,11,8,11,24,22,8,2,17,43,67,50,27,2,-12,-2,15
159,20,20,20,20,20,20,20,19,19,22,5,-21,-21,8,37,54,44,33,15,-6,17,40,59,58
160,20,20,20,20,20,20,20,17,17,9,6,35,63,62,38,16,-18,-14,20,55,51,28,6,4
161,20,20,20,20,20,20,20,19,19,4,-12,-16,7,39,69,66,40,7,-23,-28,7,42,74,62
162,20,20,19,18,18,18,18,14,13,38,14,-21,-20,0,30,38,30,17,9,30,50,26,-6,-18
163,20,20,20,20,20,20,19,17,17,4,-5,16,28,34,32,-3,-35,-20,-27,-6,23,54,54,31
164,20,20,19,19,19,19,19,14,11,18,16,15,32,33,31,46,47,43,14,4,-2,-1,18,37
165,19,19,18,18,18,18,18,15,14,0,30,44,50,25,0,6,-3,16,23,21,6,19,29,49
166,20,20,20,20,20,20,20,17,8,0,-2,15,25,45,55,25,-17,-13,17,41,41,8,-1,13
167,20,20,18,18,18,18,19,19,18,17,18,26,34,44,48,22,-8,-7,23,35,12,-18,12,42
168,20,20,20,20,20,20,20,18,14,25,50,63,31,1,-1,22,54,54,27,12,6,18,28,49
169,20,20,20,20,20,20,20,20,15,-11,-11,17,32,21,19,26,52,31,4,-6,-4,7,17,45
170,20,20,22,22,32,12,2,20,43,30,-10,-11,1,26,46,48,24,-10,0,15,12,40,38,38
171,20,20,20,20,20,20,20,20,12,7,17,16,20,20,18,18,28,42,23,4,18,38,38,15
172,20,20,20,20,20,20,20,16,5,-14,-22,0,25,44,59,32,13,-7,9,23,20,18,40,45
173,18,18,18,8,8,38,58,44,11,-24,-26,-8,26,52,30,15,-15,-15,8,43,52,16,-5,-10
174,20,20,22,22,22,22,12,-9,6,16,11,23,44,61,40,17,-20,-1,29,36,21,21,6,-23
175,21,21,21,21,21,21,21,21,21,-9,8,17,26,14,-2,-14,12,30,45,55,41,31,30,30
176,19,19,19,19,19,19,19,14,12,27,35,38,9,8,31,41,18,-4,-10,11,28,21,21,18
177,20,20,20,20,20,20,20,18,8,13,33,58,57,45,17,-4,-2,5,21,61,48,24,-9,-9
178,20,20,20,20,20,20,20,16,15,9,-1,-1,16,47,58,32,5,-25,5,37,55,43,13,12
179,20,20,20,19,19,19,19,19,16,-4,-2,5,18,18,12,20,40,63,37,19,19,9,9,17
180,20,20,20,20,20,20,20,18,8,13,8,38,34,29,-9,6,28,57,51,33,26,-9,-10,9
181,19,19,20,20,20,20,20,20,18,-4,-14,-7,15,35,15,7,2,-1,-3,12,40,50,45,18
182,20,20,20,20,20,20,19,15,15,15,26,46,44,13,-17,-8,31,66,79,51,53,52,21,-1
183,20,20,19,19,19,19,20,20,19,11,7,37,26,-7,-20,-13,13,37,37,46,43,20,20,6
184,20,20,20,20,20,20,20,20,20,11,28,23,22,41,41,24,5,-1,0,5,35,65,41,-1
185,20,20,20,20,20,20,20,18,34,30,-5,2,20,49,54,35,20,0,-10,-7,23,47,58,17
186,20,20,20,20,20,20,20,18,18,19,7,0,4,32,52,45,41,18,-9,-10,23,35,46,32
187,20,20,19,19,19,19,18,18,20,12,18,39,42,49,21,5,-6,15,43,55,35,14,12,40
188,20,20,20,20,20,20,20,18,17,7,11,9,9,9,29,28,28,13,20,56,56,39,22,-1
189,19,19,19,19,19,19,19,17,14,4,16,26,7,-16,15,45,40,19,-13,1,19,36,36,14
190,20,20,20,20,20,20,20,18,14,12,6,17,29,20,7,-6,24,35,25,-7,-27,-17,13,34
191,20,20,20,20,20,20,20,20,15,-2,-4,24,54,64,34,7,12,12,16,35,58,49,19,-14
192,19,19,19,19,19,19,19,18,18,34,22,-10,19,32,52,45,24,-3,-16,17,47,33,2,11
193,20,20,21,21,21,21,21,21,20,1,23,25,25,14,17,27,12,2,6,29,45,37,37,37
194,20,20,22,22,42,22,12,31,28,28,33,43,44,43,19,14,31,42,51,20,7,-12,6,26
195,20,20,20,20,40,40,30,10,-20,-35,-23,-23,8,34,32,-1,-2,26,34,28,20,21,42,38
196,20,20,20,20,20,20,20,20,20,8,-4,7,37,28,8,7,20,42,19,-9,-16,14,44,32
197,20,20,16,16,26,46,36,15,-13,-25,-4,25,54,30,-12,-29,-2,18,43,52,63,52,33,8
198,20,20,20,20,20,20,20,20,20,5,-4,-5,25,33,45,28,20,25,5,-1,18,25,13,1
199,20,20,40,40,40,20,20,17,16,14,11,1,-7,-10,1,26,29,26,7,-5,9,19,19,31
200,19,19,19,19,19,19,19,15,12,2,-3,-7,-4,23,40,40,39,45,44,27,30,20,21,31
201,20,20,19,19,19,19,19,15,11,2,-2,12,23,25,26,47,25,-8,-11,29,50,36,19,-17
202,20,20,20,20,20,20,20,17,17,19,0,6,12,28,45,43,2,-29,-12,19,39,46,16,-19
